Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Don Bell,Michael Hill,Sherry Shaghaghi,Cindy Silver,Jim Stephenson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"North Vancouver/North Vancouver"," 54","North Vancouver",123,0,44,89,25,0,281,397
"North Vancouver/North Vancouver"," 55","North Vancouver",118,0,40,111,22,0,291,422
"North Vancouver/North Vancouver"," 56","North Vancouver",142,0,52,77,13,1,285,435
"North Vancouver/North Vancouver"," 57","North Vancouver",100,2,47,97,17,0,263,387
"North Vancouver/North Vancouver"," 58","North Vancouver",120,0,42,115,27,0,304,464
"North Vancouver/North Vancouver"," 59","North Vancouver",131,2,60,80,28,1,302,482
"North Vancouver/North Vancouver"," 60A","North Vancouver",146,0,42,86,19,1,294,458
"North Vancouver/North Vancouver"," 60B","North Vancouver",Merged with No. 61/Fusionné avec le nº 61,,,,,,,129
"North Vancouver/North Vancouver"," 61","North Vancouver",119,2,35,89,21,2,268,313
"North Vancouver/North Vancouver"," 62A","North Vancouver",96,1,34,88,8,2,229,367
"North Vancouver/North Vancouver"," 62B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,65
"North Vancouver/North Vancouver"," 62C","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,54
"North Vancouver/North Vancouver"," 63","North Vancouver",109,3,38,97,21,0,268,418
"North Vancouver/North Vancouver"," 64","North Vancouver",107,1,41,127,12,1,289,488
"North Vancouver/North Vancouver"," 65A","North Vancouver",87,0,47,84,11,3,232,364
"North Vancouver/North Vancouver"," 65B","North Vancouver",90,0,33,79,15,3,220,347
"North Vancouver/North Vancouver"," 66","North Vancouver",93,1,46,106,19,1,266,450
"North Vancouver/North Vancouver"," 67","North Vancouver",Void/Supprimé,,,,,,,
"North Vancouver/North Vancouver"," 68","North Vancouver",82,1,75,70,19,1,248,459
"North Vancouver/North Vancouver"," 69","North Vancouver",141,2,37,111,23,0,314,486
"North Vancouver/North Vancouver"," 70","North Vancouver",97,0,39,99,24,0,259,405
"North Vancouver/North Vancouver"," 71","North Vancouver",133,0,33,109,27,0,302,482
"North Vancouver/North Vancouver"," 72","North Vancouver",95,0,27,120,24,0,266,390
"North Vancouver/North Vancouver"," 73","North Vancouver",104,1,23,88,22,0,238,349
"North Vancouver/North Vancouver"," 74","North Vancouver",109,0,27,103,23,1,263,375
"North Vancouver/North Vancouver"," 75","North Vancouver",107,0,31,60,14,0,212,346
"North Vancouver/North Vancouver"," 76","North Vancouver",104,0,33,98,13,0,248,353
"North Vancouver/North Vancouver"," 77","North Vancouver",96,1,26,107,21,1,252,421
"North Vancouver/North Vancouver"," 78","North Vancouver",126,0,46,83,16,0,271,403
"North Vancouver/North Vancouver"," 79","North Vancouver",92,1,47,110,19,1,270,478
"North Vancouver/North Vancouver"," 80","North Vancouver",108,0,24,106,22,0,260,383
"North Vancouver/North Vancouver"," 81","North Vancouver",108,1,54,109,21,1,294,413
"North Vancouver/North Vancouver"," 82","North Vancouver",89,0,48,121,21,0,279,388
"North Vancouver/North Vancouver"," 83","North Vancouver",114,2,46,87,17,0,266,402
"North Vancouver/North Vancouver"," 84","North Vancouver",131,0,62,92,25,1,311,473
"North Vancouver/North Vancouver"," 85","North Vancouver",83,0,32,76,9,2,202,368
"North Vancouver/North Vancouver"," 86","North Vancouver",103,0,60,76,18,2,259,551
"North Vancouver/North Vancouver"," 87","North Vancouver",39,0,40,36,16,0,131,286
"North Vancouver/North Vancouver"," 88","North Vancouver",87,1,48,107,26,1,270,428
"North Vancouver/North Vancouver"," 89","North Vancouver",158,0,28,104,19,0,309,492
"North Vancouver/North Vancouver"," 90","North Vancouver",121,1,33,53,19,0,227,338
"North Vancouver/North Vancouver"," 91","North Vancouver",100,0,58,76,24,1,259,448
"North Vancouver/North Vancouver"," 92","North Vancouver",121,0,36,66,14,0,237,346
"North Vancouver/North Vancouver"," 93","North Vancouver",149,0,43,72,32,0,296,433
"North Vancouver/North Vancouver"," 94","North Vancouver",119,2,37,113,21,0,292,444
"North Vancouver/North Vancouver"," 95","North Vancouver",81,0,17,105,14,0,217,365
"North Vancouver/North Vancouver"," 96","North Vancouver",80,0,20,71,13,0,184,382
"North Vancouver/North Vancouver"," 97","North Vancouver",89,0,43,97,21,0,250,430
"North Vancouver/North Vancouver"," 98","North Vancouver",90,2,30,71,19,0,212,345
"North Vancouver/North Vancouver"," 99","North Vancouver",106,0,41,118,15,0,280,434
"North Vancouver/North Vancouver"," 100","North Vancouver",158,1,18,138,29,0,344,490
"North Vancouver/North Vancouver"," 101","North Vancouver",93,0,26,140,23,0,282,377
"North Vancouver/North Vancouver"," 102","North Vancouver",144,0,9,149,22,0,324,431
"North Vancouver/North Vancouver"," 103","North Vancouver",116,0,6,132,10,0,264,442
"North Vancouver/North Vancouver"," 104","North Vancouver",116,1,16,131,22,0,286,447
"North Vancouver/North Vancouver"," 105","North Vancouver",96,1,35,89,18,0,239,379
"North Vancouver/North Vancouver"," 106","North Vancouver",89,0,28,71,8,0,196,304
"North Vancouver/North Vancouver"," 107","North Vancouver",115,2,23,120,11,0,271,480
"North Vancouver/North Vancouver"," 108A","North Vancouver",126,0,58,72,24,0,280,454
"North Vancouver/North Vancouver"," 108B","North Vancouver",132,0,55,72,22,0,281,465
"North Vancouver/North Vancouver"," 109","North Vancouver",110,0,21,92,24,0,247,413
"North Vancouver/North Vancouver"," 110","North Vancouver",112,0,36,75,20,0,243,384
"North Vancouver/North Vancouver"," 111","North Vancouver",110,0,14,131,12,0,267,386
"North Vancouver/North Vancouver"," 112","North Vancouver",97,0,32,96,7,0,232,369
