Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Noel Lapierre,Nancy Love,Rob Merrifield,Monika Schaefer,John Marvin Wierenga,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Yellowhead/Yellowhead"," 67","Jasper",33,20,56,37,5,0,151,298
"Yellowhead/Yellowhead"," 68","Jasper",44,22,50,45,1,0,162,286
"Yellowhead/Yellowhead"," 69A","Jasper",43,19,39,32,1,0,134,277
"Yellowhead/Yellowhead"," 69B","Jasper",44,24,66,42,1,1,178,379
"Yellowhead/Yellowhead"," 69C","Jasper",35,28,43,46,0,3,155,361
"Yellowhead/Yellowhead"," 70","Jasper",59,43,86,58,0,0,246,409
"Yellowhead/Yellowhead"," 71","Jasper",32,15,33,37,1,1,119,206
"Yellowhead/Yellowhead"," 72","Jasper",50,35,84,56,1,0,226,400
"Yellowhead/Yellowhead"," 73","Jasper",27,30,45,50,1,1,154,263
"Yellowhead/Yellowhead"," 74","Old Entrance",26,17,101,25,0,0,169,357
"Yellowhead/Yellowhead"," 75","Obed",5,5,33,1,0,0,44,76
"Yellowhead/Yellowhead"," 76","Brûlé",19,2,46,10,1,0,78,122
"Yellowhead/Yellowhead"," 77","Cadomin",7,2,18,1,0,0,28,57
"Yellowhead/Yellowhead"," 78","Hinton",47,18,137,19,3,0,224,507
"Yellowhead/Yellowhead"," 79","Hinton",27,25,104,11,0,2,169,423
"Yellowhead/Yellowhead"," 80","Hinton",36,19,143,14,2,0,214,442
"Yellowhead/Yellowhead"," 81","Hinton",20,17,92,10,0,0,139,339
"Yellowhead/Yellowhead"," 82","Hinton",41,29,124,23,4,1,222,437
"Yellowhead/Yellowhead"," 83","Hinton",30,16,106,19,2,3,176,335
"Yellowhead/Yellowhead"," 84","Hinton",29,18,97,22,0,1,167,298
"Yellowhead/Yellowhead"," 85","Hinton",21,16,90,12,2,1,142,304
"Yellowhead/Yellowhead"," 86","Hinton",32,28,117,14,2,0,193,412
"Yellowhead/Yellowhead"," 87","Hinton",29,22,111,16,2,0,180,311
"Yellowhead/Yellowhead"," 88","Hinton",15,13,70,12,3,0,113,202
"Yellowhead/Yellowhead"," 89","Hinton",36,18,153,9,1,0,217,438
"Yellowhead/Yellowhead"," 90","Hinton",16,14,116,9,0,0,155,285
