Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ken Bell,Jim Comiskey,Kathleen Kevany,Dave Van Kesteren,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 144","Chatham",4,30,41,25,2,102,277
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 145","Chatham",6,45,52,66,3,172,391
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 146","Chatham",2,20,37,60,1,120,223
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 147","Chatham",7,68,67,83,1,226,402
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 148","Chatham",6,52,54,73,0,185,344
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 149","Chatham",4,46,17,86,0,153,229
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 150","Chatham",5,95,41,85,1,227,419
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 151","Chatham",7,48,36,50,0,141,302
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 152","Chatham",11,71,37,108,0,227,366
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 153","Chatham",6,48,56,64,1,175,397
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 154","Chatham",10,31,55,35,0,131,287
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 155","Chatham",7,95,28,76,0,206,357
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 156","Chatham",7,49,65,107,5,233,402
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 157","Chatham",7,68,66,50,0,191,309
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 158","Chatham",8,76,36,114,1,235,373
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 159","Chatham",5,101,14,92,2,214,345
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 160","Chatham",7,55,88,137,0,287,529
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 161","Chatham",9,52,66,63,0,190,378
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 162","Chatham",6,73,62,103,0,244,363
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 163","Chatham",7,78,35,83,1,204,334
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 164","Chatham",7,93,44,101,0,245,388
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 165","Chatham",7,45,57,82,0,191,311
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 166","Chatham",9,67,30,102,5,213,348
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 167","Chatham",1,39,56,45,0,141,308
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 168","Chatham",2,92,63,149,0,306,490
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 169","Chatham",6,53,33,101,0,193,316
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 170","Chatham",5,73,28,128,0,234,417
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 171","Chatham",6,56,16,50,0,128,235
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 172","Chatham",11,70,43,120,0,244,413
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 173","Charing Cross",4,29,26,64,0,123,239
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 174","Blenheim",5,39,35,119,1,199,363
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 175","Cedar Springs",2,68,35,71,0,176,305
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 176","Blenheim",10,91,61,88,2,252,464
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 177","Blenheim",9,49,36,71,0,165,373
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 178","Blenheim",6,69,62,110,1,248,410
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 179","Blenheim",16,72,64,68,0,220,384
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 180","Blenheim",9,39,38,53,0,139,256
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 181","Blenheim",10,59,70,94,0,233,441
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 182","Blenheim",9,46,66,39,0,160,285
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 183","Blenheim",3,50,41,86,1,181,296
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 184","Blenheim",8,105,71,110,0,294,486
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 185","Blenheim",29,45,29,123,1,227,332
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 186","Blenheim",6,53,79,97,0,235,449
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 187","Blenheim",9,52,38,73,0,172,354
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 188","Cedar Springs",17,43,38,85,0,183,321
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 189","Cedar Springs",5,26,39,26,0,96,163
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 190","Erieau",19,78,43,85,1,226,360
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 191","Morpeth",5,58,32,127,1,223,413
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 192","Kent Bridge",10,63,34,90,0,197,329
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 193","Kent Bridge",7,65,44,94,0,210,338
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 194","Ridgetown",14,45,36,78,1,174,275
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 195","Ridgetown",7,66,58,62,0,193,345
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 196","Ridgetown",8,58,48,84,0,198,353
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 197","Ridgetown",6,47,41,51,4,149,299
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 198","Ridgetown",10,51,45,76,2,184,369
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 199","Ridgetown",8,75,53,95,0,231,387
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 200","Ridgetown",7,62,37,74,3,183,311
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 201","Ridgetown",6,75,41,62,1,185,303
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 202","Morpeth",3,62,34,107,2,208,342
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 203","Morpeth",10,32,67,63,0,172,276
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 204","Moraviantown",28,32,49,11,0,120,171
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 205","Highgate",9,58,49,103,0,219,335
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 206","Highgate",9,48,53,67,2,179,275
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 207","Highgate",12,43,28,74,0,157,229
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 208","Highgate",13,57,41,85,1,197,312
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 400","Leamington",1,28,24,20,3,76,206
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 401","Chatham",3,67,11,52,2,135,190
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 402","Chatham",0,30,5,17,1,53,149
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 403","Chatham",1,46,16,26,1,90,323
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 500","Mobile poll/Bureau itinérant",6,39,14,50,3,112,148
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 501","Mobile poll/Bureau itinérant",2,38,9,24,3,76,150
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 502","Mobile poll/Bureau itinérant",2,7,3,10,1,23,120
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 503","Mobile poll/Bureau itinérant",3,33,7,6,0,49,93
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 504A","Chatham",5,29,7,15,1,57,75
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 504B","Mobile poll/Bureau itinérant",4,27,8,25,0,64,78
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 505","Mobile poll/Bureau itinérant",4,47,6,38,1,96,132
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 506","Mobile poll/Bureau itinérant",3,18,5,16,1,43,89
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 507","Mobile poll/Bureau itinérant",1,45,10,17,2,75,104
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 600","Leamington",13,149,49,272,2,485,
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 601","Leamington",23,198,108,364,6,699,
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 602","Wheatley",9,57,35,161,0,262,
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 603","Tilbury",7,160,115,195,3,480,
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 604","Raleigh",8,93,63,224,0,388,
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 605","Chatham",17,143,70,285,0,515,
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 606","Chatham",18,205,122,361,1,707,
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 607","Chatham",12,102,55,168,2,339,
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 608","Chatham",14,199,131,407,1,752,
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 609","Blenheim",29,215,107,343,1,695,
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 610","Ridgetown",18,131,86,257,0,492,
"Chatham-Kent--Essex/Chatham-Kent--Essex",,Group 1/Groupe 1,4,26,10,33,2,75,161
"Chatham-Kent--Essex/Chatham-Kent--Essex",,Group 2/Groupe 2,58,581,172,863,15,1689,
