Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Laurie Hawn,Donna Martyn,Anne McLellan,Peggy Morton,David J. Parker,Chandra Segaran Swamy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Edmonton Centre/Edmonton-Centre"," 40A","Edmonton",83,39,74,2,14,0,1,213,417
"Edmonton Centre/Edmonton-Centre"," 40B","Mobile poll/Bureau itinérant",Merged with No. 507/Fusionné avec le nº 507,,,,,,,,71
"Edmonton Centre/Edmonton-Centre"," 41","Edmonton",99,30,100,1,15,0,1,246,469
"Edmonton Centre/Edmonton-Centre"," 42","Edmonton",65,14,72,0,17,0,0,168,356
"Edmonton Centre/Edmonton-Centre"," 43","Edmonton",98,25,125,2,16,1,1,268,566
"Edmonton Centre/Edmonton-Centre"," 44","Edmonton",68,29,84,1,6,1,0,189,555
"Edmonton Centre/Edmonton-Centre"," 45","Edmonton",82,28,94,3,14,1,0,222,413
"Edmonton Centre/Edmonton-Centre"," 46","Edmonton",76,32,83,0,8,3,0,202,351
"Edmonton Centre/Edmonton-Centre"," 47","Edmonton",85,29,100,0,15,1,0,230,418
"Edmonton Centre/Edmonton-Centre"," 48","Edmonton",99,15,99,0,16,1,1,231,418
"Edmonton Centre/Edmonton-Centre"," 49","Edmonton",103,25,58,1,4,2,0,193,356
"Edmonton Centre/Edmonton-Centre"," 50","Edmonton",113,26,66,1,6,2,0,214,383
"Edmonton Centre/Edmonton-Centre"," 51","Edmonton",95,23,46,2,7,1,2,176,365
"Edmonton Centre/Edmonton-Centre"," 52","Edmonton",115,16,72,0,10,1,1,215,412
"Edmonton Centre/Edmonton-Centre"," 53","Edmonton",110,25,48,2,15,2,0,202,395
"Edmonton Centre/Edmonton-Centre"," 54","Edmonton",91,28,61,0,7,0,0,187,441
"Edmonton Centre/Edmonton-Centre"," 55","Edmonton",82,24,55,1,5,3,0,170,405
"Edmonton Centre/Edmonton-Centre"," 56","Edmonton",87,20,49,0,12,5,0,173,396
"Edmonton Centre/Edmonton-Centre"," 57","Edmonton",119,40,83,2,14,1,1,260,441
"Edmonton Centre/Edmonton-Centre"," 58","Edmonton",103,26,50,0,9,0,1,189,364
"Edmonton Centre/Edmonton-Centre"," 59","Edmonton",120,27,78,0,15,0,0,240,408
"Edmonton Centre/Edmonton-Centre"," 60","Edmonton",61,24,45,1,12,1,0,144,355
"Edmonton Centre/Edmonton-Centre"," 61","Edmonton",135,21,62,0,10,3,0,231,435
"Edmonton Centre/Edmonton-Centre"," 62","Edmonton",52,12,37,0,5,0,0,106,393
"Edmonton Centre/Edmonton-Centre"," 63","Edmonton",66,18,33,1,2,1,2,123,407
"Edmonton Centre/Edmonton-Centre"," 64","Edmonton",91,19,70,1,5,1,1,188,484
"Edmonton Centre/Edmonton-Centre"," 65","Edmonton",32,10,36,0,4,0,2,84,262
"Edmonton Centre/Edmonton-Centre"," 66","Edmonton",64,18,57,0,5,3,0,147,370
"Edmonton Centre/Edmonton-Centre"," 67","Edmonton",47,17,38,0,2,1,0,105,329
"Edmonton Centre/Edmonton-Centre"," 68","Edmonton",98,21,87,0,18,1,2,227,424
"Edmonton Centre/Edmonton-Centre"," 69","Edmonton",87,25,68,1,15,1,0,197,367
"Edmonton Centre/Edmonton-Centre"," 70","Edmonton",44,18,31,0,6,0,1,100,298
"Edmonton Centre/Edmonton-Centre"," 71","Edmonton",131,18,68,1,11,2,0,231,461
"Edmonton Centre/Edmonton-Centre"," 72A","Edmonton",93,9,31,0,7,0,1,141,276
"Edmonton Centre/Edmonton-Centre"," 72B","Mobile poll/Bureau itinérant",Merged with No. 504/Fusionné avec le nº 504,,,,,,,,116
"Edmonton Centre/Edmonton-Centre"," 73","Edmonton",119,21,99,0,13,0,1,253,407
"Edmonton Centre/Edmonton-Centre"," 74","Edmonton",124,33,104,0,18,2,0,281,471
"Edmonton Centre/Edmonton-Centre"," 75","Edmonton",106,37,104,0,19,0,0,266,392
"Edmonton Centre/Edmonton-Centre"," 76","Edmonton",89,14,98,0,11,0,0,212,303
"Edmonton Centre/Edmonton-Centre"," 77","Edmonton",132,21,102,1,9,1,0,266,494
"Edmonton Centre/Edmonton-Centre"," 78","Edmonton",127,25,95,1,16,1,0,265,396
"Edmonton Centre/Edmonton-Centre"," 79","Edmonton",86,22,66,0,20,0,0,194,314
"Edmonton Centre/Edmonton-Centre"," 80","Edmonton",94,24,84,0,13,0,0,215,362
"Edmonton Centre/Edmonton-Centre"," 81","Edmonton",74,17,66,0,14,0,1,172,322
"Edmonton Centre/Edmonton-Centre"," 82","Edmonton",107,6,109,0,19,0,1,242,386
"Edmonton Centre/Edmonton-Centre"," 83","Edmonton",78,22,101,1,17,1,0,220,343
"Edmonton Centre/Edmonton-Centre"," 84","Edmonton",78,11,65,0,6,0,1,161,384
"Edmonton Centre/Edmonton-Centre"," 85","Edmonton",48,12,93,0,7,0,0,160,263
"Edmonton Centre/Edmonton-Centre"," 86","Edmonton",91,27,137,0,14,2,1,272,423
"Edmonton Centre/Edmonton-Centre"," 87","Edmonton",93,3,81,0,22,0,0,199,305
"Edmonton Centre/Edmonton-Centre"," 88","Edmonton",70,10,110,0,13,1,0,204,315
"Edmonton Centre/Edmonton-Centre"," 89","Edmonton",75,5,112,0,8,2,0,202,337
"Edmonton Centre/Edmonton-Centre"," 90","Edmonton",89,5,124,0,15,0,0,233,441
"Edmonton Centre/Edmonton-Centre"," 91","Edmonton",77,22,92,0,13,0,0,204,318
"Edmonton Centre/Edmonton-Centre"," 92","Edmonton",67,15,83,0,16,0,0,181,314
"Edmonton Centre/Edmonton-Centre"," 93","Edmonton",95,34,82,0,18,1,0,230,410
"Edmonton Centre/Edmonton-Centre"," 94","Edmonton",85,40,103,0,15,1,1,245,425
"Edmonton Centre/Edmonton-Centre"," 95","Edmonton",78,28,115,0,16,1,0,238,430
"Edmonton Centre/Edmonton-Centre"," 96","Edmonton",50,17,72,0,16,0,0,155,318
"Edmonton Centre/Edmonton-Centre"," 97A","Edmonton",61,31,73,0,9,1,0,175,401
"Edmonton Centre/Edmonton-Centre"," 97B","Edmonton",61,16,76,0,10,1,0,164,360
"Edmonton Centre/Edmonton-Centre"," 98","Edmonton",76,17,76,0,9,1,0,179,365
"Edmonton Centre/Edmonton-Centre"," 99","Edmonton",67,26,101,0,18,2,0,214,392
"Edmonton Centre/Edmonton-Centre"," 100","Edmonton",58,25,89,0,9,1,1,183,341
"Edmonton Centre/Edmonton-Centre"," 101","Edmonton",96,40,133,2,31,1,0,303,553
"Edmonton Centre/Edmonton-Centre"," 102","Edmonton",139,44,119,0,16,0,1,319,609
"Edmonton Centre/Edmonton-Centre"," 103","Edmonton",43,35,72,1,9,2,0,162,363
"Edmonton Centre/Edmonton-Centre"," 104","Edmonton",67,45,82,1,13,1,1,210,619
"Edmonton Centre/Edmonton-Centre"," 105","Edmonton",59,27,42,0,10,2,1,141,314
"Edmonton Centre/Edmonton-Centre"," 106","Edmonton",70,20,53,0,12,0,0,155,462
