Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leon Benoit,William Munsey,Matthew Sokalski,Ray A Stone,Ron Williams,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 17","Wyeclif",248,23,2,54,9,0,336,592
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 18","Wyeclif",210,25,1,40,21,0,297,564
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 19","Wyeclif",173,12,0,24,8,0,217,469
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 20","Wyeclif",154,18,1,25,18,0,216,356
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 21","Whitecroft",177,17,0,24,7,1,226,433
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 22","Uncas",245,11,0,51,4,0,311,507
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 23","North Cooking Lake",221,17,1,46,9,0,294,613
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 24","Cooking Lake",185,19,1,39,12,1,257,534
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 25","Cooking Lake",235,23,1,32,14,2,307,520
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 26","Cooking Lake",146,13,2,26,6,0,193,360
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 27","Cooking Lake",167,11,3,15,6,0,202,436
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 28","Bretona",227,21,2,28,12,0,290,532
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 29","Bretona",152,8,0,18,6,1,185,323
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 30","Bretona",141,10,0,25,4,1,181,315
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 31","Cooking Lake",210,8,0,43,15,0,276,436
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 32","Cooking Lake",147,7,1,20,7,1,183,423
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 32-1","Strathcona County",172,23,0,27,6,0,228,384
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 33","Cooking Lake",315,14,1,49,7,0,386,601
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 33-1","Strathcona County",Merged with No. 33/Fusionné avec le nº 33,,,,,,,56
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 34","Cooking Lake",128,12,1,23,4,2,170,298
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 35","Ministik Lake",236,28,1,46,6,0,317,558
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 36","Deville",177,22,0,36,7,0,242,487
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 37","Skaro",132,10,0,12,2,0,156,302
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 38","Andrew",122,15,1,29,7,0,174,302
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 39","Andrew",68,0,0,14,0,0,82,137
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 40","Andrew",67,4,1,24,3,0,99,199
48024,"Vegreville--Wainwright/Vegreville--Wainwright"," 41","Wostok",86,4,0,18,3,0,111,241
