Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Adam DeVita,Cameron W. Hastings,Costas Menegakis,Bryon Wilfert,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35075,"Richmond Hill/Richmond Hill"," 93","Richmond Hill",Void/Supprimé,,,,,,
35075,"Richmond Hill/Richmond Hill"," 94","Richmond Hill",40,10,47,75,1,173,425
35075,"Richmond Hill/Richmond Hill"," 95","Richmond Hill",12,6,33,33,2,86,239
35075,"Richmond Hill/Richmond Hill"," 96","Richmond Hill",33,11,83,114,0,241,496
35075,"Richmond Hill/Richmond Hill"," 97","Richmond Hill",44,6,90,62,2,204,500
35075,"Richmond Hill/Richmond Hill"," 98","Richmond Hill",45,7,112,72,1,237,509
35075,"Richmond Hill/Richmond Hill"," 99","Richmond Hill",19,1,59,33,1,113,291
35075,"Richmond Hill/Richmond Hill"," 99-1","Richmond Hill",22,7,54,62,0,145,363
35075,"Richmond Hill/Richmond Hill"," 99-2","Richmond Hill",57,8,122,90,3,280,639
35075,"Richmond Hill/Richmond Hill"," 99-3","Richmond Hill",38,6,71,55,0,170,338
35075,"Richmond Hill/Richmond Hill"," 99-4","Richmond Hill",21,0,76,53,3,153,348
35075,"Richmond Hill/Richmond Hill"," 99-5","Richmond Hill",34,0,93,72,1,200,470
35075,"Richmond Hill/Richmond Hill"," 100","Richmond Hill",61,1,96,79,0,237,512
35075,"Richmond Hill/Richmond Hill"," 100-1","Richmond Hill",40,1,60,42,1,144,293
35075,"Richmond Hill/Richmond Hill"," 100-2","Richmond Hill",67,8,100,75,1,251,564
35075,"Richmond Hill/Richmond Hill"," 100-3","Richmond Hill",65,7,113,79,0,264,587
35075,"Richmond Hill/Richmond Hill"," 101","Richmond Hill",55,5,68,61,0,189,523
35075,"Richmond Hill/Richmond Hill"," 102","Richmond Hill",26,4,49,40,0,119,313
35075,"Richmond Hill/Richmond Hill"," 102-1","Richmond Hill",28,5,56,37,0,126,296
35075,"Richmond Hill/Richmond Hill"," 103","Richmond Hill",32,4,64,58,1,159,383
35075,"Richmond Hill/Richmond Hill"," 103-1","Richmond Hill",35,8,95,90,0,228,534
35075,"Richmond Hill/Richmond Hill"," 104","Richmond Hill",65,6,103,71,0,245,574
