Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Denis A. Carrière,Yves Fricot,Richard Harvey,Bruce Hyer,Scot Kyle,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 103","Thunder Bay",4,21,37,100,12,0,174,373
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 104A","Thunder Bay",2,30,31,62,12,0,137,227
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 104B","Thunder Bay",0,32,33,75,6,0,146,237
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 105","Thunder Bay",4,49,59,76,10,1,199,322
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 106","Thunder Bay",2,48,41,114,6,1,212,365
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 107","Thunder Bay",0,14,59,119,4,1,197,389
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 108","Thunder Bay",1,20,32,84,5,1,143,310
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 109","Thunder Bay",0,16,53,88,7,0,164,358
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 110","Thunder Bay",3,21,34,91,4,1,154,315
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 111","Thunder Bay",2,18,30,79,1,1,131,307
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 112","Thunder Bay",0,19,42,100,2,0,163,329
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 113","Thunder Bay",3,12,25,57,2,0,99,204
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 114","Thunder Bay",0,7,10,72,1,2,92,262
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 115","Thunder Bay",3,22,50,85,8,1,169,310
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 116A","Thunder Bay",3,18,42,49,1,0,113,239
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 116B","Thunder Bay",0,36,49,40,0,0,125,237
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 117","Thunder Bay",4,36,41,61,3,1,146,279
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 118","Thunder Bay",1,46,47,49,6,0,149,317
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 119A","Thunder Bay",1,38,59,40,8,0,146,246
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 119B","Thunder Bay",2,42,65,38,3,1,151,233
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 120A","Thunder Bay",2,56,70,46,5,0,179,327
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 120B","Thunder Bay",1,51,76,51,2,0,181,334
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 121","Thunder Bay",2,20,42,95,12,0,171,377
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 122","Thunder Bay",0,25,39,82,9,0,155,310
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 123","Thunder Bay",1,22,26,73,14,0,136,252
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 124","Thunder Bay",2,19,18,86,3,2,130,278
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 125","Thunder Bay",0,17,23,76,3,0,119,261
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 126","Thunder Bay",1,14,20,57,4,0,96,194
35091,"Thunder Bay--Superior North/Thunder Bay--Superior-Nord"," 127","Thunder Bay",1,26,46,104,6,1,184,490
