Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shelly Glover,Patrice Miniely,Marc Payette,Raymond Simard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46009,"Saint Boniface/Saint-Boniface"," 162-3","Winnipeg",146,22,4,64,0,236,501
46009,"Saint Boniface/Saint-Boniface"," 162-4","Winnipeg",174,20,3,89,0,286,542
46009,"Saint Boniface/Saint-Boniface"," 163","Winnipeg",60,20,3,40,1,124,312
46009,"Saint Boniface/Saint-Boniface"," 164","Winnipeg",101,20,5,37,0,163,282
46009,"Saint Boniface/Saint-Boniface"," 165","Winnipeg",89,18,1,63,0,171,341
46009,"Saint Boniface/Saint-Boniface"," 166","Winnipeg",165,23,1,36,1,226,372
46009,"Saint Boniface/Saint-Boniface"," 167","Winnipeg",193,39,12,91,2,337,533
46009,"Saint Boniface/Saint-Boniface"," 168","Winnipeg",119,23,3,43,3,191,365
46009,"Saint Boniface/Saint-Boniface"," 168-1","Winnipeg",124,15,2,39,1,181,293
46009,"Saint Boniface/Saint-Boniface"," 169","Winnipeg",151,24,1,33,0,209,387
46009,"Saint Boniface/Saint-Boniface"," 169-1","Winnipeg",132,36,3,41,0,212,432
46009,"Saint Boniface/Saint-Boniface"," 169-2","Winnipeg",171,30,3,45,0,249,494
46009,"Saint Boniface/Saint-Boniface"," 400","Winnipeg",107,39,0,44,1,191,265
46009,"Saint Boniface/Saint-Boniface"," 401","Winnipeg",111,29,2,47,1,190,234
46009,"Saint Boniface/Saint-Boniface"," 500","Mobile poll/Bureau itinérant",41,20,2,77,5,145,192
46009,"Saint Boniface/Saint-Boniface"," 501","Mobile poll/Bureau itinérant",42,11,2,113,2,170,237
46009,"Saint Boniface/Saint-Boniface"," 600","Winnipeg",159,61,22,301,2,545,
46009,"Saint Boniface/Saint-Boniface"," 601","Winnipeg",395,72,16,222,1,706,
46009,"Saint Boniface/Saint-Boniface"," 602","Winnipeg",185,81,25,310,0,601,
46009,"Saint Boniface/Saint-Boniface"," 603","Winnipeg",350,54,17,245,3,669,
46009,"Saint Boniface/Saint-Boniface"," 604","Winnipeg",231,67,14,137,1,450,
46009,"Saint Boniface/Saint-Boniface"," 605","Winnipeg",558,78,12,299,2,949,
46009,"Saint Boniface/Saint-Boniface"," 606","Winnipeg",364,46,9,214,0,633,
46009,"Saint Boniface/Saint-Boniface"," 607","Winnipeg",246,59,8,153,0,466,
46009,"Saint Boniface/Saint-Boniface"," 608","Winnipeg",480,52,12,209,3,756,
46009,"Saint Boniface/Saint-Boniface",,Group 1/Groupe 1,62,13,3,51,8,137,228
46009,"Saint Boniface/Saint-Boniface",,Group 2/Groupe 2,598,108,38,537,14,1295,
