Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stéphane Bakhos,Zaki Ghavitian,Mohamedali Jetha,Karine Joizil,Brent Neil,François Pilon,Polyvios Tsakanikas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24033,"Laval--Les Îles/Laval--Les Îles"," 109","Laval",1,50,6,66,4,99,3,5,234,507
24033,"Laval--Les Îles/Laval--Les Îles"," 109-1","Laval",0,36,10,37,1,56,0,3,143,420
24033,"Laval--Les Îles/Laval--Les Îles"," 109-2A","Laval",3,38,18,68,6,107,0,3,243,521
24033,"Laval--Les Îles/Laval--Les Îles"," 109-2B","Laval",0,25,10,42,0,96,0,3,176,468
24033,"Laval--Les Îles/Laval--Les Îles"," 109-3","Laval",1,36,16,53,4,85,1,1,197,524
24033,"Laval--Les Îles/Laval--Les Îles"," 110","Laval",1,24,8,20,5,70,2,0,130,342
24033,"Laval--Les Îles/Laval--Les Îles"," 110-1","Laval",1,22,21,27,4,78,1,1,155,312
24033,"Laval--Les Îles/Laval--Les Îles"," 111","Laval",1,48,4,39,3,80,3,3,181,427
24033,"Laval--Les Îles/Laval--Les Îles"," 112A","Laval",1,29,13,27,2,80,1,2,155,335
24033,"Laval--Les Îles/Laval--Les Îles"," 112B","Laval",1,34,8,24,5,66,0,2,140,300
24033,"Laval--Les Îles/Laval--Les Îles"," 112-1","Laval",0,22,15,14,2,77,0,0,130,389
24033,"Laval--Les Îles/Laval--Les Îles"," 113","Laval",5,68,4,70,6,82,1,4,240,490
24033,"Laval--Les Îles/Laval--Les Îles"," 114","Laval",6,21,3,62,2,86,0,3,183,445
24033,"Laval--Les Îles/Laval--Les Îles"," 115","Laval",1,38,27,71,8,122,2,3,272,557
24033,"Laval--Les Îles/Laval--Les Îles"," 116","Laval",2,47,11,34,2,66,1,3,166,446
24033,"Laval--Les Îles/Laval--Les Îles"," 117","Laval",0,33,17,39,9,97,0,1,196,478
24033,"Laval--Les Îles/Laval--Les Îles"," 118","Laval",3,23,21,37,2,87,3,6,182,482
24033,"Laval--Les Îles/Laval--Les Îles"," 119","Laval",1,61,5,52,4,52,3,4,182,356
24033,"Laval--Les Îles/Laval--Les Îles"," 120","Laval",2,78,4,53,6,70,5,6,224,433
24033,"Laval--Les Îles/Laval--Les Îles"," 121","Laval",4,52,7,27,4,66,1,1,162,355
24033,"Laval--Les Îles/Laval--Les Îles"," 122","Laval",2,54,8,51,2,55,6,2,180,411
24033,"Laval--Les Îles/Laval--Les Îles"," 123","Laval",0,45,5,29,0,58,0,1,138,323
24033,"Laval--Les Îles/Laval--Les Îles"," 124","Laval",3,30,9,46,2,50,1,4,145,385
24033,"Laval--Les Îles/Laval--Les Îles"," 125","Laval",4,53,7,32,2,43,2,3,146,303
24033,"Laval--Les Îles/Laval--Les Îles"," 126","Laval",2,63,7,59,2,75,4,0,212,376
24033,"Laval--Les Îles/Laval--Les Îles"," 127","Laval",2,59,4,54,7,82,2,2,212,429
24033,"Laval--Les Îles/Laval--Les Îles"," 128","Laval",2,97,2,46,0,42,6,1,196,414
24033,"Laval--Les Îles/Laval--Les Îles"," 129","Laval",1,50,4,43,6,60,2,2,168,394
24033,"Laval--Les Îles/Laval--Les Îles"," 130","Laval",1,47,0,41,3,63,1,3,159,375
24033,"Laval--Les Îles/Laval--Les Îles"," 131","Laval",0,34,4,36,1,49,1,2,127,315
24033,"Laval--Les Îles/Laval--Les Îles"," 132","Laval",0,43,2,39,2,63,2,2,153,317
24033,"Laval--Les Îles/Laval--Les Îles"," 133","Laval",4,35,6,42,8,55,5,4,159,378
24033,"Laval--Les Îles/Laval--Les Îles"," 134","Laval",3,33,7,31,5,88,8,2,177,431
24033,"Laval--Les Îles/Laval--Les Îles"," 135","Laval",3,51,8,66,6,77,3,7,221,480
24033,"Laval--Les Îles/Laval--Les Îles"," 136","Laval",1,41,7,44,4,68,1,0,166,455
24033,"Laval--Les Îles/Laval--Les Îles"," 137","Laval",2,53,3,35,4,70,2,1,170,381
24033,"Laval--Les Îles/Laval--Les Îles"," 138","Laval",1,51,9,60,5,77,5,4,212,426
24033,"Laval--Les Îles/Laval--Les Îles"," 139","Laval",3,67,7,53,4,76,3,3,216,494
24033,"Laval--Les Îles/Laval--Les Îles"," 140","Laval",0,56,3,60,3,52,1,5,180,397
24033,"Laval--Les Îles/Laval--Les Îles"," 141","Laval",3,50,9,44,2,67,0,5,180,424
24033,"Laval--Les Îles/Laval--Les Îles"," 142","Laval",1,52,4,49,7,60,1,1,175,384
24033,"Laval--Les Îles/Laval--Les Îles"," 143","Laval",5,60,2,33,6,57,5,2,170,411
24033,"Laval--Les Îles/Laval--Les Îles"," 144","Laval",7,41,5,46,2,67,3,6,177,353
24033,"Laval--Les Îles/Laval--Les Îles"," 145","Laval",6,57,5,54,5,77,2,5,211,500
24033,"Laval--Les Îles/Laval--Les Îles"," 146","Laval",2,56,0,62,1,70,2,2,195,446
24033,"Laval--Les Îles/Laval--Les Îles"," 147","Laval",2,76,3,42,2,91,0,5,221,448
24033,"Laval--Les Îles/Laval--Les Îles"," 148","Laval",7,54,4,54,7,59,0,3,188,428
24033,"Laval--Les Îles/Laval--Les Îles"," 149","Laval",4,52,3,54,3,77,2,1,196,443
24033,"Laval--Les Îles/Laval--Les Îles"," 150","Laval",2,70,3,42,2,71,2,4,196,453
24033,"Laval--Les Îles/Laval--Les Îles"," 151","Laval",1,41,5,41,4,55,4,5,156,414
24033,"Laval--Les Îles/Laval--Les Îles"," 152","Laval",5,35,5,53,10,111,3,3,225,522
24033,"Laval--Les Îles/Laval--Les Îles"," 153","Laval",3,29,19,39,5,71,2,2,170,354
24033,"Laval--Les Îles/Laval--Les Îles"," 154","Laval",2,23,23,39,8,81,0,5,181,429
24033,"Laval--Les Îles/Laval--Les Îles"," 155","Laval",0,11,21,29,0,77,0,1,139,322
24033,"Laval--Les Îles/Laval--Les Îles"," 156","Laval",2,21,23,33,5,76,0,4,164,339
24033,"Laval--Les Îles/Laval--Les Îles"," 157","Laval",1,28,17,52,3,59,0,3,163,391
24033,"Laval--Les Îles/Laval--Les Îles"," 158","Laval",2,39,10,46,2,81,1,3,184,368
24033,"Laval--Les Îles/Laval--Les Îles"," 159","Laval",0,40,18,54,8,73,2,4,199,484
24033,"Laval--Les Îles/Laval--Les Îles"," 160","Laval",2,19,11,22,3,61,0,0,118,268
24033,"Laval--Les Îles/Laval--Les Îles"," 161","Laval",3,35,13,62,6,83,2,4,208,421
24033,"Laval--Les Îles/Laval--Les Îles"," 162A","Laval",0,10,8,19,0,43,0,3,83,101
24033,"Laval--Les Îles/Laval--Les Îles"," 162B","Laval",3,10,15,22,2,56,1,2,111,249
24033,"Laval--Les Îles/Laval--Les Îles"," 163","Laval",0,42,12,37,7,68,1,0,167,368
24033,"Laval--Les Îles/Laval--Les Îles"," 163-1","Laval",0,42,4,11,3,20,0,2,82,201
24033,"Laval--Les Îles/Laval--Les Îles"," 164","Laval",1,52,28,68,4,149,1,3,306,549
24033,"Laval--Les Îles/Laval--Les Îles"," 165","Laval",1,34,8,33,1,43,0,1,121,194
24033,"Laval--Les Îles/Laval--Les Îles"," 165-1","Laval",1,21,8,46,3,67,0,2,148,180
24033,"Laval--Les Îles/Laval--Les Îles"," 166","Laval",4,44,5,39,2,65,2,0,161,397
24033,"Laval--Les Îles/Laval--Les Îles"," 167","Laval",0,12,7,18,0,28,0,0,65,114
24033,"Laval--Les Îles/Laval--Les Îles"," 168","Laval",1,38,31,40,1,91,1,6,209,275
24033,"Laval--Les Îles/Laval--Les Îles"," 169","Laval",1,34,35,53,3,60,0,2,188,260
24033,"Laval--Les Îles/Laval--Les Îles"," 170","Laval",1,36,33,36,4,98,0,1,209,312
24033,"Laval--Les Îles/Laval--Les Îles"," 171","Laval",1,29,11,31,9,73,2,2,158,478
24033,"Laval--Les Îles/Laval--Les Îles"," 172A","Laval",2,34,38,43,4,83,0,6,210,327
24033,"Laval--Les Îles/Laval--Les Îles"," 172B","Laval",0,21,22,60,3,72,0,6,184,316
24033,"Laval--Les Îles/Laval--Les Îles"," 173","Laval",2,46,9,59,3,56,0,5,180,377
24033,"Laval--Les Îles/Laval--Les Îles"," 174","Laval",3,32,9,31,5,80,0,1,161,318
24033,"Laval--Les Îles/Laval--Les Îles"," 174-1","Laval",1,22,14,66,2,74,1,0,180,338
24033,"Laval--Les Îles/Laval--Les Îles"," 174-2","Laval",1,40,3,54,0,101,1,1,201,365
24033,"Laval--Les Îles/Laval--Les Îles"," 174-3","Laval",1,53,14,93,2,97,1,0,261,503
24033,"Laval--Les Îles/Laval--Les Îles"," 175","Laval",4,24,9,65,4,84,1,1,192,396
24033,"Laval--Les Îles/Laval--Les Îles"," 175-1","Laval",1,48,11,62,4,110,1,1,238,518
24033,"Laval--Les Îles/Laval--Les Îles"," 176","Laval",4,50,6,75,1,99,1,0,236,482
24033,"Laval--Les Îles/Laval--Les Îles"," 176-1A","Laval",1,19,13,39,1,69,0,1,143,316
24033,"Laval--Les Îles/Laval--Les Îles"," 176-1B","Laval",1,27,9,32,2,49,0,0,120,283
24033,"Laval--Les Îles/Laval--Les Îles"," 177","Laval",2,46,15,49,3,120,0,2,237,522
24033,"Laval--Les Îles/Laval--Les Îles"," 178","Laval",1,61,26,71,4,120,0,3,286,493
24033,"Laval--Les Îles/Laval--Les Îles"," 179","Laval",2,31,35,57,5,146,0,1,277,464
24033,"Laval--Les Îles/Laval--Les Îles"," 180","Laval",1,33,11,36,6,98,0,0,185,416
24033,"Laval--Les Îles/Laval--Les Îles"," 181","Laval",2,21,47,42,1,123,0,3,239,400
24033,"Laval--Les Îles/Laval--Les Îles"," 182","Laval",1,20,28,14,3,72,0,2,140,350
24033,"Laval--Les Îles/Laval--Les Îles"," 183","Laval",0,18,18,26,2,100,0,2,166,312
24033,"Laval--Les Îles/Laval--Les Îles"," 184","Laval",3,41,53,49,1,142,0,3,292,492
24033,"Laval--Les Îles/Laval--Les Îles"," 185","Laval",1,19,41,41,2,120,1,4,229,399
24033,"Laval--Les Îles/Laval--Les Îles"," 186","Laval",1,20,23,20,4,68,0,1,137,328
24033,"Laval--Les Îles/Laval--Les Îles"," 187","Laval",2,36,7,43,6,88,2,3,187,402
24033,"Laval--Les Îles/Laval--Les Îles"," 188","Laval",2,23,49,30,5,130,0,4,243,432
24033,"Laval--Les Îles/Laval--Les Îles"," 189","Laval",0,36,11,57,2,110,2,1,219,438
24033,"Laval--Les Îles/Laval--Les Îles"," 190","Laval",1,25,21,55,3,92,0,1,198,354
24033,"Laval--Les Îles/Laval--Les Îles"," 191","Laval",1,21,24,42,3,111,0,2,204,481
24033,"Laval--Les Îles/Laval--Les Îles"," 191-1","Laval",6,62,9,60,3,65,1,1,207,474
24033,"Laval--Les Îles/Laval--Les Îles"," 191-2","Laval",1,57,11,81,2,70,1,0,223,536
24033,"Laval--Les Îles/Laval--Les Îles"," 400","Laval",0,5,6,15,0,3,0,1,30,168
24033,"Laval--Les Îles/Laval--Les Îles"," 401","Laval",1,50,32,50,1,120,1,2,257,464
24033,"Laval--Les Îles/Laval--Les Îles"," 402","Laval",0,53,15,56,1,88,0,1,214,305
24033,"Laval--Les Îles/Laval--Les Îles"," 403","Laval",0,20,22,35,2,57,0,1,137,181
24033,"Laval--Les Îles/Laval--Les Îles"," 404","Laval",Void/Supprimé,,,,,,,,,
24033,"Laval--Les Îles/Laval--Les Îles"," 405","Laval",0,24,13,47,1,58,0,0,143,184
24033,"Laval--Les Îles/Laval--Les Îles"," 406","Laval",0,13,22,18,1,65,0,1,120,148
24033,"Laval--Les Îles/Laval--Les Îles"," 600","Laval",1,46,153,77,5,213,1,11,507,
24033,"Laval--Les Îles/Laval--Les Îles"," 601","Laval",1,53,113,76,5,203,0,8,459,
24033,"Laval--Les Îles/Laval--Les Îles"," 602","Laval",0,22,92,60,5,199,2,3,383,
24033,"Laval--Les Îles/Laval--Les Îles"," 603","Laval",3,57,100,68,1,137,0,3,369,
24033,"Laval--Les Îles/Laval--Les Îles"," 604","Laval",3,110,138,225,13,296,0,5,790,
24033,"Laval--Les Îles/Laval--Les Îles"," 605","Laval",4,99,159,154,10,387,0,16,829,
24033,"Laval--Les Îles/Laval--Les Îles"," 606","Laval",0,49,91,117,7,179,1,3,447,
24033,"Laval--Les Îles/Laval--Les Îles"," 607","Laval",1,82,50,89,12,173,2,6,415,
24033,"Laval--Les Îles/Laval--Les Îles"," 608","Laval",2,90,5,65,2,52,3,2,221,
24033,"Laval--Les Îles/Laval--Les Îles"," 609","Laval",2,150,25,136,8,110,1,2,434,
