Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scott Hemming,Adam Mimnagh,John Percy,Peter Stoffer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 129","Halifax",23,46,5,101,2,177,342
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 130","Halifax",19,57,12,112,1,201,466
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 131","Halifax",21,57,2,95,1,176,360
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 132","Halifax",14,29,13,81,1,138,292
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 133","Halifax",11,31,10,74,0,126,269
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 134","Halifax",14,25,12,58,3,112,245
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 135","Halifax",13,40,5,83,1,142,300
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 135-1","Halifax",18,40,2,85,2,147,292
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 136","Halifax",10,36,4,86,1,137,294
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 137","Halifax",17,38,6,76,0,137,320
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 137-1","Halifax",16,45,5,110,0,176,401
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 137-2","Halifax",26,56,2,103,0,187,378
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 138","Halifax",19,50,4,90,0,163,345
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 138-1","Halifax",20,40,6,88,1,155,266
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 139","Halifax",23,43,7,58,0,131,262
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 139-1","Halifax",11,27,4,75,2,119,258
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 140","Halifax",14,49,9,102,0,174,340
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 141","Halifax",17,63,7,80,4,171,323
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 141-1","Halifax",27,65,17,84,2,195,353
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 142","Little Salmon River",20,74,16,114,3,227,369
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 143","Little Salmon River",9,54,10,82,1,156,256
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 144","Cole Harbour",9,54,10,82,1,156,285
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 145","Upper Lawrencetown",10,31,2,55,1,99,203
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 145-1","Upper Lawrencetown",24,70,9,75,0,178,371
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 146","Upper Lawrencetown",20,54,9,97,1,181,354
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 147","Upper Lawrencetown",14,76,11,139,2,242,467
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 148","Upper Lawrencetown",11,32,7,84,1,135,313
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 149","Minesville",22,50,8,76,0,156,257
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 150","Lake Echo",21,39,5,72,1,138,279
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 151","West Lawrencetown--Minesville",10,24,4,39,0,77,191
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 151-1","Minesville",10,34,5,71,0,120,233
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 152","West Lawrencetown",13,64,8,95,1,181,383
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 153","Lawrencetown",21,60,14,94,1,190,393
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 154","Lawrencetown Beach",17,80,9,120,4,230,459
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 155","Lake Echo",7,40,4,87,1,139,375
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 156","Lake Echo",9,41,7,75,0,132,275
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 157","Lake Echo",17,49,13,116,1,196,406
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 158","Porters Lake",6,34,7,48,0,95,211
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 158-1","Porters Lake",18,64,10,73,2,167,348
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 159","Porters Lake",13,39,2,49,0,103,233
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 159-1","Porters Lake",16,55,7,97,4,179,325
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 160","Porters Lake",20,59,6,99,3,187,353
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 160-1","Porters Lake",5,34,0,25,0,64,122
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 161","Head of Chezzetcook",14,54,9,104,0,181,381
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 162","Porters Lake",15,58,5,62,1,141,309
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 162-1","Porters Lake",12,35,4,44,3,98,214
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 163","West Chezzetcook",14,37,5,59,1,116,219
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 163-1","West Chezzetcook",9,72,8,76,1,166,322
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 164","Porters Lake--West Chezzetcook",17,86,15,102,0,220,414
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 164-1","Head of Chezzetcook",4,37,3,50,1,95,181
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 165","Gaetz Brook",10,29,10,81,2,132,249
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 166","Gaetz Brook",8,43,10,92,0,153,298
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 167","East Chezzetcook",19,67,12,90,1,189,341
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 168","Middle Porters Lake",29,79,10,112,3,233,482
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 169","Grand Desert",27,46,12,109,2,196,318
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 170","Seaforth",17,61,15,129,2,224,372
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 171","Lower East Chezzetcook",9,38,7,90,0,144,253
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 172","Musquodoboit Harbour",8,62,11,73,3,157,297
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 173","West Petpeswick",25,67,14,137,2,245,435
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 174","Musquodoboit Harbour",25,34,4,98,3,164,307
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 174-1","Musquodoboit Harbour",10,42,4,30,0,86,184
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 175","Head of Jeddore",8,79,13,83,0,183,349
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 176","Head of Jeddore",15,101,11,107,2,236,405
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 177","East Petpeswick",18,62,7,113,0,200,335
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 178","West Jeddore",12,51,3,48,2,116,243
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 400","Halifax",9,12,3,21,1,46,173
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 500","Mobile poll/Bureau itinérant",13,14,5,30,1,63,127
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 600","Beaverbank",51,109,13,135,1,309,
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 601","Middle Sackville--Upper Sackville",42,124,6,201,0,373,
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 602","Middle Sackville--Upper Sackville",71,137,13,268,4,493,
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 603","Lower Sackville",43,116,14,230,4,407,
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 604","Lower Sackville",63,155,21,265,3,507,
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 605","Lower Sackville",65,133,14,229,1,442,
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 606","Wellington--Waverly",68,156,16,209,2,451,
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 607","Wellington--Waverly",70,166,16,259,0,511,
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 608","Preston",55,125,8,188,0,376,
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 609","Eastern Passage",53,108,15,234,4,414,
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 610","Eastern Passage",43,86,6,209,2,346,
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 611","Lawrencetown",52,128,18,193,0,391,
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 612","Lake Echo",45,91,14,168,1,319,
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 613","Porters Lake",65,169,24,289,2,549,
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore"," 614","Musquodoboit Harbour",39,55,16,115,0,225,
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore",,Group 1/Groupe 1,46,239,19,112,26,442,1368
12008,"Sackville--Eastern Shore/Sackville--Eastern Shore",,Group 2/Groupe 2,61,137,11,212,6,427,
