Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Roger Benham,Maggie Braun,Nathan Paul Cullen,Clay Harmon,Rod Taylor,Kyle Warwick,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 45","Dodge Cove",0,0,18,2,2,2,0,24,29
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 46","Oona River",0,0,7,2,0,0,0,9,13
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 47","Port Edward",3,2,144,49,5,9,0,212,389
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 48","Kitkatla",9,0,28,4,0,6,1,48,220
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 49","Hartley Bay",1,0,34,0,0,1,0,36,81
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 50","Klemtu",5,1,49,6,3,5,0,69,183
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 51","Prince Rupert",7,0,46,67,0,23,1,144,266
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 52","Prince Rupert",5,2,85,15,2,3,0,112,308
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 53","Prince Rupert",2,1,52,27,1,5,0,88,302
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 54","Prince Rupert",10,1,109,31,2,8,1,162,302
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 55","Prince Rupert",7,1,101,17,1,9,0,136,288
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 56","Prince Rupert",9,2,58,29,2,6,0,106,262
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 57","Prince Rupert",1,2,67,26,0,7,0,103,252
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 58","Prince Rupert",7,0,100,46,1,16,1,171,338
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 59","Prince Rupert",4,1,98,21,1,13,0,138,305
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 60","Prince Rupert",2,0,74,40,1,8,1,126,240
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 61","Prince Rupert",2,0,75,52,3,9,0,141,290
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 62","Prince Rupert",2,0,110,32,3,6,3,156,347
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 63","Prince Rupert",8,1,73,46,0,12,1,141,324
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 64","Prince Rupert",5,0,83,16,4,2,3,113,322
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 65","Prince Rupert",3,4,106,19,2,5,0,139,343
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 66","Prince Rupert",4,1,76,37,3,2,0,123,302
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 67","Prince Rupert",5,2,110,22,0,12,1,152,343
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 68","Prince Rupert",4,0,79,45,1,6,0,135,283
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 69","Prince Rupert",6,1,90,40,2,4,1,144,327
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 70","Prince Rupert",5,1,70,25,1,1,1,104,239
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 71","Prince Rupert",7,0,163,49,1,9,0,229,419
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 72","Prince Rupert",4,2,120,54,2,6,0,188,452
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 73","Prince Rupert",2,0,81,11,1,2,0,97,256
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 74","Prince Rupert",5,0,127,13,1,4,2,152,358
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 75","Prince Rupert",4,0,72,24,2,11,0,113,266
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 76","Prince Rupert",2,0,82,40,1,11,0,136,284
59025,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 77","Prince Rupert",5,1,94,50,3,19,2,174,381
