Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dave Braden,Jamilé Ghaddar,Anthony Giles,Nancy MacBain,Peter Michael Ormond,David Sweet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 60","Flamborough",46,1,0,11,7,81,2,148,270
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 61","Flamborough",9,0,0,30,4,40,1,84,215
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 62A","Flamborough",34,0,1,16,6,91,1,149,310
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 62B","Flamborough",33,1,0,24,6,91,0,155,320
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 63","Flamborough",40,0,1,33,5,145,0,224,454
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 64","Flamborough",38,1,0,17,4,119,0,179,348
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 64-1","Flamborough",22,0,0,34,13,106,0,175,321
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 65","Flamborough",50,1,1,42,22,105,1,222,419
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 66","Flamborough",26,0,0,45,5,150,0,226,394
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 67","Flamborough",40,0,0,39,20,159,1,259,491
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 68","Flamborough",22,0,0,21,6,75,0,124,219
35003,"Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale"," 69","Flamborough",50,0,1,40,15,95,0,201,383
