Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rob Gordon Clarke,Lawrence Joseph,Gabe Lafond,George Morin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 13B","La Loche",Merged with No. 14B/Fusionné avec le nº 14B,,,,,,83
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 14A","La Loche",15,23,2,0,1,41,509
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 14B","La Loche",61,84,14,3,2,164,421
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 15","Clearwater River",11,40,3,0,0,54,357
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 16","Garson Lake",Void/Supprimé,,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 17","Bear Creek",Merged with No. 9/Fusionné avec le nº 9,,,,,,21
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 18","Kinoosao",Merged with No. 19/Fusionné avec le nº 19,,,,,,18
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 19","Southend",11,211,3,0,0,225,426
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 20","Brabant Lake",3,3,2,0,0,8,26
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 21","Grandmother's Bay 219",13,57,2,4,0,76,155
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 22A","Stanley Mission",Merged with No. 23A/Fusionné avec le nº 23A,,,,,,143
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 22B","Stanley Mission",Merged with No. 23B/Fusionné avec le nº 23B,,,,,,118
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 23A","Stanley Mission",16,198,6,4,0,224,350
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 23B","Stanley Mission",8,117,8,1,0,134,197
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 24","Sucker River 156C",9,84,1,3,0,97,186
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 25","Hall Lake",6,39,2,0,0,47,154
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 26","La Ronge",36,49,5,3,0,93,318
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 27","La Ronge",45,54,5,5,0,109,294
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 28","La Ronge",104,117,12,9,0,242,486
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 29","La Ronge",55,115,10,8,0,188,395
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 30","La Ronge",61,73,13,11,0,158,389
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 31","Air Ronge--Kitsakie 156B",7,69,9,2,0,87,239
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 32","Air Ronge",42,71,6,5,1,125,259
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 33","Air Ronge",36,39,0,11,0,86,180
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 34","Air Ronge",63,64,3,12,0,142,393
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 35","Lac la Ronge 156",3,36,0,1,0,40,130
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 36","Lac la Ronge 156",5,64,0,0,0,69,265
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 37","Lac la Ronge 156",70,135,12,20,0,237,645
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 38","Dillon",14,101,7,3,0,125,458
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 39","Michel Village",5,7,2,0,0,14,32
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 40","St. George's Hill",4,2,3,0,0,9,35
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 41","Buffalo Narrows--Clearwater River 229",10,36,4,0,0,50,156
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 42A","Buffalo Narrows",Merged with No. 43A/Fusionné avec le nº 43A,,,,,,60
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 42B","Buffalo Narrows",Merged with No. 43B/Fusionné avec le nº 43B,,,,,,64
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 43A","Buffalo Narrows",16,29,2,1,0,48,269
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 43B","Buffalo Narrows",48,102,10,2,0,162,262
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 44","Île-à-la-Crosse",16,112,16,5,0,149,379
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 45","Île-à-la-Crosse",22,105,10,3,0,140,247
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 46","Île-à-la-Crosse",18,95,15,3,0,131,254
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 47","Patuanak",23,148,6,4,1,182,399
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 48A","Beauval",20,72,16,1,0,109,308
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 48B","Beauval",23,86,32,3,0,144,308
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 49A","Beauval",Merged with No. 48A/Fusionné avec le nº 48A,,,,,,18
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 49B","Beauval",Merged with No. 48B/Fusionné avec le nº 48B,,,,,,49
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 50","Canoe Narrows",23,172,10,2,0,207,416
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 51","Cole Bay",10,44,4,1,0,59,125
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 52","Pinehouse",40,109,16,6,0,171,541
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 52-1","Pinehouse",Merged with No. 52/Fusionné avec le nº 52,,,,,,5
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 53A","Sandy Bay",Merged with No. 54A/Fusionné avec le nº 54A,,,,,,8
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 53B","Sandy Bay",Merged with No. 54B/Fusionné avec le nº 54B,,,,,,15
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 54A","Sandy Bay",6,67,2,6,1,82,247
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 54B","Sandy Bay",12,117,9,8,0,146,311
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 55","Pelican Narrows",4,129,1,3,3,140,397
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 56","Pelican Narrows 184B",Merged with No. 57/Fusionné avec le nº 57,,,,,,185
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 57","Pelican Narrows",20,167,1,3,2,193,457
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 58A","Deschambault Lake",26,96,0,2,1,125,248
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 58B","Deschambault Lake",21,56,1,0,0,78,223
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 59","Creighton",48,33,2,5,0,88,223
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 60","Creighton",97,76,2,5,0,180,434
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 61","Creighton",46,37,5,1,1,90,215
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 62","Creighton",91,79,4,9,0,183,441
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 63","Denare Beach",84,41,9,6,0,140,249
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 64","Denare Beach",98,49,2,0,0,149,337
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 65","Sturgeon Landing",2,16,2,0,0,20,32
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 66","Northern Pine",119,5,0,1,0,125,217
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 67A","Pierceland",106,15,1,0,0,122,274
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 67B","Pierceland",108,11,2,4,0,125,301
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 68","Beacon Hill",28,7,2,0,0,37,133
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 69","Big Island Lake Cree Territory",2,45,3,0,0,50,168
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 70","Goodsoil",185,39,10,3,1,238,420
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 71","Goodsoil",93,16,2,1,0,112,191
