Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,François Beauchamp,Johanne Deschamps,Guy Joncas,Jean-Marc Lacoste,Marc-André Morin,Mikaël St-Louis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24030,"Laurentides--Labelle/Laurentides--Labelle"," 157","Sainte-Marguerite-du-Lac-Masson",8,47,7,12,119,2,2,197,474
24030,"Laurentides--Labelle/Laurentides--Labelle"," 158","Sainte-Marguerite-du-Lac-Masson",2,54,8,19,96,0,1,180,377
24030,"Laurentides--Labelle/Laurentides--Labelle"," 159","Sainte-Marguerite--Estérel",1,50,24,21,86,0,3,185,449
24030,"Laurentides--Labelle/Laurentides--Labelle"," 160","Sainte-Adèle",1,21,7,5,61,0,0,95,251
24030,"Laurentides--Labelle/Laurentides--Labelle"," 160-1","Sainte-Adèle",4,62,23,20,123,0,5,237,505
24030,"Laurentides--Labelle/Laurentides--Labelle"," 161","Sainte-Adèle",8,60,15,14,124,1,2,224,472
24030,"Laurentides--Labelle/Laurentides--Labelle"," 161-1","Sainte-Adèle",6,43,14,12,61,0,3,139,267
24030,"Laurentides--Labelle/Laurentides--Labelle"," 162","Sainte-Adèle",2,72,15,15,110,0,3,217,432
24030,"Laurentides--Labelle/Laurentides--Labelle"," 163","Sainte-Adèle",3,43,20,25,104,0,6,201,476
24030,"Laurentides--Labelle/Laurentides--Labelle"," 164","Sainte-Adèle",5,60,11,18,105,1,4,204,362
24030,"Laurentides--Labelle/Laurentides--Labelle"," 164-1","Sainte-Adèle",1,31,14,12,64,1,0,123,251
24030,"Laurentides--Labelle/Laurentides--Labelle"," 165","Sainte-Adèle",4,32,19,15,86,0,0,156,332
24030,"Laurentides--Labelle/Laurentides--Labelle"," 165-1","Sainte-Adèle",6,66,17,22,111,1,2,225,484
24030,"Laurentides--Labelle/Laurentides--Labelle"," 166","Sainte-Adèle",4,32,10,8,78,0,2,134,313
24030,"Laurentides--Labelle/Laurentides--Labelle"," 166-1","Sainte-Adèle",3,41,19,13,113,0,0,189,383
24030,"Laurentides--Labelle/Laurentides--Labelle"," 167","Sainte-Adèle",5,53,10,20,98,0,2,188,369
24030,"Laurentides--Labelle/Laurentides--Labelle"," 168","Sainte-Adèle",6,48,26,29,97,0,3,209,374
24030,"Laurentides--Labelle/Laurentides--Labelle"," 169","Sainte-Adèle",6,37,22,18,70,0,1,154,300
24030,"Laurentides--Labelle/Laurentides--Labelle"," 170A","Sainte-Adèle",4,44,11,16,74,0,2,151,460
24030,"Laurentides--Labelle/Laurentides--Labelle"," 170B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,,,74
24030,"Laurentides--Labelle/Laurentides--Labelle"," 170-1","Sainte-Adèle",Void/Supprimé,,,,,,,,
24030,"Laurentides--Labelle/Laurentides--Labelle"," 171","Sainte-Adèle",7,37,19,22,88,1,4,178,452
24030,"Laurentides--Labelle/Laurentides--Labelle"," 172","Sainte-Adèle",2,22,13,22,74,0,2,135,399
24030,"Laurentides--Labelle/Laurentides--Labelle"," 172-1","Sainte-Adèle",5,45,17,28,96,0,0,191,277
24030,"Laurentides--Labelle/Laurentides--Labelle"," 173","Sainte-Adèle",11,47,16,18,90,1,3,186,383
24030,"Laurentides--Labelle/Laurentides--Labelle"," 174","Sainte-Adèle",5,45,11,21,103,0,0,185,425
24030,"Laurentides--Labelle/Laurentides--Labelle"," 175","Sainte-Adèle",4,31,17,13,113,1,1,180,363
24030,"Laurentides--Labelle/Laurentides--Labelle"," 175-1","Sainte-Adèle",4,38,15,20,75,0,1,153,344
24030,"Laurentides--Labelle/Laurentides--Labelle"," 176","Sainte-Adèle",3,69,12,20,119,0,0,223,431
24030,"Laurentides--Labelle/Laurentides--Labelle"," 177","Sainte-Adèle",6,73,11,27,116,0,2,235,434
24030,"Laurentides--Labelle/Laurentides--Labelle"," 177-1","Sainte-Adèle",1,45,19,21,101,0,0,187,356
