Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wendy Menzies,Cheryl Osborne,Robert Sopuck,Kate Storey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 132","Hamiota",7,34,98,4,2,145,245
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 133","Cardale",14,15,37,9,0,75,125
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 134","Oak River",7,28,112,12,0,159,268
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 135","Moline",6,40,144,15,0,205,278
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 136","Rapid City",11,50,115,13,1,190,349
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 137","Rolling River 67",10,46,3,5,0,64,138
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 138","Erickson",4,48,114,11,0,177,260
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 139A","Erickson",4,43,77,18,0,142,258
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 139B","Erickson",8,35,70,8,0,121,263
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 140","Newdale",11,34,106,18,0,169,312
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 141","Clanwilliam",19,45,171,14,0,249,467
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 142","Minnedosa",5,31,74,6,0,116,230
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 143","Minnedosa",12,41,109,6,1,169,270
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 144","Minnedosa",10,22,62,5,0,99,200
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 145","Minnedosa",6,33,87,9,0,135,236
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 146A","Minnedosa",5,10,42,5,0,62,191
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 146B","Minnedosa",7,26,56,3,0,92,241
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 147","Minnedosa",15,42,110,7,1,175,298
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 148","Minnedosa",8,32,76,7,1,124,229
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 149","Moore Park",18,32,142,11,1,204,341
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 150","Riding Mountain",12,17,82,2,0,113,246
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 151","Kelwood",4,13,53,6,0,76,147
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 152","Glenella",10,28,127,5,0,170,313
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 153","Franklin",Void/Supprimé,,,,,,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 154","Birnie",0,14,79,8,0,101,262
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 155","Eden",7,31,79,6,0,123,337
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 156","Howden",12,25,197,4,0,238,437
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 157","Arden",2,10,96,3,0,111,231
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 158","Neepawa",4,24,100,2,1,131,271
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 159","Neepawa",8,14,84,4,0,110,203
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 160","Neepawa",10,21,67,5,1,104,193
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 161","Neepawa",22,31,113,7,0,173,359
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 162","Neepawa",12,10,88,4,0,114,226
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 163","Neepawa",22,19,55,8,3,107,277
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 164","Neepawa",4,21,62,10,0,97,311
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 165","Neepawa",9,13,97,3,0,122,202
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 166","Neepawa",24,20,167,2,0,213,359
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 167","Neepawa",Void/Supprimé,,,,,,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 168","Mentmore",13,24,74,7,0,118,237
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 169","Mekiwin",10,9,82,4,0,105,171
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 170","Plumas",12,17,181,5,0,215,364
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 171","Ogilvie--Mayfield",13,13,157,3,1,187,405
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 172","Langruth",8,26,91,4,0,129,240
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 173","Mayfield",Void/Supprimé,,,,,,
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 174","Gladstone",6,29,100,4,0,139,241
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 175","Gladstone",16,28,129,5,1,179,407
46004,"Dauphin--Swan River--Marquette/Dauphin--Swan River--Marquette"," 176","Muir",3,12,80,3,0,98,223
