Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean Marie Gionet,Yvon Godin,Louis Robichaud,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13001,"Acadie--Bathurst/Acadie--Bathurst"," 608","Grande Anse",50,247,29,7,333,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 609","Paquetville",106,466,79,6,657,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 610","Caraquet",166,339,73,6,584,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 611","Lamèque",58,303,57,6,424,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 612","Lamèque",74,391,76,7,548,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 613","Shippagan",125,530,122,9,786,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 614","St. Isidore",70,382,47,2,501,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 615","Tracadie-Sheila",67,346,108,8,529,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 616","Tracadie-Sheila",87,404,121,9,621,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 617","Nipisiguit",8,53,28,2,91,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 618","Caraquet",116,329,44,0,489,
13001,"Acadie--Bathurst/Acadie--Bathurst",,Group 1/Groupe 1,24,58,56,4,142,335
13001,"Acadie--Bathurst/Acadie--Bathurst",,Group 2/Groupe 2,232,657,186,14,1089,
