Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Vivian Barbot,Shama Chopra,Peter Macrisopoulos,Danny Polifroni,Marcos Radhames Tejada,Justin Trudeau,Joseph Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24048,"Papineau/Papineau"," 144A","Montréal",0,12,0,1,15,101,0,2,131,247
24048,"Papineau/Papineau"," 144B","Montréal",2,8,0,2,22,103,0,0,137,248
24048,"Papineau/Papineau"," 145","Montréal",3,21,3,5,26,170,0,6,234,463
24048,"Papineau/Papineau"," 146A","Montréal",6,5,2,2,20,86,0,1,122,250
24048,"Papineau/Papineau"," 146B","Montréal",2,15,1,0,19,95,0,0,132,265
24048,"Papineau/Papineau"," 147A","Montréal",7,11,1,1,24,108,0,5,157,375
24048,"Papineau/Papineau"," 147B","Montréal",3,15,2,3,20,113,1,1,158,378
24048,"Papineau/Papineau"," 148A","Montréal",8,10,2,2,20,95,1,4,142,240
24048,"Papineau/Papineau"," 148B","Montréal",3,8,2,2,14,91,1,3,124,235
24048,"Papineau/Papineau"," 149A","Montréal",12,10,0,3,28,83,0,1,137,269
24048,"Papineau/Papineau"," 149B","Montréal",2,10,1,2,19,79,0,1,114,251
24048,"Papineau/Papineau"," 150","Montréal",0,16,2,0,15,135,0,2,170,339
24048,"Papineau/Papineau"," 151A","Montréal",6,19,0,1,25,151,0,0,202,435
24048,"Papineau/Papineau"," 151B","Montréal",4,8,1,2,33,130,1,7,186,403
24048,"Papineau/Papineau"," 152","Montréal",1,12,1,2,19,93,2,0,130,317
24048,"Papineau/Papineau"," 153","Montréal",6,12,1,1,22,115,1,0,158,423
24048,"Papineau/Papineau"," 154","Montréal",3,8,0,3,31,100,2,1,148,322
24048,"Papineau/Papineau"," 155","Montréal",7,7,1,1,37,111,2,3,169,429
24048,"Papineau/Papineau"," 156","Montréal",13,18,1,4,30,143,0,3,212,410
24048,"Papineau/Papineau"," 157","Montréal",4,17,4,4,21,105,0,1,156,357
24048,"Papineau/Papineau"," 158A","Montréal",4,5,2,1,24,74,0,1,111,245
24048,"Papineau/Papineau"," 158B","Montréal",6,14,2,1,25,78,0,1,127,219
24048,"Papineau/Papineau"," 159","Montréal",11,5,1,3,42,73,0,0,135,342
24048,"Papineau/Papineau"," 160","Montréal",10,10,3,2,27,122,2,1,177,393
24048,"Papineau/Papineau"," 161","Montréal",5,17,3,3,34,112,0,3,177,427
24048,"Papineau/Papineau"," 162","Montréal",5,10,1,4,34,181,0,1,236,434
24048,"Papineau/Papineau"," 163","Montréal",17,12,4,2,54,153,0,3,245,409
24048,"Papineau/Papineau"," 164","Montréal",15,17,6,6,47,123,0,7,221,435
24048,"Papineau/Papineau"," 165","Montréal",22,7,0,2,59,114,1,3,208,421
24048,"Papineau/Papineau"," 166","Montréal",25,3,2,4,51,70,0,3,158,397
24048,"Papineau/Papineau"," 167","Montréal",11,9,1,4,36,114,0,4,179,415
24048,"Papineau/Papineau"," 168","Montréal",7,12,3,5,44,106,1,3,181,375
24048,"Papineau/Papineau"," 169A","Montréal",1,4,1,0,18,80,1,1,106,265
24048,"Papineau/Papineau"," 169B","Montréal",10,6,3,0,16,62,1,0,98,238
24048,"Papineau/Papineau"," 170","Montréal",6,19,2,2,40,103,1,1,174,388
24048,"Papineau/Papineau"," 171","Montréal",7,16,0,2,48,160,0,4,237,429
24048,"Papineau/Papineau"," 172","Montréal",4,16,2,3,36,134,1,3,199,412
24048,"Papineau/Papineau"," 173","Montréal",7,10,2,4,38,114,1,3,179,382
24048,"Papineau/Papineau"," 174A","Montréal",3,5,3,5,26,71,0,1,114,278
24048,"Papineau/Papineau"," 174B","Montréal",4,8,2,0,20,73,1,3,111,260
24048,"Papineau/Papineau"," 500","Mobile poll/Bureau itinérant",20,8,1,4,5,49,0,7,94,242
24048,"Papineau/Papineau"," 501","Mobile poll/Bureau itinérant",2,0,1,1,2,26,0,0,32,108
24048,"Papineau/Papineau"," 502","Mobile poll/Bureau itinérant",12,4,1,0,18,30,0,2,67,141
24048,"Papineau/Papineau"," 503","Mobile poll/Bureau itinérant",13,4,0,1,10,36,0,4,68,109
24048,"Papineau/Papineau"," 600","Montréal",101,21,0,6,80,206,0,5,419,
24048,"Papineau/Papineau"," 601","Montréal",137,13,4,8,94,167,2,8,433,
24048,"Papineau/Papineau"," 602","Montréal",156,23,1,5,105,157,1,3,451,
24048,"Papineau/Papineau"," 603","Montréal",92,20,0,2,67,140,0,2,323,
24048,"Papineau/Papineau"," 604","Montréal",156,17,1,4,99,146,1,9,433,
24048,"Papineau/Papineau"," 605","Montréal",225,15,7,9,130,154,0,7,547,
24048,"Papineau/Papineau"," 606","Montréal",309,17,1,8,142,141,0,6,624,
24048,"Papineau/Papineau"," 607","Montréal",231,19,1,9,131,141,2,2,536,
24048,"Papineau/Papineau"," 608","Montréal",307,11,3,13,126,151,0,7,618,
24048,"Papineau/Papineau"," 609","Montréal",229,9,1,11,105,147,0,2,504,
24048,"Papineau/Papineau"," 610","Montréal",32,33,3,5,45,345,0,15,478,
24048,"Papineau/Papineau"," 611","Montréal",39,29,4,4,73,360,1,4,514,
24048,"Papineau/Papineau",,Group 1/Groupe 1,17,8,0,2,15,37,2,8,89,135
24048,"Papineau/Papineau",,Group 2/Groupe 2,240,32,2,9,93,318,1,13,708,
