Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Blanchard,Sheila Brown-Eckersley,Devinder Shory,Colette Singh,Cam Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48004,"Calgary Northeast/Calgary-Nord-Est"," 100","Calgary",0,4,66,16,23,0,109,333
48004,"Calgary Northeast/Calgary-Nord-Est"," 101","Calgary",0,8,116,15,28,2,169,382
48004,"Calgary Northeast/Calgary-Nord-Est"," 102","Calgary",2,15,105,15,43,2,182,454
48004,"Calgary Northeast/Calgary-Nord-Est"," 103","Calgary",2,12,88,13,29,0,144,342
48004,"Calgary Northeast/Calgary-Nord-Est"," 104","Calgary",2,7,110,7,14,0,140,406
48004,"Calgary Northeast/Calgary-Nord-Est"," 105","Calgary",0,3,36,11,20,0,70,241
48004,"Calgary Northeast/Calgary-Nord-Est"," 106","Calgary",1,11,77,16,16,1,122,330
48004,"Calgary Northeast/Calgary-Nord-Est"," 107","Calgary",0,13,117,20,32,2,184,410
48004,"Calgary Northeast/Calgary-Nord-Est"," 108","Calgary",1,9,77,15,53,0,155,337
48004,"Calgary Northeast/Calgary-Nord-Est"," 109","Calgary",0,5,74,17,43,0,139,325
48004,"Calgary Northeast/Calgary-Nord-Est"," 110","Calgary",0,10,101,15,30,2,158,352
48004,"Calgary Northeast/Calgary-Nord-Est"," 111","Calgary",0,4,78,15,33,0,130,342
48004,"Calgary Northeast/Calgary-Nord-Est"," 112","Calgary",1,12,114,13,49,1,190,398
48004,"Calgary Northeast/Calgary-Nord-Est"," 113","Calgary",1,8,98,22,43,2,174,390
48004,"Calgary Northeast/Calgary-Nord-Est"," 114","Calgary",0,19,104,26,35,0,184,432
48004,"Calgary Northeast/Calgary-Nord-Est"," 115","Calgary",0,16,123,14,35,2,190,476
48004,"Calgary Northeast/Calgary-Nord-Est"," 116","Calgary",0,12,94,10,18,2,136,355
48004,"Calgary Northeast/Calgary-Nord-Est"," 117","Calgary",2,9,100,8,31,0,150,360
48004,"Calgary Northeast/Calgary-Nord-Est"," 118","Calgary",2,6,95,8,20,0,131,416
48004,"Calgary Northeast/Calgary-Nord-Est"," 119","Calgary",0,9,93,13,48,3,166,488
48004,"Calgary Northeast/Calgary-Nord-Est"," 120","Calgary",0,5,97,15,32,0,149,465
48004,"Calgary Northeast/Calgary-Nord-Est"," 121","Calgary",0,1,45,8,17,1,72,241
48004,"Calgary Northeast/Calgary-Nord-Est"," 121-1","Calgary",1,7,49,15,35,0,107,301
48004,"Calgary Northeast/Calgary-Nord-Est"," 122","Calgary",0,5,65,17,55,6,148,360
48004,"Calgary Northeast/Calgary-Nord-Est"," 123","Calgary",1,8,77,14,25,10,135,370
48004,"Calgary Northeast/Calgary-Nord-Est"," 124","Calgary",1,7,51,10,27,2,98,292
48004,"Calgary Northeast/Calgary-Nord-Est"," 124-1","Calgary",1,3,51,11,25,0,91,335
48004,"Calgary Northeast/Calgary-Nord-Est"," 125","Calgary",2,13,92,18,18,1,144,327
48004,"Calgary Northeast/Calgary-Nord-Est"," 126","Calgary",2,11,160,42,15,1,231,368
48004,"Calgary Northeast/Calgary-Nord-Est"," 127","Calgary",0,18,60,20,20,0,118,310
48004,"Calgary Northeast/Calgary-Nord-Est"," 128","Calgary",1,18,92,25,26,0,162,420
48004,"Calgary Northeast/Calgary-Nord-Est"," 129","Calgary",0,4,46,21,13,1,85,270
48004,"Calgary Northeast/Calgary-Nord-Est"," 130","Calgary",5,9,102,16,68,1,201,514
48004,"Calgary Northeast/Calgary-Nord-Est"," 131","Calgary",2,5,80,18,16,0,121,321
48004,"Calgary Northeast/Calgary-Nord-Est"," 132","Calgary",1,8,105,31,32,3,180,439
48004,"Calgary Northeast/Calgary-Nord-Est"," 133","Calgary",0,11,122,12,29,1,175,392
48004,"Calgary Northeast/Calgary-Nord-Est"," 134","Calgary",3,15,143,21,45,1,228,533
48004,"Calgary Northeast/Calgary-Nord-Est"," 135","Calgary",1,11,114,22,29,2,179,390
48004,"Calgary Northeast/Calgary-Nord-Est"," 136","Calgary",2,10,91,24,60,0,187,493
48004,"Calgary Northeast/Calgary-Nord-Est"," 137","Calgary",0,6,15,14,15,0,50,237
48004,"Calgary Northeast/Calgary-Nord-Est"," 138","Calgary",3,6,45,16,17,0,87,238
48004,"Calgary Northeast/Calgary-Nord-Est"," 139","Calgary",0,0,13,13,18,0,44,206
48004,"Calgary Northeast/Calgary-Nord-Est"," 140","Calgary",1,13,77,11,47,1,150,399
48004,"Calgary Northeast/Calgary-Nord-Est"," 141","Calgary",0,5,91,11,38,0,145,293
48004,"Calgary Northeast/Calgary-Nord-Est"," 142","Calgary",0,15,104,23,60,2,204,513
48004,"Calgary Northeast/Calgary-Nord-Est"," 143","Calgary",0,19,105,16,33,2,175,459
48004,"Calgary Northeast/Calgary-Nord-Est"," 144","Calgary",0,7,86,14,46,1,154,412
48004,"Calgary Northeast/Calgary-Nord-Est"," 145","Calgary",1,3,107,22,35,0,168,418
48004,"Calgary Northeast/Calgary-Nord-Est"," 146","Calgary",3,8,113,19,37,2,182,403
48004,"Calgary Northeast/Calgary-Nord-Est"," 147","Calgary",1,9,75,22,21,0,128,338
48004,"Calgary Northeast/Calgary-Nord-Est"," 148","Calgary",0,6,99,14,33,2,154,373
48004,"Calgary Northeast/Calgary-Nord-Est"," 149","Calgary",0,6,79,17,18,0,120,330
48004,"Calgary Northeast/Calgary-Nord-Est"," 150","Calgary",1,14,82,13,21,0,131,342
48004,"Calgary Northeast/Calgary-Nord-Est"," 151","Calgary",1,9,74,12,10,3,109,352
48004,"Calgary Northeast/Calgary-Nord-Est"," 152","Calgary",0,10,79,18,24,0,131,399
48004,"Calgary Northeast/Calgary-Nord-Est"," 152-1","Calgary",0,8,61,10,5,1,85,241
