Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Irwin Cotler,Gabriel Dumais,Jeff Itcush,Diane Johnston,Brian Sarwer-Foner,abraham Weizfeld,Saulie Zajdel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24044,"Mount Royal/Mont-Royal"," 62","Montréal",110,7,65,3,1,0,69,3,258,361
24044,"Mount Royal/Mont-Royal"," 63A","Montréal",56,0,28,0,1,0,95,1,181,463
24044,"Mount Royal/Mont-Royal"," 63B","Montréal",Merged with No. 64/Fusionné avec le nº 64,,,,,,,,,82
24044,"Mount Royal/Mont-Royal"," 64","Montréal",73,0,25,0,2,0,103,2,205,363
24044,"Mount Royal/Mont-Royal"," 65","Montréal",68,2,38,0,2,0,86,5,201,444
24044,"Mount Royal/Mont-Royal"," 66A","Montréal",83,5,38,0,6,0,63,7,202,428
24044,"Mount Royal/Mont-Royal"," 66B","Montréal",Merged with No. 75/Fusionné avec le nº 75,,,,,,,,,58
24044,"Mount Royal/Mont-Royal"," 67","Montréal",97,7,40,2,2,0,34,0,182,373
24044,"Mount Royal/Mont-Royal"," 68","Montréal",61,0,34,1,3,0,19,4,122,267
24044,"Mount Royal/Mont-Royal"," 69","Montréal",93,3,38,0,1,0,46,9,190,413
24044,"Mount Royal/Mont-Royal"," 70","Montréal",68,4,40,1,2,0,61,2,178,377
24044,"Mount Royal/Mont-Royal"," 71","Montréal",87,5,44,1,4,1,37,4,183,274
24044,"Mount Royal/Mont-Royal"," 72","Montréal",38,2,16,0,0,1,129,15,201,296
24044,"Mount Royal/Mont-Royal"," 73A","Montréal",Merged with No. 71/Fusionné avec le nº 71,,,,,,,,,137
24044,"Mount Royal/Mont-Royal"," 73B","Montréal",74,7,29,0,2,0,41,4,157,402
24044,"Mount Royal/Mont-Royal"," 74","Montréal",63,6,65,1,6,0,53,3,197,453
24044,"Mount Royal/Mont-Royal"," 75","Montréal",75,16,53,0,7,1,40,2,194,359
24044,"Mount Royal/Mont-Royal"," 76","Montréal",72,13,71,0,1,0,20,0,177,396
24044,"Mount Royal/Mont-Royal"," 77","Montréal",59,7,39,0,5,0,38,1,149,330
