Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pierre Audette,Jacques Grenier,Jean-Yves Laforest,Lise St-Denis,Yves Tousignant,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 112","Grand-Mère",7,36,44,58,15,11,171,361
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 113","Grand-Mère",4,38,41,79,19,7,188,461
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 114","Grand-Mère",3,36,45,72,31,5,192,430
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 115","Grand-Mère",1,26,42,61,13,0,143,310
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 116","Shawinigan",3,33,91,91,7,9,234,420
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 117","Shawinigan",8,37,76,82,19,7,229,514
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 118","Shawinigan",5,31,52,96,13,5,202,388
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 119","Shawinigan",8,21,81,70,20,6,206,344
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 120","Shawinigan",3,20,56,91,20,8,198,330
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 121","Shawinigan",4,26,40,78,23,7,178,435
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 122","Shawinigan",1,20,34,67,12,4,138,303
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 123","Shawinigan",0,33,60,88,14,4,199,359
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 124","Shawinigan",1,26,41,49,12,6,135,322
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 125","Shawinigan",1,20,52,52,16,5,146,342
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 126","Shawinigan",4,19,70,46,14,4,157,336
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 127","Shawinigan",5,26,66,58,15,10,180,388
