Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tim Hickey,Daryl Kramp,Patrick Larkin,Michael McMahon,Andrew Skinner,Peter Tinsley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 73","Belleville",2,175,7,43,1,21,1,250,423
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 74","Belleville",0,134,4,52,0,32,0,222,441
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 75","Belleville",2,82,5,38,2,17,1,147,334
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 76","Belleville",3,93,6,51,0,20,1,174,416
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 77","Belleville",0,72,9,32,1,19,0,133,286
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 78","Belleville",0,173,5,79,1,47,1,306,624
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 79","Belleville",1,131,7,44,1,56,0,240,515
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 80","Belleville",0,66,3,38,0,20,0,127,335
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 80-1","Belleville",1,104,5,37,2,36,0,185,378
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 81","Belleville",3,133,8,52,1,28,1,226,545
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 82","Belleville",2,101,8,37,0,29,0,177,440
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 83","Belleville",5,89,8,48,0,21,0,171,342
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 84","Belleville",3,105,2,48,0,29,1,188,354
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 85","Belleville",1,77,2,37,0,24,0,141,229
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 86","Read",3,137,12,62,2,24,0,240,502
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 87","Read",0,114,4,64,2,22,2,208,470
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 88","Read",2,99,8,65,3,56,0,233,413
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 89","Shannonville",2,98,4,43,0,23,0,170,367
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 90","Shannonville",0,133,5,69,0,31,0,238,455
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 91","Shannonville",0,66,3,46,1,13,2,131,346
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 92","Marysville",1,105,9,50,2,39,1,207,411
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 93","Shannonville",0,28,2,31,0,5,0,66,276
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 94","Tyendinaga Mohawk Territory",0,49,3,64,1,21,1,139,418
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 95","Tyendinaga Mohawk Territory",0,22,5,45,0,6,0,78,192
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 96","Tyendinaga Mohawk Territory",0,45,2,59,1,15,0,122,405
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 97","Deseronto",1,81,7,47,4,19,2,161,339
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 98","Deseronto",2,92,4,61,0,23,3,185,346
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 99","Deseronto",0,65,6,48,5,22,1,147,321
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 100","Deseronto",1,80,4,67,0,21,0,173,365
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 101","Belleville",0,130,5,31,1,55,0,222,414
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 102","Belleville",1,66,3,49,1,13,1,134,314
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 103","Belleville",0,54,3,37,0,22,1,117,357
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 104","Belleville",1,92,8,34,0,43,0,178,343
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 105","Belleville",0,127,1,67,0,42,0,237,474
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 106","Belleville",3,134,7,67,0,49,0,260,473
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 106-1","Belleville",1,112,3,48,0,60,1,225,369
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 107","Belleville",1,111,3,49,2,38,1,205,363
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 108","Belleville",1,50,7,26,0,4,1,89,216
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 109","Belleville",1,102,7,39,0,48,1,198,389
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 110","Belleville",0,100,10,58,0,68,0,236,431
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 111","Belleville",2,91,7,41,0,48,1,190,360
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 112","Belleville",1,117,2,52,1,39,0,212,421
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 113","Belleville",0,138,5,73,0,62,2,280,612
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 114","Belleville",1,39,2,41,0,7,0,90,285
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 115","Belleville",1,69,7,48,0,35,0,160,327
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 116","Belleville",3,110,4,49,0,20,1,187,380
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 117","Belleville",0,55,2,48,0,10,0,115,398
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 118","Belleville",2,67,3,60,0,11,0,143,445
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 119","Belleville",0,83,3,39,1,32,2,160,332
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 120","Belleville",0,55,2,40,0,20,1,118,339
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 121","Belleville",1,66,5,38,0,40,0,150,413
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 122","Belleville",0,58,4,31,0,45,0,138,286
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 123","Belleville",2,122,5,78,0,31,2,240,481
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 123-1","Belleville",1,116,1,68,0,23,1,210,489
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 124","Belleville",0,66,4,41,1,16,2,130,296
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 125","Belleville",3,52,8,41,1,17,0,122,403
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 126","Belleville",1,54,7,53,0,11,2,128,397
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 127","Belleville",2,63,3,70,1,22,0,161,431
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 128","Belleville",5,69,6,51,0,24,1,156,345
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 129","Belleville",2,76,6,40,1,45,1,171,397
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 130","Belleville",2,72,6,74,1,42,0,197,442
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 131","Belleville",2,83,13,71,1,38,0,208,400
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 132","Belleville",1,50,6,65,1,75,0,198,426
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 133","Belleville",1,69,5,59,0,60,1,195,417
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 134","Belleville",0,85,8,59,1,55,0,208,409
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 135","Belleville",7,124,10,60,4,49,0,254,417
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 136","Belleville",0,83,9,46,0,58,1,197,398
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 137","Belleville",1,69,4,57,1,58,0,190,372
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 138","Belleville",1,76,1,75,1,46,0,200,368
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 139","Belleville",0,54,3,47,0,47,1,152,313
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 140","Belleville",0,72,4,33,0,44,0,153,283
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 140-1","Belleville",1,95,0,40,0,45,0,181,426
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 141","Belleville",0,69,7,39,2,56,1,174,374
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 142","Belleville",3,94,6,54,0,63,0,220,412
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 143","Belleville",1,101,7,39,0,50,0,198,347
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 144","Belleville",0,110,3,48,2,61,0,224,435
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 145","Belleville",0,87,9,38,0,66,2,202,381
35073,"Prince Edward--Hastings/Prince Edward--Hastings"," 146","Belleville",0,80,9,67,0,45,1,202,409
