Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Harold Albrecht,Albert Ashley,Lorne Bruce,Bob Rosehart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 131","Kitchener",47,4,42,15,1,109,368
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 132","Kitchener",98,6,61,48,1,214,390
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 133","Kitchener",66,4,66,30,1,167,371
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 134","Kitchener",74,13,74,28,0,189,406
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 135","Kitchener",86,5,53,52,1,197,378
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 136","Kitchener",98,14,78,41,1,232,507
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 137","Kitchener",32,3,47,22,1,105,257
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 138","Kitchener",94,11,108,35,3,251,513
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 139","Kitchener",Void/Supprimé,,,,,,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 140A","Kitchener",76,13,57,27,1,174,369
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 140B","Kitchener",76,4,45,23,0,148,332
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 141","Kitchener",106,10,65,50,4,235,442
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 142","Kitchener",153,10,70,44,3,280,518
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 143","Kitchener",130,8,92,52,0,282,532
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 144","Kitchener",144,7,84,73,1,309,585
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 145A","Kitchener",82,5,70,39,0,196,331
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 145B","Kitchener",88,8,55,23,1,175,327
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 146","Kitchener",197,11,53,55,1,317,596
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 147","Kitchener",92,11,53,51,2,209,399
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 147-1A","Kitchener",82,8,43,33,3,169,327
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 147-1B","Kitchener",88,7,37,29,4,165,358
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 147-2","Kitchener",113,22,40,53,0,228,347
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 147-3A","Kitchener",97,4,52,32,0,185,312
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 147-3B","Kitchener",51,3,27,34,0,115,259
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 148","Kitchener",169,16,55,56,0,296,477
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 149","Kitchener",146,14,56,51,0,267,448
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 150","Kitchener",103,8,54,53,0,218,338
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 151","Kitchener",123,10,61,45,2,241,447
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 152","Kitchener",75,4,70,18,1,168,356
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 153","Kitchener",120,12,88,50,0,270,485
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 154","Kitchener",99,7,62,40,0,208,409
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 155","Kitchener",72,5,60,40,2,179,422
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 156","Kitchener",52,9,35,27,0,123,248
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 157","Kitchener",97,10,59,35,1,202,339
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 158","Kitchener",74,14,52,22,0,162,297
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 159","Kitchener",56,13,47,16,0,132,295
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 160","Kitchener",160,9,65,60,0,294,572
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 160-1","Kitchener",186,6,39,73,2,306,567
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 160-2","Kitchener",166,4,47,46,0,263,467
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 160-3A","Kitchener",106,6,38,25,0,175,311
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 160-3B","Kitchener",71,2,26,36,0,135,290
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 161A","Kitchener",133,4,28,40,0,205,342
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 161B","Kitchener",113,8,43,49,0,213,370
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 162","Kitchener",178,14,59,83,1,335,537
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 162-1","Kitchener",152,13,53,45,1,264,457
