Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lorraine Banville,Guillaume Berger-Richard,Carl Dubois,Hélène LeBlanc,Yves Le Seigle,Chang-Tao Jimmy Yu,Lise Zarac,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24029,"LaSalle--Émard/LaSalle--Émard"," 136","LaSalle",3,0,16,75,0,21,47,3,165,391
24029,"LaSalle--Émard/LaSalle--Émard"," 137","LaSalle",4,1,13,58,0,25,49,1,151,388
24029,"LaSalle--Émard/LaSalle--Émard"," 138","LaSalle",4,1,20,61,0,21,55,3,165,327
24029,"LaSalle--Émard/LaSalle--Émard"," 139","LaSalle",2,0,19,78,0,34,64,4,201,411
24029,"LaSalle--Émard/LaSalle--Émard"," 140","LaSalle",5,1,20,98,0,32,35,2,193,373
24029,"LaSalle--Émard/LaSalle--Émard"," 141","LaSalle",3,1,24,98,0,21,38,2,187,433
24029,"LaSalle--Émard/LaSalle--Émard"," 142","LaSalle",3,1,25,79,0,20,55,2,185,370
24029,"LaSalle--Émard/LaSalle--Émard"," 143","LaSalle",5,0,18,71,0,31,41,1,167,398
24029,"LaSalle--Émard/LaSalle--Émard"," 144","LaSalle",2,0,26,74,0,30,43,3,178,378
24029,"LaSalle--Émard/LaSalle--Émard"," 145","LaSalle",2,2,31,74,0,27,55,2,193,391
24029,"LaSalle--Émard/LaSalle--Émard"," 146","LaSalle",7,1,27,78,2,21,37,1,174,328
24029,"LaSalle--Émard/LaSalle--Émard"," 147","LaSalle",4,0,34,118,0,15,45,1,217,358
24029,"LaSalle--Émard/LaSalle--Émard"," 148","LaSalle",4,1,19,59,0,12,46,4,145,253
24029,"LaSalle--Émard/LaSalle--Émard"," 149","LaSalle",10,2,26,99,0,26,29,5,197,377
24029,"LaSalle--Émard/LaSalle--Émard"," 150","LaSalle",12,0,51,143,0,19,50,5,280,474
24029,"LaSalle--Émard/LaSalle--Émard"," 151","LaSalle",8,1,24,79,0,16,29,3,160,325
24029,"LaSalle--Émard/LaSalle--Émard"," 152","LaSalle",4,1,39,73,0,6,20,1,144,309
24029,"LaSalle--Émard/LaSalle--Émard"," 153","LaSalle",9,0,36,101,1,25,31,4,207,405
24029,"LaSalle--Émard/LaSalle--Émard"," 154","LaSalle",6,1,37,100,0,13,26,0,183,371
24029,"LaSalle--Émard/LaSalle--Émard"," 155","LaSalle",3,1,44,108,0,19,35,4,214,396
24029,"LaSalle--Émard/LaSalle--Émard"," 156","LaSalle",5,0,40,97,0,10,28,5,185,365
24029,"LaSalle--Émard/LaSalle--Émard"," 157","LaSalle",5,1,35,123,0,13,22,4,203,394
24029,"LaSalle--Émard/LaSalle--Émard"," 158","LaSalle",1,1,17,80,0,32,47,3,181,425
24029,"LaSalle--Émard/LaSalle--Émard"," 159","LaSalle",7,1,36,96,1,16,30,0,187,336
24029,"LaSalle--Émard/LaSalle--Émard"," 160","LaSalle",5,0,33,95,0,22,33,4,192,356
24029,"LaSalle--Émard/LaSalle--Émard"," 161","LaSalle",8,0,25,101,0,26,44,3,207,454
24029,"LaSalle--Émard/LaSalle--Émard"," 162","LaSalle",8,2,36,88,0,20,39,1,194,370
24029,"LaSalle--Émard/LaSalle--Émard"," 163","LaSalle",6,2,15,98,2,36,72,2,233,511
24029,"LaSalle--Émard/LaSalle--Émard"," 164","LaSalle",3,2,15,91,1,24,49,3,188,530
24029,"LaSalle--Émard/LaSalle--Émard"," 165","LaSalle",Void/Supprimé,,,,,,,,,
24029,"LaSalle--Émard/LaSalle--Émard"," 166","LaSalle",2,0,20,85,1,27,42,4,181,362
24029,"LaSalle--Émard/LaSalle--Émard"," 167","LaSalle",1,0,14,76,0,47,56,1,195,400
24029,"LaSalle--Émard/LaSalle--Émard"," 168","LaSalle",2,1,16,105,1,48,86,0,259,419
24029,"LaSalle--Émard/LaSalle--Émard"," 169","LaSalle",3,1,35,80,1,22,20,1,163,356
24029,"LaSalle--Émard/LaSalle--Émard"," 170","LaSalle",5,1,26,105,1,17,43,0,198,391
24029,"LaSalle--Émard/LaSalle--Émard"," 171","LaSalle",5,0,27,89,0,32,43,1,197,307
24029,"LaSalle--Émard/LaSalle--Émard"," 172","LaSalle",1,0,27,107,0,40,49,1,225,399
24029,"LaSalle--Émard/LaSalle--Émard"," 173","LaSalle",2,0,27,125,0,38,66,1,259,468
24029,"LaSalle--Émard/LaSalle--Émard"," 174","LaSalle",3,0,17,46,0,15,48,0,129,296
24029,"LaSalle--Émard/LaSalle--Émard"," 175","LaSalle",8,0,16,61,0,20,43,2,150,357
24029,"LaSalle--Émard/LaSalle--Émard"," 176","LaSalle",1,0,19,64,0,32,40,1,157,314
24029,"LaSalle--Émard/LaSalle--Émard"," 177","LaSalle",1,1,18,45,0,29,61,4,159,308
24029,"LaSalle--Émard/LaSalle--Émard"," 178","LaSalle",5,2,11,1,73,27,56,4,179,405
24029,"LaSalle--Émard/LaSalle--Émard"," 179","LaSalle",4,2,13,95,1,32,49,9,205,523
24029,"LaSalle--Émard/LaSalle--Émard"," 180","LaSalle",0,1,18,62,0,30,64,1,176,368
24029,"LaSalle--Émard/LaSalle--Émard"," 181","LaSalle",6,0,19,82,0,30,54,3,194,365
24029,"LaSalle--Émard/LaSalle--Émard"," 182","LaSalle",4,0,34,48,0,15,19,1,121,284
24029,"LaSalle--Émard/LaSalle--Émard"," 183","LaSalle",7,0,52,114,1,13,28,3,218,404
24029,"LaSalle--Émard/LaSalle--Émard"," 184","LaSalle",7,0,27,87,0,24,46,4,195,380
24029,"LaSalle--Émard/LaSalle--Émard"," 185A","LaSalle",1,0,29,117,0,19,53,2,221,375
24029,"LaSalle--Émard/LaSalle--Émard"," 185B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,,16
24029,"LaSalle--Émard/LaSalle--Émard"," 186","LaSalle",6,0,38,59,0,18,42,2,165,312
24029,"LaSalle--Émard/LaSalle--Émard"," 187","LaSalle",9,0,27,108,0,24,49,1,218,472
24029,"LaSalle--Émard/LaSalle--Émard"," 188","LaSalle",6,0,30,78,0,28,44,1,187,379
24029,"LaSalle--Émard/LaSalle--Émard"," 189","LaSalle",5,1,21,88,1,22,51,2,191,344
24029,"LaSalle--Émard/LaSalle--Émard"," 190","LaSalle",4,0,33,104,0,26,48,1,216,470
24029,"LaSalle--Émard/LaSalle--Émard"," 191","LaSalle",7,1,16,102,0,60,82,0,268,489
24029,"LaSalle--Émard/LaSalle--Émard"," 400","LaSalle",6,3,38,60,4,33,99,12,255,305
24029,"LaSalle--Émard/LaSalle--Émard"," 500","Mobile poll/Bureau itinérant",6,7,21,25,2,19,59,9,148,163
24029,"LaSalle--Émard/LaSalle--Émard"," 600","Montréal",14,4,116,221,3,43,116,12,529,
24029,"LaSalle--Émard/LaSalle--Émard"," 601","Montréal",20,3,112,175,0,53,139,8,510,
24029,"LaSalle--Émard/LaSalle--Émard"," 602","Montréal",8,1,171,211,5,61,131,16,604,
24029,"LaSalle--Émard/LaSalle--Émard"," 603","Montréal",4,1,52,126,1,54,154,8,400,
24029,"LaSalle--Émard/LaSalle--Émard"," 604","Montréal",4,3,78,276,1,102,251,7,722,
24029,"LaSalle--Émard/LaSalle--Émard"," 605","Montréal",5,3,26,101,1,38,101,4,279,
24029,"LaSalle--Émard/LaSalle--Émard"," 606","Montréal",9,0,69,115,1,37,114,7,352,
24029,"LaSalle--Émard/LaSalle--Émard"," 607","Montréal",4,3,61,145,0,41,106,2,362,
24029,"LaSalle--Émard/LaSalle--Émard"," 608","Montréal",8,1,66,152,0,75,161,3,466,
24029,"LaSalle--Émard/LaSalle--Émard"," 609","Montréal",6,1,114,258,0,81,151,4,615,
24029,"LaSalle--Émard/LaSalle--Émard"," 610","Montréal",15,0,83,248,1,155,253,5,760,
24029,"LaSalle--Émard/LaSalle--Émard"," 611","Montréal",7,4,78,217,0,65,159,7,537,
24029,"LaSalle--Émard/LaSalle--Émard",,Group 1/Groupe 1,6,1,15,9,0,29,26,5,91,145
24029,"LaSalle--Émard/LaSalle--Émard",,Group 2/Groupe 2,8,1,82,102,0,63,127,14,397,
