Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Judi Falardeau,Philip Fernandez,Catherine Holliday,Ellen Michelson,Kevin Moore,Bob Rae,Susan Wallace,Bahman Yazdanfar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35093,Toronto Centre/Toronto-Centre,69,Toronto,0,0,0,9,23,38,79,1,0,150,365
35093,Toronto Centre/Toronto-Centre,70,Toronto,0,1,0,5,21,66,77,0,1,171,360
35093,Toronto Centre/Toronto-Centre,71,Toronto,Void/Supprimé,,,,,,,,,,
35093,Toronto Centre/Toronto-Centre,72,Toronto,1,0,0,22,36,135,48,0,2,244,381
35093,Toronto Centre/Toronto-Centre,73,Toronto,0,0,0,17,41,114,61,0,0,233,386
35093,Toronto Centre/Toronto-Centre,74,Toronto,1,0,0,13,45,142,46,0,0,247,396
35093,Toronto Centre/Toronto-Centre,75,Toronto,1,0,0,15,40,115,65,0,0,236,399
35093,Toronto Centre/Toronto-Centre,76,Toronto,0,0,1,14,25,80,65,1,0,186,351
35093,Toronto Centre/Toronto-Centre,77,Toronto,1,0,2,13,28,78,76,0,1,199,354
35093,Toronto Centre/Toronto-Centre,78,Toronto,3,0,0,18,29,102,83,0,1,236,397
35093,Toronto Centre/Toronto-Centre, 79A,Toronto,1,1,0,16,28,89,139,0,0,274,461
35093,Toronto Centre/Toronto-Centre, 79B,Toronto,1,1,2,2,24,57,96,0,0,183,321
35093,Toronto Centre/Toronto-Centre,80,Toronto,2,0,1,3,17,38,32,2,5,100,219
35093,Toronto Centre/Toronto-Centre,81,Toronto,1,0,0,7,18,53,77,0,1,157,351
35093,Toronto Centre/Toronto-Centre,82,Toronto,1,1,1,14,23,62,137,0,0,239,416
35093,Toronto Centre/Toronto-Centre,83,Toronto,2,0,0,9,17,44,105,0,2,179,400
35093,Toronto Centre/Toronto-Centre,84,Toronto,0,0,0,2,46,45,29,0,0,122,208
35093,Toronto Centre/Toronto-Centre,85,Toronto,0,0,0,0,5,7,19,0,0,31,58
35093,Toronto Centre/Toronto-Centre,86,Toronto,2,0,1,18,48,135,81,1,2,288,604
35093,Toronto Centre/Toronto-Centre,87,Toronto,1,0,0,18,23,51,90,1,1,185,313
