Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paulina Ayala,Jean-Paul Bédard,Gaëtan Bérard,Valery Chevrefils-Latulippe,Gérard Labelle,Martin Laroche,Pablo Rodriguez,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24022,"Honoré-Mercier/Honoré-Mercier"," 117","Montréal",88,0,7,1,15,84,40,1,236,430
24022,"Honoré-Mercier/Honoré-Mercier"," 118","Anjou",74,0,0,3,17,25,53,4,176,336
24022,"Honoré-Mercier/Honoré-Mercier"," 119","Anjou",78,0,4,1,13,37,31,1,165,358
24022,"Honoré-Mercier/Honoré-Mercier"," 120","Anjou",78,0,4,3,10,45,28,5,173,402
24022,"Honoré-Mercier/Honoré-Mercier"," 121","Anjou",60,0,3,0,11,33,27,5,139,308
24022,"Honoré-Mercier/Honoré-Mercier"," 122","Anjou",70,5,4,2,21,54,45,0,201,388
24022,"Honoré-Mercier/Honoré-Mercier"," 123","Anjou",80,1,4,3,11,70,41,1,211,404
24022,"Honoré-Mercier/Honoré-Mercier"," 124","Anjou",55,1,2,0,10,43,21,1,133,295
24022,"Honoré-Mercier/Honoré-Mercier"," 125","Anjou",87,2,4,1,27,57,47,4,229,413
24022,"Honoré-Mercier/Honoré-Mercier"," 126","Anjou",76,0,3,0,14,37,57,3,190,328
24022,"Honoré-Mercier/Honoré-Mercier"," 127","Anjou",77,0,3,2,14,50,48,2,196,353
24022,"Honoré-Mercier/Honoré-Mercier"," 128","Anjou",105,0,6,3,8,71,44,3,240,371
24022,"Honoré-Mercier/Honoré-Mercier"," 129","Anjou",83,0,4,0,22,43,55,8,215,363
24022,"Honoré-Mercier/Honoré-Mercier"," 130","Anjou",79,1,1,0,24,25,46,5,181,391
24022,"Honoré-Mercier/Honoré-Mercier"," 131","Anjou",74,1,2,1,24,36,78,3,219,374
24022,"Honoré-Mercier/Honoré-Mercier"," 132","Anjou",100,0,2,1,14,48,62,7,234,383
24022,"Honoré-Mercier/Honoré-Mercier"," 133","Anjou",124,1,4,2,25,55,75,1,287,420
24022,"Honoré-Mercier/Honoré-Mercier"," 134","Anjou",73,1,3,2,20,31,42,6,178,411
24022,"Honoré-Mercier/Honoré-Mercier"," 135","Anjou",80,1,1,1,22,42,58,3,208,345
24022,"Honoré-Mercier/Honoré-Mercier"," 136","Anjou",64,1,2,1,18,15,31,3,135,329
24022,"Honoré-Mercier/Honoré-Mercier"," 137","Anjou",109,0,4,3,35,55,71,5,282,453
24022,"Honoré-Mercier/Honoré-Mercier"," 138","Anjou",47,0,4,1,13,40,50,0,155,241
24022,"Honoré-Mercier/Honoré-Mercier"," 139","Anjou",73,1,6,0,15,38,61,0,194,332
24022,"Honoré-Mercier/Honoré-Mercier"," 140","Anjou",73,0,1,1,19,35,42,5,176,354
24022,"Honoré-Mercier/Honoré-Mercier"," 141","Anjou",51,0,5,0,11,28,27,2,124,352
