Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jim Maloway,Ilona Niemczyk,Lawrence Toet,Ellen Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46005,"Elmwood--Transcona/Elmwood--Transcona"," 20-1A","Winnipeg",48,8,62,6,0,124,193
46005,"Elmwood--Transcona/Elmwood--Transcona"," 20-1B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,12
46005,"Elmwood--Transcona/Elmwood--Transcona"," 21","Winnipeg",82,21,85,17,0,205,320
46005,"Elmwood--Transcona/Elmwood--Transcona"," 22","Winnipeg",79,13,86,7,1,186,291
46005,"Elmwood--Transcona/Elmwood--Transcona"," 23","Winnipeg",70,6,64,7,1,148,296
46005,"Elmwood--Transcona/Elmwood--Transcona"," 24","Winnipeg",49,4,46,6,0,105,235
46005,"Elmwood--Transcona/Elmwood--Transcona"," 25","Winnipeg",91,8,68,10,1,178,328
46005,"Elmwood--Transcona/Elmwood--Transcona"," 26","Winnipeg",68,8,62,3,1,142,322
46005,"Elmwood--Transcona/Elmwood--Transcona"," 27","Winnipeg",56,7,34,8,0,105,257
46005,"Elmwood--Transcona/Elmwood--Transcona"," 28","Winnipeg",68,4,59,5,1,137,269
46005,"Elmwood--Transcona/Elmwood--Transcona"," 29","Winnipeg",61,3,52,5,0,121,291
46005,"Elmwood--Transcona/Elmwood--Transcona"," 30","Winnipeg",78,9,68,9,1,165,344
46005,"Elmwood--Transcona/Elmwood--Transcona"," 31","Winnipeg",68,12,56,8,0,144,250
46005,"Elmwood--Transcona/Elmwood--Transcona"," 32","Winnipeg",67,5,54,5,0,131,332
46005,"Elmwood--Transcona/Elmwood--Transcona"," 33","Winnipeg",65,8,64,6,0,143,328
46005,"Elmwood--Transcona/Elmwood--Transcona"," 34","Winnipeg",123,9,66,5,3,206,469
46005,"Elmwood--Transcona/Elmwood--Transcona"," 35","Winnipeg",53,2,55,8,1,119,374
46005,"Elmwood--Transcona/Elmwood--Transcona"," 36","Winnipeg",77,7,43,1,0,128,380
46005,"Elmwood--Transcona/Elmwood--Transcona"," 37","Winnipeg",62,7,73,5,2,149,353
