Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Arthur,Richard Côté,Claudine Delorme,Élaine Michaud,Réjean Thériault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 503","Mobile poll/Bureau itinérant",36,11,11,26,8,2,94,192
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 504","Mobile poll/Bureau itinérant",30,12,4,10,24,4,84,101
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 600","Stoneham-et-Tewkesbury",193,201,15,237,33,9,688,
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 601","Saint-Gabriel-de-Valcartier",59,33,1,61,11,1,166,
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 602","Sainte-Brigitte-de-Laval",125,106,5,139,11,3,389,
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 603","Lac-Beauport",154,220,9,238,54,4,679,
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 604","Saint-Raymond",146,96,12,107,32,3,396,
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 605","Saint-Raymond",137,105,15,115,41,5,418,
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 606","Saint-Raymond",88,87,0,91,12,6,284,
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 607","Shannon",130,37,7,118,21,3,316,
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 608","Sainte-Catherine-de-la-Jacques-Cartier",232,154,6,189,46,7,634,
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 609","Saint-Augustin-de-Desmaures",150,170,6,188,31,2,547,
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 610","Saint-Augustin-de-Desmaures",148,137,2,190,28,7,512,
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 611","Saint-Augustin-de-Desmaures",87,184,8,206,46,11,542,
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 612","Saint-Augustin-de-Desmaures",62,127,4,122,50,5,370,
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 613","Pont-Rouge",150,146,13,128,36,9,482,
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 614","Pont-Rouge",101,95,6,73,19,6,300,
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 615","Neuville",126,153,10,132,23,3,447,
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 616","Donnacona",164,181,10,179,32,4,570,
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 617","Donnacona",90,121,9,74,14,2,310,
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 618","Portneuf",81,78,4,96,12,0,271,
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 619","Saint-Marc-des-Carrières",116,159,7,153,33,2,470,
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 620","Saint-Casimir",56,85,1,61,29,2,234,
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier",,Group 1/Groupe 1,195,55,20,110,56,44,480,1233
24051,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier",,Group 2/Groupe 2,98,191,6,97,39,6,437,
