Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Beals,Alicia Gordon,Ted Hsu,Eric Walton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35036,"Kingston and the Islands/Kingston et les Îles"," 124","Kingston",49,56,48,10,0,163,312
35036,"Kingston and the Islands/Kingston et les Îles"," 125","Kingston",47,54,53,5,2,161,330
35036,"Kingston and the Islands/Kingston et les Îles"," 126","Kingston",59,100,79,7,1,246,415
35036,"Kingston and the Islands/Kingston et les Îles"," 127","Kingston",42,62,113,10,0,227,368
35036,"Kingston and the Islands/Kingston et les Îles"," 128","Kingston",13,59,113,12,1,198,330
35036,"Kingston and the Islands/Kingston et les Îles"," 129","Kingston",32,51,96,9,0,188,341
35036,"Kingston and the Islands/Kingston et les Îles"," 130","Kingston",51,70,110,12,0,243,396
35036,"Kingston and the Islands/Kingston et les Îles"," 131","Kingston",45,65,81,9,2,202,425
35036,"Kingston and the Islands/Kingston et les Îles"," 132","Kingston",42,21,22,11,1,97,314
35036,"Kingston and the Islands/Kingston et les Îles"," 133","Kingston",32,47,20,1,0,100,206
35036,"Kingston and the Islands/Kingston et les Îles"," 134","Kingston",64,45,45,8,1,163,409
35036,"Kingston and the Islands/Kingston et les Îles"," 135","Kingston",77,42,37,12,0,168,425
35036,"Kingston and the Islands/Kingston et les Îles"," 136","Kingston",79,48,29,3,0,159,424
35036,"Kingston and the Islands/Kingston et les Îles"," 137","Kingston",54,53,41,3,3,154,347
35036,"Kingston and the Islands/Kingston et les Îles"," 138","Kingston",64,65,80,7,0,216,422
35036,"Kingston and the Islands/Kingston et les Îles"," 139","Kingston",47,30,65,8,0,150,349
35036,"Kingston and the Islands/Kingston et les Îles"," 140","Kingston",49,67,100,6,0,222,313
35036,"Kingston and the Islands/Kingston et les Îles"," 141","Kingston",37,62,153,7,0,259,380
35036,"Kingston and the Islands/Kingston et les Îles"," 142","Kingston",24,58,123,6,1,212,318
35036,"Kingston and the Islands/Kingston et les Îles"," 143","Kingston",27,63,113,7,0,210,335
35036,"Kingston and the Islands/Kingston et les Îles"," 144","Kingston",46,36,81,14,1,178,275
35036,"Kingston and the Islands/Kingston et les Îles"," 145","Kingston",28,61,97,2,1,189,441
35036,"Kingston and the Islands/Kingston et les Îles"," 146","Kingston",37,11,16,5,0,69,335
35036,"Kingston and the Islands/Kingston et les Îles"," 147","Kingston",42,33,95,8,0,178,371
35036,"Kingston and the Islands/Kingston et les Îles"," 148","Kingston",55,42,37,7,0,141,318
35036,"Kingston and the Islands/Kingston et les Îles"," 149","Kingston",78,49,112,14,0,253,492
35036,"Kingston and the Islands/Kingston et les Îles"," 150","Kingston",46,21,42,2,0,111,232
35036,"Kingston and the Islands/Kingston et les Îles"," 151","Kingston",41,31,50,7,3,132,276
35036,"Kingston and the Islands/Kingston et les Îles"," 152","Kingston",32,98,97,9,0,236,510
35036,"Kingston and the Islands/Kingston et les Îles"," 152-1","Kingston",Void/Supprimé,,,,,,
35036,"Kingston and the Islands/Kingston et les Îles"," 153","Kingston",38,44,96,11,0,189,386
35036,"Kingston and the Islands/Kingston et les Îles"," 154","Kingston",56,88,97,7,3,251,414
35036,"Kingston and the Islands/Kingston et les Îles"," 155","Kingston",51,36,45,12,0,144,347
35036,"Kingston and the Islands/Kingston et les Îles"," 156","Kingston",45,25,55,5,0,130,328
35036,"Kingston and the Islands/Kingston et les Îles"," 157","Kingston",70,28,46,6,1,151,312
35036,"Kingston and the Islands/Kingston et les Îles"," 158","Kingston",61,26,82,15,1,185,347
35036,"Kingston and the Islands/Kingston et les Îles"," 159","Kingston",67,35,75,17,0,194,393
35036,"Kingston and the Islands/Kingston et les Îles"," 160","Kingston",Merged with No. 162/Fusionné avec le nº 162,,,,,,248
35036,"Kingston and the Islands/Kingston et les Îles"," 161","Kingston",39,13,66,8,0,126,351
35036,"Kingston and the Islands/Kingston et les Îles"," 162","Kingston",70,36,101,12,0,219,242
35036,"Kingston and the Islands/Kingston et les Îles"," 163","Kingston",30,14,54,12,1,111,253
35036,"Kingston and the Islands/Kingston et les Îles"," 164","Kingston",44,28,45,14,0,131,280
35036,"Kingston and the Islands/Kingston et les Îles"," 165","Kingston",37,36,89,5,0,167,318
35036,"Kingston and the Islands/Kingston et les Îles"," 166","Kingston",47,31,64,9,1,152,354
35036,"Kingston and the Islands/Kingston et les Îles"," 167","Kingston",39,37,108,11,0,195,326
35036,"Kingston and the Islands/Kingston et les Îles"," 168","Kingston",49,36,109,8,2,204,327
35036,"Kingston and the Islands/Kingston et les Îles"," 169","Kingston",45,29,94,10,1,179,297
35036,"Kingston and the Islands/Kingston et les Îles"," 170","Kingston",36,26,78,7,1,148,280
35036,"Kingston and the Islands/Kingston et les Îles"," 171","Kingston",25,18,49,12,0,104,319
35036,"Kingston and the Islands/Kingston et les Îles"," 172","Kingston",25,14,39,9,0,87,312
35036,"Kingston and the Islands/Kingston et les Îles"," 173","Kingston",19,19,37,2,0,77,284
35036,"Kingston and the Islands/Kingston et les Îles"," 174","Kingston",53,51,43,20,2,169,529
35036,"Kingston and the Islands/Kingston et les Îles"," 175","Kingston",44,18,20,12,0,94,347
35036,"Kingston and the Islands/Kingston et les Îles"," 176","Kingston",60,26,48,10,4,148,365
35036,"Kingston and the Islands/Kingston et les Îles"," 177","Kingston",59,31,86,10,1,187,388
35036,"Kingston and the Islands/Kingston et les Îles"," 178","Kingston",86,38,67,16,1,208,411
35036,"Kingston and the Islands/Kingston et les Îles"," 179","Kingston",63,33,64,13,0,173,341
35036,"Kingston and the Islands/Kingston et les Îles"," 180","Kingston",76,22,105,17,2,222,458
35036,"Kingston and the Islands/Kingston et les Îles"," 181","Kingston",68,19,84,16,0,187,343
35036,"Kingston and the Islands/Kingston et les Îles"," 182","Kingston",34,16,34,14,0,98,230
35036,"Kingston and the Islands/Kingston et les Îles"," 183","Kingston",37,20,68,8,0,133,290
35036,"Kingston and the Islands/Kingston et les Îles"," 184","Kingston",35,21,76,12,1,145,270
35036,"Kingston and the Islands/Kingston et les Îles"," 185","Kingston",60,39,108,11,0,218,461
35036,"Kingston and the Islands/Kingston et les Îles"," 186","Kingston",42,33,52,6,0,133,332
35036,"Kingston and the Islands/Kingston et les Îles"," 187","Kingston",42,21,57,7,0,127,353
35036,"Kingston and the Islands/Kingston et les Îles"," 188","Kingston",46,35,111,15,0,207,460
