Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Adriane Carr,Jennifer Clarke,John Clarke,Hedy Fry,Michael Hill,Michael Huenefeld,Travis McCrea,Karen Shillington,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59029,"Vancouver Centre/Vancouver-Centre"," 95","Vancouver",21,70,0,44,0,1,0,57,0,193,295
59029,"Vancouver Centre/Vancouver-Centre"," 96","Vancouver",52,37,0,70,2,0,0,78,0,239,469
59029,"Vancouver Centre/Vancouver-Centre"," 97","Vancouver",22,27,2,47,0,1,0,50,1,150,298
59029,"Vancouver Centre/Vancouver-Centre"," 98A","Vancouver",27,33,3,45,0,1,0,97,0,206,455
59029,"Vancouver Centre/Vancouver-Centre"," 98B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,,,,1
59029,"Vancouver Centre/Vancouver-Centre"," 99","Vancouver",57,45,1,69,1,0,2,84,0,259,547
59029,"Vancouver Centre/Vancouver-Centre"," 100","Vancouver",30,41,1,50,0,0,1,71,0,194,475
59029,"Vancouver Centre/Vancouver-Centre"," 101","Vancouver",23,34,1,52,0,0,0,48,0,158,406
59029,"Vancouver Centre/Vancouver-Centre"," 101-1","Vancouver",30,51,2,63,0,0,2,69,0,217,492
59029,"Vancouver Centre/Vancouver-Centre"," 102","Vancouver",22,34,1,37,0,0,0,38,0,132,363
59029,"Vancouver Centre/Vancouver-Centre"," 102-1","Vancouver",7,65,0,35,0,0,2,20,0,129,382
59029,"Vancouver Centre/Vancouver-Centre"," 102-2","Vancouver",18,39,2,33,0,0,0,22,0,114,338
59029,"Vancouver Centre/Vancouver-Centre"," 102-3","Vancouver",1,53,2,21,1,0,0,7,0,85,293
59029,"Vancouver Centre/Vancouver-Centre"," 103","Vancouver",10,43,0,18,0,0,1,25,0,97,260
59029,"Vancouver Centre/Vancouver-Centre"," 103-1","Vancouver",26,50,2,52,0,2,1,49,0,182,545
59029,"Vancouver Centre/Vancouver-Centre"," 103-2","Vancouver",24,21,0,25,0,0,0,30,0,100,285
59029,"Vancouver Centre/Vancouver-Centre"," 104","Vancouver",39,70,1,90,0,0,0,54,0,254,589
59029,"Vancouver Centre/Vancouver-Centre"," 104-1","Vancouver",24,60,2,48,0,0,1,57,0,192,388
59029,"Vancouver Centre/Vancouver-Centre"," 105","Vancouver",41,65,1,65,0,2,2,70,1,247,550
59029,"Vancouver Centre/Vancouver-Centre"," 106A","Vancouver",9,42,1,35,0,0,0,38,0,125,337
59029,"Vancouver Centre/Vancouver-Centre"," 106B","Vancouver",13,42,0,36,0,0,0,29,0,120,289
59029,"Vancouver Centre/Vancouver-Centre"," 107","Vancouver",22,44,2,46,0,0,1,53,0,168,426
59029,"Vancouver Centre/Vancouver-Centre"," 107-1A","Vancouver",22,35,0,37,0,0,0,25,0,119,308
59029,"Vancouver Centre/Vancouver-Centre"," 107-1B","Vancouver",16,45,0,51,0,2,0,32,0,146,358
59029,"Vancouver Centre/Vancouver-Centre"," 108","Vancouver",31,62,1,70,0,0,0,45,0,209,472
59029,"Vancouver Centre/Vancouver-Centre"," 109","Vancouver",29,62,3,41,1,0,1,64,0,201,606
59029,"Vancouver Centre/Vancouver-Centre"," 109-1","Vancouver",19,33,3,55,0,0,0,36,0,146,342
59029,"Vancouver Centre/Vancouver-Centre"," 109-2","Vancouver",21,58,0,55,1,1,0,35,0,171,456
59029,"Vancouver Centre/Vancouver-Centre"," 110","Vancouver",18,36,2,38,1,0,0,36,0,131,275
59029,"Vancouver Centre/Vancouver-Centre"," 111","Vancouver",16,44,0,59,0,0,2,26,0,147,449
59029,"Vancouver Centre/Vancouver-Centre"," 111-1A","Vancouver",14,44,0,44,0,0,0,33,1,136,390
59029,"Vancouver Centre/Vancouver-Centre"," 111-1B","Vancouver",23,56,0,45,1,0,1,39,0,165,400
59029,"Vancouver Centre/Vancouver-Centre"," 112","Vancouver",13,63,1,58,0,0,0,38,0,173,469
59029,"Vancouver Centre/Vancouver-Centre"," 112-1","Vancouver",20,65,0,82,0,3,1,60,0,231,514
59029,"Vancouver Centre/Vancouver-Centre"," 113","Vancouver",40,93,0,81,0,1,0,26,0,241,412
59029,"Vancouver Centre/Vancouver-Centre"," 114","Vancouver",29,45,1,39,0,3,0,49,2,168,342
59029,"Vancouver Centre/Vancouver-Centre"," 115","Vancouver",48,42,1,57,0,0,0,47,0,195,350
59029,"Vancouver Centre/Vancouver-Centre"," 116","Vancouver",44,46,2,56,0,3,0,43,0,194,371
59029,"Vancouver Centre/Vancouver-Centre"," 117","Vancouver",41,43,1,66,0,1,2,36,0,190,385
59029,"Vancouver Centre/Vancouver-Centre"," 118","Vancouver",38,48,2,63,0,0,2,51,0,204,364
59029,"Vancouver Centre/Vancouver-Centre"," 119","Vancouver",36,48,0,61,0,0,2,55,1,203,419
59029,"Vancouver Centre/Vancouver-Centre"," 120","Vancouver",34,45,0,46,0,1,0,56,1,183,378
59029,"Vancouver Centre/Vancouver-Centre"," 121","Vancouver",34,52,2,87,1,1,1,91,0,269,492
59029,"Vancouver Centre/Vancouver-Centre"," 122","Vancouver",40,51,1,64,0,2,0,74,1,233,443
59029,"Vancouver Centre/Vancouver-Centre"," 123","Vancouver",32,69,0,63,0,0,0,59,0,223,455
59029,"Vancouver Centre/Vancouver-Centre"," 124","Vancouver",33,25,3,67,1,0,1,55,0,185,381
59029,"Vancouver Centre/Vancouver-Centre"," 125","Vancouver",31,21,0,33,0,2,0,44,0,131,351
59029,"Vancouver Centre/Vancouver-Centre"," 126","Vancouver",44,30,0,53,0,1,1,54,1,184,335
59029,"Vancouver Centre/Vancouver-Centre"," 127","Vancouver",43,52,4,71,0,0,1,72,0,243,462
59029,"Vancouver Centre/Vancouver-Centre"," 128","Vancouver",39,47,2,50,0,0,1,42,1,182,372
59029,"Vancouver Centre/Vancouver-Centre"," 129","Vancouver",14,83,3,48,0,2,0,21,2,173,312
59029,"Vancouver Centre/Vancouver-Centre"," 130","Vancouver",47,104,0,117,0,1,1,82,1,353,606
59029,"Vancouver Centre/Vancouver-Centre"," 131","Vancouver",39,54,2,58,0,1,0,44,0,198,393
59029,"Vancouver Centre/Vancouver-Centre"," 132","Vancouver",29,89,1,71,0,0,1,39,0,230,439
59029,"Vancouver Centre/Vancouver-Centre"," 132-1","Vancouver",26,54,0,42,1,0,0,31,0,154,345
59029,"Vancouver Centre/Vancouver-Centre"," 133A","Vancouver",24,34,2,48,0,2,0,26,0,136,300
59029,"Vancouver Centre/Vancouver-Centre"," 133B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,,,86
59029,"Vancouver Centre/Vancouver-Centre"," 133-1","Vancouver",28,79,1,64,0,0,0,22,0,194,381
59029,"Vancouver Centre/Vancouver-Centre"," 134","Vancouver",17,71,1,51,0,0,1,22,0,163,303
59029,"Vancouver Centre/Vancouver-Centre"," 134-1","Vancouver",26,24,0,43,0,0,0,57,1,151,235
