Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Valérie Assouline,Frank Baylis,Lysane Blanchette-Lamothe,Natalie Laplante,Abraham Weizfeld,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 126","Dollard-des-Ormeaux",65,166,28,0,0,2,261,460
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 127","Dollard-des-Ormeaux",55,187,22,2,4,0,270,484
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 128","Dollard-des-Ormeaux",52,146,19,2,0,1,220,477
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 129","Dollard-des-Ormeaux",44,127,19,0,2,0,192,416
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 130","Dollard-des-Ormeaux",130,81,8,2,4,0,225,416
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 131","Dollard-des-Ormeaux",57,119,25,0,2,0,203,376
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 132","Dollard-des-Ormeaux",48,84,9,0,2,0,143,308
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 133","Dollard-des-Ormeaux",59,150,29,0,5,1,244,454
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 134","Dollard-des-Ormeaux",55,139,14,2,3,0,213,387
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 135","Dollard-des-Ormeaux",76,98,18,1,1,2,196,384
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 136","Dollard-des-Ormeaux",26,80,13,0,0,0,119,261
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 137","Dollard-des-Ormeaux",41,118,13,0,2,0,174,379
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 138","Dollard-des-Ormeaux",51,157,17,0,0,4,229,392
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 139","Dollard-des-Ormeaux",33,172,20,2,4,0,231,408
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 140","Dollard-des-Ormeaux",48,132,23,8,0,3,214,421
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 141","Dollard-des-Ormeaux",34,152,25,2,4,5,222,447
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 142","Dollard-des-Ormeaux",115,98,17,1,1,1,233,463
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 143","Dollard-des-Ormeaux",94,91,6,0,2,0,193,398
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 144","Dollard-des-Ormeaux",121,135,13,0,1,0,270,489
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 145","Dollard-des-Ormeaux",117,90,9,2,2,0,220,437
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 146","Dollard-des-Ormeaux",100,88,14,1,3,0,206,436
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 147","Dollard-des-Ormeaux",118,98,14,2,1,0,233,410
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 148","Dollard-des-Ormeaux",113,98,15,1,2,0,229,453
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 149","Dollard-des-Ormeaux",73,124,10,3,1,0,211,453
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 150","Dollard-des-Ormeaux",62,125,25,2,4,1,219,503
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 151","Pierrefonds",54,183,42,9,7,2,297,546
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 152","Pierrefonds",26,163,30,8,1,2,230,473
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 153","Dollard-des-Ormeaux",84,92,16,0,0,2,194,370
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 154","Dollard-des-Ormeaux",59,91,13,6,0,2,171,362
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 155","Pierrefonds",48,150,46,7,3,0,254,488
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 156","Pierrefonds",27,125,17,4,2,0,175,428
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 157","Pierrefonds",14,99,34,3,3,2,155,310
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 158","Pierrefonds",13,79,17,1,1,1,112,222
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 159","Dollard-des-Ormeaux",42,105,31,5,3,0,186,395
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 160","Dollard-des-Ormeaux",36,129,37,2,4,2,210,441
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 161","Pierrefonds",35,144,27,2,7,1,216,409
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 162","Pierrefonds",38,172,29,5,7,0,251,366
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 163","Pierrefonds",31,150,38,7,4,4,234,377
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 164","Pierrefonds",48,139,28,3,4,4,226,384
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 165","Dollard-des-Ormeaux",34,161,24,0,4,0,223,435
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 166","Dollard-des-Ormeaux",27,136,24,10,1,3,201,472
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 167","Dollard-des-Ormeaux",43,181,34,3,1,1,263,435
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 168","Dollard-des-Ormeaux",78,140,24,3,2,1,248,503
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 169","Dollard-des-Ormeaux",65,180,26,0,4,0,275,511
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 170","Dollard-des-Ormeaux",38,163,30,4,1,1,237,466
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 171","Dollard-des-Ormeaux",41,167,35,9,4,0,256,570
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 172","Dollard-des-Ormeaux",35,87,32,1,1,2,158,370
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 173","Dollard-des-Ormeaux",46,92,21,2,3,1,165,386
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 174","Dollard-des-Ormeaux",32,96,24,1,1,0,154,368
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 175","Dollard-des-Ormeaux",44,149,18,5,4,1,221,526
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 176","Pierrefonds",37,180,46,11,4,0,278,459
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 177","Dollard-des-Ormeaux",26,109,13,0,4,1,153,425
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 178","Dollard-des-Ormeaux",34,136,44,4,7,0,225,346
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 179","Dollard-des-Ormeaux",32,141,28,2,1,0,204,382
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 180","Dollard-des-Ormeaux",30,156,25,5,3,2,221,335
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 181","Dollard-des-Ormeaux",28,152,50,2,3,0,235,466
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 182","Dollard-des-Ormeaux",39,132,32,5,6,0,214,404
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 183","Dollard-des-Ormeaux",38,157,28,3,5,2,233,383
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 184","Dollard-des-Ormeaux",31,155,18,6,1,2,213,343
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 185","Dollard-des-Ormeaux",60,194,38,3,5,1,301,462
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 186","Dollard-des-Ormeaux",32,181,29,1,0,0,243,379
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 187","Ste-Geneviève",28,158,35,19,2,3,245,320
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 188A","Saint-Raphaël-de-l'Île-Bizard",43,87,26,23,7,1,187,336
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 188B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,60
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 189","Saint-Raphaël-de-l'Île-Bizard",36,152,41,17,0,1,247,405
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 190","Saint-Raphaël-de-l'Île-Bizard",23,110,34,23,2,5,197,354
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 191","Saint-Raphaël-de-l'Île-Bizard",17,112,51,18,1,1,200,417
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 192","Saint-Raphaël-de-l'Île-Bizard",33,108,52,20,1,2,216,407
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 193","Saint-Raphaël-de-l'Île-Bizard",16,108,69,40,6,1,240,431
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 194","Saint-Raphaël-de-l'Île-Bizard",34,96,40,40,7,0,217,466
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 195","Saint-Raphaël-de-l'Île-Bizard",25,89,54,29,5,3,205,437
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 196","Saint-Raphaël-de-l'Île-Bizard",85,155,69,31,5,3,348,566
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 197","Saint-Raphaël-de-l'Île-Bizard",56,137,35,15,4,0,247,420
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 198","Saint-Raphaël-de-l'Île-Bizard",37,126,29,4,7,0,203,362
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 199","Saint-Raphaël-de-l'Île-Bizard",46,82,49,15,5,0,197,420
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 200","Saint-Raphaël-de-l'Île-Bizard",13,76,33,40,4,1,167,369
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 201","Saint-Raphaël-de-l'Île-Bizard",33,98,69,37,6,4,247,456
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 202","Saint-Raphaël-de-l'Île-Bizard",24,89,33,28,1,1,176,346
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 400","Dollard-des-Ormeaux",6,28,3,2,0,0,39,84
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 500","Mobile poll/Bureau itinérant",28,93,14,4,2,2,143,168
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 501","Mobile poll/Bureau itinérant",17,78,11,3,1,1,111,184
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 502","Mobile poll/Bureau itinérant",9,48,11,3,0,0,71,157
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 503","Mobile poll/Bureau itinérant",12,64,10,4,0,1,91,163
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 504","Mobile poll/Bureau itinérant",11,24,3,3,0,0,41,69
