Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Affine Lwalalika,Pierre Nantel,Michael O'Grady,Casandra Poitras,John Sedlak,Denis Trudel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 502","Mobile poll/Bureau itinérant",1,14,43,3,5,15,3,84,126
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 503","Mobile poll/Bureau itinérant",0,2,8,1,5,13,5,34,69
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 504","Mobile poll/Bureau itinérant",1,13,23,2,2,17,5,63,114
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 600","Longueuil",1,364,369,13,164,254,11,1176,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 601","Longueuil",2,343,256,31,114,272,11,1029,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 602","Longueuil",2,284,211,14,76,174,6,767,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 603","Longueuil",1,448,246,25,98,319,14,1151,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 604","Longueuil",3,317,181,8,60,266,7,842,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 605","Longueuil",1,264,215,12,82,315,12,901,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 606","Longueuil",4,306,220,18,87,202,9,846,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 607","Longueuil",3,323,306,14,121,317,10,1094,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 608","Longueuil",1,216,193,10,58,209,4,691,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 609","Longueuil",2,355,214,16,87,256,16,946,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 610","Longueuil",4,348,247,21,103,221,9,953,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 611","Longueuil",0,349,216,9,112,213,8,907,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 612","Longueuil",2,271,287,20,118,240,14,952,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 613","Longueuil",6,282,289,21,102,302,17,1019,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 614","Longueuil",4,302,319,25,137,343,14,1144,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert",,"Group 1/Groupe 1",0,32,67,2,54,22,20,197,102
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert",,"Group 2/Groupe 2",3,437,267,38,119,281,28,1173,
