Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Elizabeth Abbott,Julie Dabrusin,Benjamin Dichter,John Richardson,Craig Scott,Chris Tolley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35109,"Toronto--Danforth/Toronto--Danforth"," 603","Toronto",11,392,69,18,520,52,4,1066,
35109,"Toronto--Danforth/Toronto--Danforth"," 604","Toronto",6,482,79,19,558,46,2,1192,
35109,"Toronto--Danforth/Toronto--Danforth"," 605","Toronto",0,502,60,18,534,51,3,1168,
35109,"Toronto--Danforth/Toronto--Danforth"," 606","Toronto",4,471,69,21,614,51,2,1232,
35109,"Toronto--Danforth/Toronto--Danforth"," 607","Toronto",3,345,56,25,544,51,3,1027,
35109,"Toronto--Danforth/Toronto--Danforth"," 608","Toronto",10,329,61,13,533,50,1,997,
35109,"Toronto--Danforth/Toronto--Danforth"," 609","Toronto",4,353,58,21,462,47,2,947,
35109,"Toronto--Danforth/Toronto--Danforth"," 610","Toronto",8,407,48,27,456,38,3,987,
35109,"Toronto--Danforth/Toronto--Danforth"," 611","Toronto",5,486,73,16,463,50,5,1098,
35109,"Toronto--Danforth/Toronto--Danforth",,"Group 1/Groupe 1",0,62,16,0,69,8,7,162,169
35109,"Toronto--Danforth/Toronto--Danforth",,"Group 2/Groupe 2",5,297,46,3,561,51,16,979,
