Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jay Aspin,Kathleen Jodouin,Nicole Peltier,Anthony Rota,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 130","North Bay ",39,55,9,107,3,213,410
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 131","North Bay ",43,48,12,135,0,238,479
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 132","North Bay ",43,50,16,95,0,204,457
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 133","East Ferris",65,16,3,94,0,178,343
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 134","East Ferris",63,24,5,96,0,188,319
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 135","East Ferris",32,20,4,85,1,142,295
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 136","Corbeil",44,35,4,94,1,178,315
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 137","Corbeil",55,37,17,88,0,197,350
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 138","Bonfield",73,42,7,207,1,330,608
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 139","Bonfield",55,36,5,93,0,189,336
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 140","Bonfield",48,29,9,136,0,222,346
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 141","Nosbosing",53,16,6,110,2,187,395
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 142","Astorville",92,50,3,131,0,276,490
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 143","Astorville",85,24,7,152,0,268,455
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 144","Astorville",73,29,3,132,0,237,404
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 145","Derland",56,28,5,103,0,192,417
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 146","Callander",60,36,5,97,0,198,451
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 147","Derland",57,37,1,98,0,193,426
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 148","Callander",64,29,2,126,0,221,430
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 149","North Himsworth",89,24,5,84,1,203,374
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 150","North Himsworth",89,37,4,85,0,215,435
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 151","North Himsworth",70,21,3,62,2,158,340
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 152","North Himsworth",93,24,10,82,0,209,400
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 153","Nipissing ",68,17,3,57,0,145,313
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 154","North Himsworth",51,21,6,68,0,146,316
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 155","Chiswick",66,32,7,90,1,196,355
