Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peggy Askin,Haley Brown,Jason Kenney,Brennan Wauters,Laura Weston,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48008,"Calgary Midnapore/Calgary Midnapore"," 503B","Calgary",Merged with No./Fusionné avec le n°194,,,,,,,148
48008,"Calgary Midnapore/Calgary Midnapore"," 600","Calgary",3,129,327,19,61,2,541,
48008,"Calgary Midnapore/Calgary Midnapore"," 601","Calgary",4,147,407,23,83,2,666,
48008,"Calgary Midnapore/Calgary Midnapore"," 602","Calgary",0,205,725,16,66,1,1013,
48008,"Calgary Midnapore/Calgary Midnapore"," 603","Calgary",1,172,594,26,75,4,872,
48008,"Calgary Midnapore/Calgary Midnapore"," 604","Calgary",0,120,375,13,56,2,566,
48008,"Calgary Midnapore/Calgary Midnapore"," 605","Calgary",1,156,394,17,56,1,625,
48008,"Calgary Midnapore/Calgary Midnapore"," 606","Calgary",0,123,475,17,65,0,680,
48008,"Calgary Midnapore/Calgary Midnapore"," 607","Calgary",2,139,396,6,44,2,589,
48008,"Calgary Midnapore/Calgary Midnapore"," 608","Calgary",1,127,487,17,57,2,691,
48008,"Calgary Midnapore/Calgary Midnapore"," 609","Calgary",1,142,443,13,82,2,683,
48008,"Calgary Midnapore/Calgary Midnapore"," 610","Calgary",0,117,599,10,62,2,790,
48008,"Calgary Midnapore/Calgary Midnapore"," 611","Calgary",2,132,522,8,46,0,710,
48008,"Calgary Midnapore/Calgary Midnapore"," 612","Calgary",4,280,715,16,100,3,1118,
48008,"Calgary Midnapore/Calgary Midnapore",,"Group 1/Groupe 1",0,44,49,3,15,7,118,94
48008,"Calgary Midnapore/Calgary Midnapore",,"Group 2/Groupe 2",2,390,1156,52,249,32,1881,
