Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ian Allen,Lorne Gershuny,Mark Jeftovic,Peggy Nash,Terry Parker,Adam Phipps,Carol Royer,Arif Virani,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35081,"Parkdale--High Park/Parkdale--High Park"," 158","Toronto",26,0,0,42,0,2,0,98,1,169,319
35081,"Parkdale--High Park/Parkdale--High Park"," 159","Toronto",28,0,0,63,0,3,0,65,0,159,296
35081,"Parkdale--High Park/Parkdale--High Park"," 160","Toronto",9,0,0,14,0,0,0,8,0,31,48
35081,"Parkdale--High Park/Parkdale--High Park"," 161A","Toronto",50,1,3,58,0,6,0,77,0,195,306
35081,"Parkdale--High Park/Parkdale--High Park"," 161B","Toronto",39,1,0,63,0,5,0,106,0,214,303
35081,"Parkdale--High Park/Parkdale--High Park"," 162","Toronto",22,2,0,109,2,7,0,92,1,235,478
35081,"Parkdale--High Park/Parkdale--High Park"," 400","Toronto",29,0,4,72,2,9,0,84,0,200,287
35081,"Parkdale--High Park/Parkdale--High Park"," 401","Toronto",34,0,4,45,1,7,0,100,0,191,275
35081,"Parkdale--High Park/Parkdale--High Park"," 402","Toronto",15,1,0,92,2,9,1,93,0,213,337
35081,"Parkdale--High Park/Parkdale--High Park"," 403","Toronto",40,2,7,109,0,2,1,108,4,273,454
35081,"Parkdale--High Park/Parkdale--High Park"," 404","Toronto",28,0,7,48,0,3,0,97,0,183,264
35081,"Parkdale--High Park/Parkdale--High Park"," 405","Toronto",19,0,2,70,1,5,0,84,0,181,261
35081,"Parkdale--High Park/Parkdale--High Park"," 406","Toronto",33,0,2,68,3,7,1,132,0,246,351
35081,"Parkdale--High Park/Parkdale--High Park"," 407","Toronto",23,0,3,52,2,7,1,77,0,165,248
35081,"Parkdale--High Park/Parkdale--High Park"," 408","Toronto",46,0,9,97,1,8,0,128,2,291,418
35081,"Parkdale--High Park/Parkdale--High Park"," 409","Toronto",37,2,7,75,3,4,0,109,5,242,438
35081,"Parkdale--High Park/Parkdale--High Park"," 410","Toronto",50,0,13,74,1,9,0,135,2,284,459
35081,"Parkdale--High Park/Parkdale--High Park"," 411","Toronto",17,0,4,81,7,3,0,120,1,233,410
35081,"Parkdale--High Park/Parkdale--High Park"," 412","Toronto",32,2,2,80,1,6,1,111,0,235,436
35081,"Parkdale--High Park/Parkdale--High Park"," 413","Toronto",43,2,4,32,0,3,1,52,0,137,230
35081,"Parkdale--High Park/Parkdale--High Park"," 414","Toronto",45,0,3,58,0,4,0,110,1,221,316
35081,"Parkdale--High Park/Parkdale--High Park"," 415","Toronto",49,1,5,95,0,3,1,124,2,280,397
35081,"Parkdale--High Park/Parkdale--High Park"," 416","Toronto",40,1,1,35,0,2,0,69,0,148,204
35081,"Parkdale--High Park/Parkdale--High Park"," 417","Toronto",68,1,7,58,0,6,0,122,2,264,385
35081,"Parkdale--High Park/Parkdale--High Park"," 418A","Toronto",25,0,5,34,0,4,0,80,2,150,240
35081,"Parkdale--High Park/Parkdale--High Park"," 418B","Toronto",22,0,4,32,0,4,0,99,0,161,240
35081,"Parkdale--High Park/Parkdale--High Park"," 419A","Toronto",20,0,3,30,1,6,0,84,1,145,233
35081,"Parkdale--High Park/Parkdale--High Park"," 419B","Toronto",28,1,2,32,1,5,0,61,0,130,214
35081,"Parkdale--High Park/Parkdale--High Park"," 420","Toronto",6,0,1,7,0,0,0,23,0,37,102
35081,"Parkdale--High Park/Parkdale--High Park"," 421","Toronto",21,1,13,72,1,1,0,116,2,227,402
35081,"Parkdale--High Park/Parkdale--High Park"," 422","Toronto",79,1,3,102,2,9,2,166,1,365,363
35081,"Parkdale--High Park/Parkdale--High Park"," 423","Toronto",49,1,3,85,0,8,0,122,2,270,421
35081,"Parkdale--High Park/Parkdale--High Park"," 424","Toronto",26,0,4,105,1,5,2,123,2,268,376
35081,"Parkdale--High Park/Parkdale--High Park"," 425","Toronto",26,0,6,64,1,9,0,73,1,180,281
35081,"Parkdale--High Park/Parkdale--High Park"," 426","Toronto",26,0,8,83,0,7,0,66,1,191,312
35081,"Parkdale--High Park/Parkdale--High Park"," 427","Toronto",12,1,0,57,1,5,0,58,0,134,198
35081,"Parkdale--High Park/Parkdale--High Park"," 428","Toronto",30,0,3,70,2,12,0,75,2,194,303
35081,"Parkdale--High Park/Parkdale--High Park"," 429","Toronto",33,1,2,59,1,4,2,84,1,187,276
35081,"Parkdale--High Park/Parkdale--High Park"," 430","Toronto",48,1,3,52,2,4,0,84,1,195,281
35081,"Parkdale--High Park/Parkdale--High Park"," 431","Toronto",29,0,4,20,0,0,1,45,2,101,203
35081,"Parkdale--High Park/Parkdale--High Park"," 432","York",17,2,5,56,2,1,1,102,0,186,171
35081,"Parkdale--High Park/Parkdale--High Park"," 433","York",Merged with No./Fusionné avec le n°432,,,,,,,,,,163
35081,"Parkdale--High Park/Parkdale--High Park"," 434","York",6,1,1,28,0,0,4,70,0,110,252
35081,"Parkdale--High Park/Parkdale--High Park"," 500","Mobile poll/Bureau itinérant",10,0,1,10,1,2,0,30,2,56,65
35081,"Parkdale--High Park/Parkdale--High Park"," 501A","Mobile poll/Bureau itinérant",9,0,2,17,3,3,2,16,3,55,135
35081,"Parkdale--High Park/Parkdale--High Park"," 501B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,,,76
35081,"Parkdale--High Park/Parkdale--High Park"," 600","York",170,0,3,346,1,18,2,516,0,1056,
35081,"Parkdale--High Park/Parkdale--High Park"," 601","York",129,2,6,616,0,49,2,477,4,1285,
35081,"Parkdale--High Park/Parkdale--High Park"," 602","Toronto",57,0,7,537,3,37,3,397,2,1043,
35081,"Parkdale--High Park/Parkdale--High Park"," 603","Toronto",93,0,5,496,1,31,1,340,6,973,
35081,"Parkdale--High Park/Parkdale--High Park"," 604","Toronto",53,0,3,291,1,17,2,242,2,611,
35081,"Parkdale--High Park/Parkdale--High Park"," 605","Toronto",151,0,1,410,1,38,0,525,1,1127,
35081,"Parkdale--High Park/Parkdale--High Park"," 606","Toronto",223,1,4,376,1,32,1,564,4,1206,
35081,"Parkdale--High Park/Parkdale--High Park"," 607","Toronto",59,1,3,124,1,9,0,179,1,377,
35081,"Parkdale--High Park/Parkdale--High Park"," 608","Toronto",77,2,5,613,3,36,0,466,2,1204,
35081,"Parkdale--High Park/Parkdale--High Park"," 609","Toronto",73,1,8,659,5,37,0,441,3,1227,
35081,"Parkdale--High Park/Parkdale--High Park"," 610","Toronto",84,0,9,550,1,26,1,294,3,968,
35081,"Parkdale--High Park/Parkdale--High Park"," 611","Toronto",79,0,11,421,4,23,0,240,5,783,
35081,"Parkdale--High Park/Parkdale--High Park",,"Group 1/Groupe 1",12,0,3,73,1,1,1,48,6,145,166
35081,"Parkdale--High Park/Parkdale--High Park",,"Group 2/Groupe 2",134,7,11,1075,5,56,5,552,20,1865,
