Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Élise Gauthier,Denis Lemieux,Dany Morin,Caroline Ste-Marie,Dany St-Gelais,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 138","Saguenay",48,64,62,33,4,6,217,410
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 139","Saguenay",36,79,65,29,1,6,216,401
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 140","Saguenay",42,40,42,20,7,6,157,376
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 141","Saguenay",36,39,69,18,5,3,170,385
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 142","Saguenay",42,44,57,24,8,0,175,348
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 143","Saguenay",37,54,55,33,7,4,190,325
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 144","Saguenay",37,53,52,28,2,2,174,373
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 145","Saguenay",43,61,57,29,3,3,196,340
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 146","Saguenay",39,66,53,24,3,2,187,381
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 147","Saguenay",43,59,41,22,2,3,170,327
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 148","Saguenay",38,62,52,28,6,1,187,344
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 149","Saguenay",36,77,69,40,6,1,229,385
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 150","Saguenay",49,88,71,37,9,6,260,469
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 151","Saguenay",52,103,69,51,7,6,288,457
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 152","Saguenay",51,48,31,27,2,4,163,447
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 153","Saguenay",48,54,59,29,3,6,199,449
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 154","Saguenay",42,85,68,39,5,0,239,472
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 155","Saguenay",36,73,70,30,3,3,215,431
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 156","Saguenay",79,94,81,52,1,12,319,520
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 157","Saguenay",51,77,69,45,7,7,256,421
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 158","Saguenay",43,69,81,17,13,9,232,473
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 159","Saguenay",73,72,92,38,3,9,287,531
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 160","Saguenay",36,60,75,22,6,1,200,386
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 161","Saguenay",32,40,99,44,6,8,229,401
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 162","Saguenay",32,99,84,51,5,5,276,511
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 163","Saguenay",47,96,64,58,1,5,271,421
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 164","Saguenay",33,109,60,55,4,3,264,410
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 165","Saguenay",43,96,51,26,1,4,221,500
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 166","Saguenay",36,103,49,45,2,1,236,473
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 167","Saguenay",66,110,115,65,3,2,361,594
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 168","Saguenay",60,114,71,53,3,2,303,492
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 169","Saguenay",63,97,80,42,3,0,285,484
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 400","Saguenay",37,137,43,26,4,3,250,144
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 401","Saguenay",16,54,17,7,3,0,97,115
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 402","Saguenay",57,91,28,22,4,4,206,259
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 500","Mobile poll/Bureau itinérant",10,21,6,2,1,1,41,103
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 501","Mobile poll/Bureau itinérant",7,21,2,1,2,1,34,124
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 502","Mobile poll/Bureau itinérant",18,38,22,10,1,2,91,166
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 600","Saguenay",102,145,156,117,6,13,539,
