Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevin Brandt,Rob Ferguson,Marc Laferriere,Phil McColeman,Danielle Takacs,The Engineer Turmel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35013,"Brantford--Brant/Brantford--Brant"," 203","Brant",9,2,25,139,62,1,0,238,420
35013,"Brantford--Brant/Brantford--Brant"," 204","Six Nations 40",2,0,57,4,53,4,0,120,374
35013,"Brantford--Brant/Brantford--Brant"," 205","Six Nations 40",3,4,61,10,102,0,0,180,513
35013,"Brantford--Brant/Brantford--Brant"," 206","Six Nations 40",3,0,67,7,68,2,0,147,395
35013,"Brantford--Brant/Brantford--Brant"," 207","Six Nations 40",4,6,88,11,87,0,0,196,616
35013,"Brantford--Brant/Brantford--Brant"," 208","Brant",2,1,36,92,106,0,1,238,405
35013,"Brantford--Brant/Brantford--Brant"," 209","Brant",9,2,53,105,70,0,3,242,358
35013,"Brantford--Brant/Brantford--Brant"," 210","Brant",7,2,47,91,64,0,2,213,355
35013,"Brantford--Brant/Brantford--Brant"," 211","Brantford",6,2,54,110,90,1,0,263,489
35013,"Brantford--Brant/Brantford--Brant"," 212","Brantford",4,3,37,123,62,0,0,229,433
35013,"Brantford--Brant/Brantford--Brant"," 213","Brantford",6,4,76,135,137,1,2,361,716
35013,"Brantford--Brant/Brantford--Brant"," 214","Brantford",2,5,30,89,74,0,2,202,396
35013,"Brantford--Brant/Brantford--Brant"," 215","Brantford",2,1,51,75,66,0,2,197,376
35013,"Brantford--Brant/Brantford--Brant"," 216","Brantford",4,3,19,75,62,0,0,163,355
35013,"Brantford--Brant/Brantford--Brant"," 217","Brantford",3,1,49,72,54,0,3,182,358
35013,"Brantford--Brant/Brantford--Brant"," 218","Brantford",0,2,32,60,51,1,1,147,352
35013,"Brantford--Brant/Brantford--Brant"," 219","Brantford",4,4,53,87,69,1,4,222,434
35013,"Brantford--Brant/Brantford--Brant"," 220","Brantford",9,5,59,108,73,2,0,256,465
35013,"Brantford--Brant/Brantford--Brant"," 221","Brantford",3,4,67,113,105,0,2,294,471
35013,"Brantford--Brant/Brantford--Brant"," 222","Brantford",10,0,62,124,65,0,1,262,483
35013,"Brantford--Brant/Brantford--Brant"," 223","Brant",7,0,36,115,63,0,3,224,376
35013,"Brantford--Brant/Brantford--Brant"," 224","Brant",20,1,33,125,79,0,1,259,399
35013,"Brantford--Brant/Brantford--Brant"," 225","Brant",6,1,47,124,62,1,0,241,403
35013,"Brantford--Brant/Brantford--Brant"," 226","Brant",5,5,76,112,67,0,0,265,404
35013,"Brantford--Brant/Brantford--Brant"," 227","Brant",13,0,60,128,57,1,1,260,410
35013,"Brantford--Brant/Brantford--Brant"," 228","Brant",2,2,28,104,78,1,2,217,416
35013,"Brantford--Brant/Brantford--Brant"," 229","Brant",6,4,34,114,74,0,0,232,402
35013,"Brantford--Brant/Brantford--Brant"," 230","Brant",6,2,55,105,61,0,0,229,383
35013,"Brantford--Brant/Brantford--Brant"," 231","Brant",4,1,49,101,61,2,3,221,387
35013,"Brantford--Brant/Brantford--Brant"," 232","Brant",5,2,37,117,58,1,2,222,392
35013,"Brantford--Brant/Brantford--Brant"," 233","New Credit 40A",1,0,52,7,51,1,0,112,277
35013,"Brantford--Brant/Brantford--Brant"," 400","Brant",4,5,21,79,32,2,1,144,237
35013,"Brantford--Brant/Brantford--Brant"," 401","Brantford",1,2,8,26,31,0,0,68,212
35013,"Brantford--Brant/Brantford--Brant"," 402","Brantford",2,2,9,61,38,1,1,114,180
35013,"Brantford--Brant/Brantford--Brant"," 500","Mobile poll/Bureau itinérant",5,3,7,19,11,1,2,48,146
35013,"Brantford--Brant/Brantford--Brant"," 501","Mobile poll/Bureau itinérant",4,5,11,44,27,2,2,95,192
35013,"Brantford--Brant/Brantford--Brant"," 502","Mobile poll/Bureau itinérant",1,1,14,23,21,1,0,61,166
35013,"Brantford--Brant/Brantford--Brant"," 503","Mobile poll/Bureau itinérant",4,1,20,62,52,0,3,142,258
35013,"Brantford--Brant/Brantford--Brant"," 504","Mobile poll/Bureau itinérant",3,6,11,41,30,3,1,95,168
