Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Harvey Edward Anstey,Brent Allan Bouteiller,Michael Chong,Anne Gajerski-Cauley,Don Trant,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 158","Halton Hills",0,11,143,16,96,4,270,456
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 159","Halton Hills",2,7,87,14,64,0,174,369
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 160","Halton Hills",0,12,168,16,86,0,282,450
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 161","Halton Hills",1,2,119,13,53,1,189,341
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 162","Halton Hills",0,7,122,15,67,2,213,381
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 163","Halton Hills",1,10,146,32,102,1,292,459
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 164","Halton Hills",0,5,116,25,70,0,216,454
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 165","Halton Hills",0,5,172,24,61,3,265,418
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 166","Halton Hills",0,6,143,17,55,0,221,368
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 167","Halton Hills",0,5,104,11,62,0,182,359
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 168","Halton Hills",1,7,119,34,67,0,228,418
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 169","Halton Hills",0,7,82,24,56,0,169,350
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 170","Halton Hills",0,6,130,18,84,1,239,473
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 171","Halton Hills",0,2,118,14,62,1,197,352
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 172","Halton Hills",0,6,56,28,67,0,157,301
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 173","Halton Hills",5,6,95,15,61,0,182,372
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 174","Halton Hills",0,7,88,24,58,0,177,332
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 175","Halton Hills",0,17,80,32,73,0,202,407
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 176","Halton Hills",1,6,103,25,58,0,193,437
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 177","Halton Hills",0,7,105,14,73,0,199,385
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 178","Halton Hills",0,12,148,24,90,2,276,565
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 179","Halton Hills",1,11,143,17,90,0,262,508
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 180","Halton Hills",3,4,102,21,61,1,192,409
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 181","Halton Hills",1,11,102,20,68,1,203,434
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 182","Halton Hills",3,7,97,33,72,1,213,429
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 183","Halton Hills",2,9,103,28,79,0,221,447
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 184","Guelph--Eramosa",1,11,106,20,58,1,197,369
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 185","Guelph--Eramosa",1,8,102,19,41,1,172,301
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 186","Guelph--Eramosa",1,6,68,18,49,1,143,254
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 187","Guelph--Eramosa",0,19,67,18,39,1,144,293
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 188","Guelph--Eramosa",0,5,68,10,72,0,155,360
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 189","Guelph--Eramosa",0,15,107,19,66,0,207,396
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 190","Guelph--Eramosa",0,19,105,31,109,0,264,464
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 191","Guelph--Eramosa",0,4,78,12,61,0,155,279
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 192","Guelph--Eramosa",0,6,103,21,63,0,193,342
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 193","Guelph--Eramosa",1,9,49,11,45,1,116,262
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 194","Guelph--Eramosa",2,6,87,19,35,1,150,284
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 195","Guelph--Eramosa",2,3,70,15,77,0,167,283
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 196","Guelph--Eramosa",0,15,85,23,57,0,180,298
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 197","Guelph--Eramosa",0,10,60,3,84,1,158,304
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 198","Guelph--Eramosa",0,19,58,16,82,0,175,299
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 199","Guelph--Eramosa",2,15,71,24,69,0,181,283
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 200","Guelph--Eramosa",0,10,85,11,83,0,189,361
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 201","Guelph--Eramosa",0,14,93,18,101,0,226,351
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 202","Guelph--Eramosa",0,11,115,20,80,0,226,443
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 203","Guelph--Eramosa",1,4,118,16,81,0,220,381
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 204","Guelph--Eramosa",1,8,132,24,88,1,254,411
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 205","Guelph--Eramosa",0,2,119,15,58,1,195,351
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 206","Guelph--Eramosa",0,6,105,7,49,0,167,313
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 207","Guelph--Eramosa",0,8,109,17,96,0,230,436
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 208","Guelph--Eramosa",1,7,103,21,84,0,216,407
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 209","Puslinch",0,12,114,22,91,1,240,483
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 210","Puslinch",0,11,137,25,101,0,274,431
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 211","Puslinch",0,10,94,20,54,1,179,286
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 212","Puslinch",0,16,172,14,98,2,302,489
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 213","Puslinch",0,14,132,8,95,1,250,435
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 214","Puslinch",0,8,82,18,43,0,151,316
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 215","Puslinch",0,13,99,18,71,0,201,354
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 216","Puslinch",0,18,113,15,68,0,214,375
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 217","Puslinch",0,10,143,12,78,1,244,448
