Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Richard Banigan,Jacob Kearey-Moreland,Liz Riley,Bruce Stanton,Peter Stubbins,Scott Whittaker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35100,"Simcoe North/Simcoe-Nord"," 175","Severn",14,5,76,146,8,1,0,250,451
35100,"Simcoe North/Simcoe-Nord"," 176","Severn",27,1,71,106,14,0,0,219,430
35100,"Simcoe North/Simcoe-Nord"," 177","Orillia",12,6,93,111,11,0,0,233,448
35100,"Simcoe North/Simcoe-Nord"," 178","Orillia",12,4,59,67,4,4,0,150,328
35100,"Simcoe North/Simcoe-Nord"," 179","Orillia",19,1,76,66,6,2,0,170,385
35100,"Simcoe North/Simcoe-Nord"," 180","Orillia",24,3,80,91,9,1,0,208,418
35100,"Simcoe North/Simcoe-Nord"," 181","Orillia",28,5,76,78,7,0,0,194,417
35100,"Simcoe North/Simcoe-Nord"," 182A","Orillia",11,8,55,51,1,0,0,126,228
35100,"Simcoe North/Simcoe-Nord"," 182B","Orillia",3,0,11,10,0,1,2,27,67
35100,"Simcoe North/Simcoe-Nord"," 183","Orillia",15,2,95,116,3,1,1,233,409
35100,"Simcoe North/Simcoe-Nord"," 184A","Orillia",15,4,61,56,9,2,0,147,328
35100,"Simcoe North/Simcoe-Nord"," 184B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,,34
35100,"Simcoe North/Simcoe-Nord"," 185","Orillia",29,5,81,64,7,2,0,188,400
35100,"Simcoe North/Simcoe-Nord"," 186","Orillia",27,13,89,59,9,3,0,200,376
35100,"Simcoe North/Simcoe-Nord"," 187","Orillia",17,10,108,73,14,1,0,223,406
35100,"Simcoe North/Simcoe-Nord"," 188A","Orillia",Merged with No./Fusionné avec le n°191,,,,,,,,156
35100,"Simcoe North/Simcoe-Nord"," 188B","Orillia",14,3,84,94,4,0,1,200,288
35100,"Simcoe North/Simcoe-Nord"," 188C","Orillia",2,1,10,16,1,2,0,32,142
35100,"Simcoe North/Simcoe-Nord"," 188D","Orillia",4,0,28,12,2,0,1,47,125
35100,"Simcoe North/Simcoe-Nord"," 189","Orillia",17,6,95,57,8,1,0,184,435
35100,"Simcoe North/Simcoe-Nord"," 190","Orillia",25,5,79,48,4,1,1,163,476
35100,"Simcoe North/Simcoe-Nord"," 191","Orillia",27,10,89,55,3,0,0,184,425
35100,"Simcoe North/Simcoe-Nord"," 192","Orillia",32,8,76,70,5,0,0,191,506
35100,"Simcoe North/Simcoe-Nord"," 193","Orillia",7,3,71,96,5,1,0,183,379
35100,"Simcoe North/Simcoe-Nord"," 194","Orillia",18,0,80,68,7,2,1,176,426
35100,"Simcoe North/Simcoe-Nord"," 195","Orillia",10,6,62,48,5,0,0,131,323
35100,"Simcoe North/Simcoe-Nord"," 196","Orillia",29,5,58,45,6,2,0,145,412
35100,"Simcoe North/Simcoe-Nord"," 197","Orillia",24,2,61,77,8,0,0,172,387
35100,"Simcoe North/Simcoe-Nord"," 198","Orillia",18,5,54,74,7,0,0,158,452
35100,"Simcoe North/Simcoe-Nord"," 199","Orillia",16,4,126,134,4,0,0,284,464
35100,"Simcoe North/Simcoe-Nord"," 200","Orillia",46,3,95,94,13,2,0,253,410
35100,"Simcoe North/Simcoe-Nord"," 201A","Orillia",Merged with No./Fusionné avec le n°200,,,,,,,,216
35100,"Simcoe North/Simcoe-Nord"," 201B","Orillia",Merged with No./Fusionné avec le n°204,,,,,,,,207
35100,"Simcoe North/Simcoe-Nord"," 202","Orillia",28,5,78,92,13,6,0,222,493
35100,"Simcoe North/Simcoe-Nord"," 203","Orillia",32,2,89,87,4,1,0,215,483
35100,"Simcoe North/Simcoe-Nord"," 204","Orillia",51,7,98,122,13,2,0,293,470
35100,"Simcoe North/Simcoe-Nord"," 205","Orillia",39,4,94,83,8,3,2,233,501
35100,"Simcoe North/Simcoe-Nord"," 206","Orillia",12,2,75,80,11,0,0,180,356
35100,"Simcoe North/Simcoe-Nord"," 207","Orillia",20,7,71,62,14,0,1,175,334
35100,"Simcoe North/Simcoe-Nord"," 208","Orillia",28,4,43,54,6,1,2,138,343
35100,"Simcoe North/Simcoe-Nord"," 209A","Orillia",15,4,55,58,2,0,0,134,234
35100,"Simcoe North/Simcoe-Nord"," 209B","Orillia",1,1,21,29,0,1,2,55,94
35100,"Simcoe North/Simcoe-Nord"," 210","Orillia",16,3,68,61,2,3,0,153,321
35100,"Simcoe North/Simcoe-Nord"," 211","Orillia",28,5,51,71,5,2,0,162,290
35100,"Simcoe North/Simcoe-Nord"," 212","Oro-Medonte",Merged with No./Fusionné avec le n°49,,,,,,,,341
35100,"Simcoe North/Simcoe-Nord"," 213","Orillia",10,2,69,58,6,3,1,149,274
35100,"Simcoe North/Simcoe-Nord"," 214","Orillia",11,6,68,76,1,2,0,164,313
35100,"Simcoe North/Simcoe-Nord"," 215","Orillia",20,2,85,69,2,1,0,179,421
35100,"Simcoe North/Simcoe-Nord"," 216A","Orillia",9,9,66,53,7,1,0,145,257
35100,"Simcoe North/Simcoe-Nord"," 216B","Orillia",5,1,8,17,1,0,0,32,45
35100,"Simcoe North/Simcoe-Nord"," 217","Orillia",31,3,112,64,8,1,0,219,447
35100,"Simcoe North/Simcoe-Nord"," 218","Orillia",40,9,97,103,9,2,2,262,545
35100,"Simcoe North/Simcoe-Nord"," 219","Orillia",30,8,100,75,7,2,1,223,489
35100,"Simcoe North/Simcoe-Nord"," 220","Orillia",21,12,77,47,10,1,2,170,466
35100,"Simcoe North/Simcoe-Nord"," 221A","Orillia",18,2,66,63,10,1,0,160,409
35100,"Simcoe North/Simcoe-Nord"," 221B","Orillia",4,3,16,17,0,0,0,40,67
35100,"Simcoe North/Simcoe-Nord"," 222","Orillia",26,1,53,72,6,4,0,162,401
35100,"Simcoe North/Simcoe-Nord"," 223","Orillia",18,9,74,76,6,2,0,185,415
35100,"Simcoe North/Simcoe-Nord"," 224","Orillia",38,7,90,87,3,1,1,227,478
35100,"Simcoe North/Simcoe-Nord"," 225","Orillia",30,6,67,77,6,2,0,188,438
35100,"Simcoe North/Simcoe-Nord"," 226","Orillia",32,6,47,63,8,3,0,159,428
35100,"Simcoe North/Simcoe-Nord"," 227","Orillia",16,1,47,57,4,0,0,125,280
35100,"Simcoe North/Simcoe-Nord"," 228","Orillia",23,6,74,64,3,0,0,170,380
35100,"Simcoe North/Simcoe-Nord"," 229","Orillia",19,5,64,64,4,2,0,158,481
35100,"Simcoe North/Simcoe-Nord"," 230","Orillia",12,3,83,89,11,1,0,199,416
35100,"Simcoe North/Simcoe-Nord"," 231","Orillia",19,2,71,110,7,2,3,214,537
35100,"Simcoe North/Simcoe-Nord"," 400","Orillia",4,2,10,31,1,0,1,49,159
35100,"Simcoe North/Simcoe-Nord"," 401","Penetanguishene","Electors voted by special ballot in Group 2",,,,,,,,113
35100,"Simcoe North/Simcoe-Nord"," 500","Mobile poll/Bureau itinérant",2,0,22,18,2,2,0,46,86
35100,"Simcoe North/Simcoe-Nord"," 501","Mobile poll/Bureau itinérant",5,1,22,33,1,0,2,64,84
35100,"Simcoe North/Simcoe-Nord"," 600","Tiny",36,0,176,135,21,1,1,370,
35100,"Simcoe North/Simcoe-Nord"," 601","Tiny",45,0,223,226,23,1,2,520,
35100,"Simcoe North/Simcoe-Nord"," 602","Penetanguishene",117,3,560,392,58,2,0,1132,
35100,"Simcoe North/Simcoe-Nord"," 603","Midland",130,0,466,463,64,6,2,1131,
35100,"Simcoe North/Simcoe-Nord"," 604","Tay",52,0,201,270,32,1,0,556,
35100,"Simcoe North/Simcoe-Nord"," 605","Midland",137,4,555,556,67,2,0,1321,
35100,"Simcoe North/Simcoe-Nord"," 606","Tiny",38,1,173,191,28,1,1,433,
35100,"Simcoe North/Simcoe-Nord"," 607","Tay",61,2,222,267,33,1,1,587,
35100,"Simcoe North/Simcoe-Nord"," 608","Severn",20,6,104,205,10,0,0,345,
35100,"Simcoe North/Simcoe-Nord"," 609","Severn",29,4,167,292,17,1,1,511,
35100,"Simcoe North/Simcoe-Nord"," 610","Orillia",84,3,367,437,20,5,4,920,
35100,"Simcoe North/Simcoe-Nord"," 611","Severn",26,4,129,285,10,4,0,458,
35100,"Simcoe North/Simcoe-Nord"," 612","Severn",32,3,146,241,12,0,2,436,
35100,"Simcoe North/Simcoe-Nord"," 613","Ramara",42,0,135,197,5,2,3,384,
35100,"Simcoe North/Simcoe-Nord"," 614","Orillia",78,9,392,392,25,7,0,903,
35100,"Simcoe North/Simcoe-Nord"," 615","Orillia",88,14,331,437,38,5,0,913,
35100,"Simcoe North/Simcoe-Nord"," 616","Orillia",83,14,277,418,26,9,2,829,
35100,"Simcoe North/Simcoe-Nord"," 617","Oro-Medonte",36,2,127,275,7,0,2,449,
