Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marjolaine Boutin-Sweet,Marianne Breton Fontaine,Christine Dandenault,Alexandre Dang,Nicolas Lemay,Simon Marchand,Marwah Rizqy,Anne-Marie Saint-Cerny,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24028,"Hochelaga/Hochelaga"," 130","Montréal",37,0,0,2,2,28,30,6,3,108,271
24028,"Hochelaga/Hochelaga"," 131","Montréal",51,2,1,4,0,53,32,9,1,153,369
24028,"Hochelaga/Hochelaga"," 132","Montréal",82,0,2,8,1,58,45,6,0,202,427
24028,"Hochelaga/Hochelaga"," 133","Montréal",34,1,1,4,4,53,36,9,0,142,369
24028,"Hochelaga/Hochelaga"," 134","Montréal",18,1,2,3,2,32,36,1,6,101,322
24028,"Hochelaga/Hochelaga"," 135","Montréal",45,0,0,0,0,30,27,3,1,106,283
24028,"Hochelaga/Hochelaga"," 136","Montréal",63,0,0,7,3,35,51,9,5,173,432
24028,"Hochelaga/Hochelaga"," 137","Montréal",77,0,1,3,2,61,45,5,3,197,440
24028,"Hochelaga/Hochelaga"," 138","Montréal",57,0,0,2,4,68,43,12,8,194,436
24028,"Hochelaga/Hochelaga"," 139","Montréal",70,0,0,5,1,54,34,12,2,178,401
24028,"Hochelaga/Hochelaga"," 140","Montréal",79,1,1,4,0,91,39,4,6,225,439
24028,"Hochelaga/Hochelaga"," 141","Montréal",55,1,0,8,5,51,54,8,1,183,434
24028,"Hochelaga/Hochelaga"," 142","Montréal",57,2,0,3,1,45,24,8,6,146,351
24028,"Hochelaga/Hochelaga"," 143","Montréal",57,1,4,4,2,67,29,11,2,177,402
24028,"Hochelaga/Hochelaga"," 144","Montréal",56,0,1,3,0,70,22,6,1,159,316
24028,"Hochelaga/Hochelaga"," 145","Montréal",52,0,0,1,1,41,48,8,6,157,325
24028,"Hochelaga/Hochelaga"," 146","Montréal",68,1,0,5,1,63,42,7,3,190,334
24028,"Hochelaga/Hochelaga"," 147","Montréal",71,0,0,8,3,46,36,7,4,175,352
24028,"Hochelaga/Hochelaga"," 148","Montréal",64,0,0,2,8,58,32,13,2,179,379
24028,"Hochelaga/Hochelaga"," 149","Montréal",70,0,0,5,5,43,34,12,4,173,364
24028,"Hochelaga/Hochelaga"," 150","Montréal",46,2,0,8,0,47,38,9,4,154,405
24028,"Hochelaga/Hochelaga"," 151","Montréal",71,0,0,4,0,56,38,16,5,190,437
24028,"Hochelaga/Hochelaga"," 152","Montréal",42,1,0,1,1,31,25,4,3,108,352
24028,"Hochelaga/Hochelaga"," 153","Montréal",52,0,0,8,0,43,22,5,3,133,320
24028,"Hochelaga/Hochelaga"," 154","Montréal",74,1,0,2,2,45,17,4,2,147,352
24028,"Hochelaga/Hochelaga"," 155","Montréal",57,0,0,7,1,51,30,12,1,159,367
24028,"Hochelaga/Hochelaga"," 156A","Montréal",47,1,0,6,1,39,20,1,4,119,275
24028,"Hochelaga/Hochelaga"," 156B","Montréal",36,2,0,7,3,35,28,5,4,120,265
24028,"Hochelaga/Hochelaga"," 157","Montréal",37,1,2,14,0,25,43,5,3,130,325
24028,"Hochelaga/Hochelaga"," 158","Montréal",74,0,0,8,2,67,57,7,3,218,438
24028,"Hochelaga/Hochelaga"," 159","Montréal",48,2,0,11,1,65,46,8,3,184,374
24028,"Hochelaga/Hochelaga"," 160","Montréal",91,1,0,12,2,65,37,10,3,221,428
24028,"Hochelaga/Hochelaga"," 161","Montréal",52,0,0,7,1,57,40,13,1,171,343
24028,"Hochelaga/Hochelaga"," 162","Montréal",73,0,1,4,3,51,39,9,1,181,334
24028,"Hochelaga/Hochelaga"," 163","Montréal",66,0,1,15,2,49,57,4,3,197,373
24028,"Hochelaga/Hochelaga"," 164","Montréal",55,3,0,9,4,61,49,5,4,190,348
24028,"Hochelaga/Hochelaga"," 165","Montréal",40,0,0,5,3,35,32,6,2,123,273
24028,"Hochelaga/Hochelaga"," 166","Montréal",87,0,0,11,5,68,47,9,1,228,489
24028,"Hochelaga/Hochelaga"," 167","Montréal",78,1,0,8,2,65,42,6,4,206,424
24028,"Hochelaga/Hochelaga"," 168","Montréal",60,0,0,9,2,40,49,12,1,173,338
24028,"Hochelaga/Hochelaga"," 169","Montréal",73,3,0,8,0,82,43,11,5,225,417
24028,"Hochelaga/Hochelaga"," 170","Montréal",64,1,1,13,1,53,52,3,0,188,392
24028,"Hochelaga/Hochelaga"," 171","Montréal",68,0,0,1,2,56,32,10,4,173,335
24028,"Hochelaga/Hochelaga"," 172","Montréal",91,1,2,2,3,67,38,11,4,219,395
24028,"Hochelaga/Hochelaga"," 173","Montréal",85,0,0,9,2,48,27,5,1,177,359
24028,"Hochelaga/Hochelaga"," 174","Montréal",71,1,2,11,0,58,50,15,2,210,429
24028,"Hochelaga/Hochelaga"," 175","Montréal",54,3,0,9,4,36,39,5,4,154,345
24028,"Hochelaga/Hochelaga"," 176","Montréal",60,0,0,8,1,78,32,6,3,188,391
24028,"Hochelaga/Hochelaga"," 177","Montréal",62,2,1,9,1,61,38,17,4,195,469
24028,"Hochelaga/Hochelaga"," 178","Montréal",41,0,0,5,0,58,29,8,3,144,345
24028,"Hochelaga/Hochelaga"," 179","Montréal",46,1,1,13,2,49,65,6,0,183,361
24028,"Hochelaga/Hochelaga"," 180","Montréal",66,0,0,15,0,61,42,5,2,191,372
24028,"Hochelaga/Hochelaga"," 181","Montréal",62,0,1,15,4,64,89,2,1,238,410
24028,"Hochelaga/Hochelaga"," 182","Montréal",58,0,0,10,0,38,74,8,4,192,410
24028,"Hochelaga/Hochelaga"," 183","Montréal",27,2,0,10,0,22,40,7,7,115,290
24028,"Hochelaga/Hochelaga"," 184","Montréal",50,0,0,17,0,73,90,3,4,237,414
24028,"Hochelaga/Hochelaga"," 185","Montréal",73,0,2,15,0,51,59,7,3,210,407
24028,"Hochelaga/Hochelaga"," 186","Montréal",59,1,0,9,3,80,67,10,5,234,438
24028,"Hochelaga/Hochelaga"," 187","Montréal",71,1,2,18,0,59,62,10,2,225,390
24028,"Hochelaga/Hochelaga"," 188","Montréal",80,2,0,18,1,29,89,2,2,223,421
24028,"Hochelaga/Hochelaga"," 189A","Montréal",33,1,0,5,1,27,35,3,2,107,259
24028,"Hochelaga/Hochelaga"," 189B","Montréal",38,0,0,11,0,29,42,3,1,124,265
24028,"Hochelaga/Hochelaga"," 190A","Montréal",35,0,0,8,1,31,37,4,1,117,248
24028,"Hochelaga/Hochelaga"," 190B","Montréal",25,1,0,16,2,32,36,4,0,116,276
24028,"Hochelaga/Hochelaga"," 191","Montréal",49,0,0,11,0,32,62,6,1,161,332
24028,"Hochelaga/Hochelaga"," 192","Montréal",88,1,0,21,3,77,66,11,4,271,482
24028,"Hochelaga/Hochelaga"," 193A","Montréal",28,0,0,7,0,30,42,1,2,110,260
24028,"Hochelaga/Hochelaga"," 193B","Montréal",34,0,0,11,0,27,45,0,3,120,263
24028,"Hochelaga/Hochelaga"," 194","Montréal",45,2,1,3,0,25,37,5,3,121,310
24028,"Hochelaga/Hochelaga"," 195","Montréal",75,0,0,22,2,78,65,10,6,258,444
24028,"Hochelaga/Hochelaga"," 196","Montréal",68,1,1,27,3,61,95,12,2,270,512
24028,"Hochelaga/Hochelaga"," 197","Montréal",66,0,1,20,0,41,83,9,3,223,481
24028,"Hochelaga/Hochelaga"," 198A","Montréal",22,0,0,5,0,8,40,2,1,78,234
24028,"Hochelaga/Hochelaga"," 198B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500C,,,,,,,,,,117
24028,"Hochelaga/Hochelaga"," 400","Montréal",30,0,0,35,1,63,140,5,8,282,352
24028,"Hochelaga/Hochelaga"," 401","Montréal",29,1,0,16,1,63,125,4,3,242,307
24028,"Hochelaga/Hochelaga"," 402A","Montréal",48,0,0,18,2,60,77,0,2,207,317
24028,"Hochelaga/Hochelaga"," 402B","Montréal",33,1,0,15,0,71,107,0,1,228,341
24028,"Hochelaga/Hochelaga"," 403A","Montréal",42,0,0,16,0,64,84,5,4,215,329
24028,"Hochelaga/Hochelaga"," 403B","Montréal",40,1,0,18,1,61,86,3,1,211,327
24028,"Hochelaga/Hochelaga"," 404","Montréal",37,5,1,21,2,87,136,7,5,301,373
24028,"Hochelaga/Hochelaga"," 405","Montréal",28,0,1,9,0,28,43,2,1,112,194
24028,"Hochelaga/Hochelaga"," 406","Montréal",28,0,0,10,0,28,43,2,0,111,241
24028,"Hochelaga/Hochelaga"," 407","Montréal",29,0,0,10,0,28,43,2,0,112,144
24028,"Hochelaga/Hochelaga"," 500A","Mobile poll/Bureau itinérant",6,1,3,9,2,7,31,2,1,62,40
24028,"Hochelaga/Hochelaga"," 500B","Mobile poll/Bureau itinérant",8,0,0,5,2,5,19,2,2,43,55
24028,"Hochelaga/Hochelaga"," 500C","Mobile poll/Bureau itinérant",14,1,4,5,2,29,50,3,4,112,42
24028,"Hochelaga/Hochelaga"," 501A","Mobile poll/Bureau itinérant",7,0,0,8,0,13,52,0,6,86,75
24028,"Hochelaga/Hochelaga"," 501B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,,,128
24028,"Hochelaga/Hochelaga"," 501C","Mobile poll/Bureau itinérant",5,6,1,8,2,8,42,3,0,75,57
24028,"Hochelaga/Hochelaga"," 502A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,,,25
24028,"Hochelaga/Hochelaga"," 502B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500C,,,,,,,,,,160
24028,"Hochelaga/Hochelaga"," 502C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501C,,,,,,,,,,174
24028,"Hochelaga/Hochelaga"," 503A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500B,,,,,,,,,,101
24028,"Hochelaga/Hochelaga"," 503B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,,,,92
24028,"Hochelaga/Hochelaga"," 600","Montréal",266,2,2,73,8,259,194,19,12,835,
24028,"Hochelaga/Hochelaga"," 601","Montréal",223,1,0,78,3,227,251,22,12,817,
24028,"Hochelaga/Hochelaga"," 602","Montréal",144,0,0,66,4,136,184,5,6,545,
24028,"Hochelaga/Hochelaga"," 603","Montréal",179,2,1,73,0,128,182,6,7,578,
24028,"Hochelaga/Hochelaga"," 604","Montréal",280,2,3,74,6,230,213,14,9,831,
24028,"Hochelaga/Hochelaga"," 605","Montréal",275,1,2,81,7,173,181,10,10,740,
24028,"Hochelaga/Hochelaga"," 606","Montréal",249,2,3,99,2,190,286,11,6,848,
24028,"Hochelaga/Hochelaga"," 607","Montréal",266,0,0,34,8,176,151,17,17,669,
24028,"Hochelaga/Hochelaga"," 608","Montréal",297,4,0,41,7,209,123,29,8,718,
24028,"Hochelaga/Hochelaga"," 609","Montréal",241,5,3,32,7,198,106,22,10,624,
24028,"Hochelaga/Hochelaga"," 610","Montréal",298,5,6,29,6,247,79,26,18,714,
24028,"Hochelaga/Hochelaga"," 611","Montréal",348,4,3,41,10,235,123,26,12,802,
24028,"Hochelaga/Hochelaga"," 612","Montréal",275,2,3,31,3,184,114,14,2,628,
24028,"Hochelaga/Hochelaga",,"Group 1/Groupe 1",47,2,1,17,1,21,78,1,6,174,160
24028,"Hochelaga/Hochelaga",,"Group 2/Groupe 2",607,4,2,74,14,300,298,49,54,1402,
