Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Abdul Abdi,Mark Brooks,Sam Heaton,Marlene Rivier,Rod Taylor,Anita Vandenbeld,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 132","Ottawa",69,15,1,25,5,206,2,323,498
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 133","Ottawa",35,7,2,24,2,138,0,208,381
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 134","Ottawa",42,3,2,21,4,132,2,206,426
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 135","Ottawa",40,6,0,24,1,122,0,193,333
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 136","Ottawa",60,4,0,10,2,93,0,169,309
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 137","Ottawa",30,3,0,21,5,91,2,152,406
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 138","Ottawa",37,2,0,27,0,93,1,160,377
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 139","Ottawa",56,11,0,20,6,141,1,235,477
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 140","Ottawa",70,5,4,20,8,108,1,216,423
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 141","Ottawa",34,2,0,30,3,166,5,240,456
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 142","Ottawa",84,13,2,24,1,118,2,244,444
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 143","Ottawa",39,3,0,20,1,109,0,172,347
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 144","Ottawa",57,8,2,26,5,138,1,237,473
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 145","Nepean",77,7,0,37,2,174,3,300,528
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 146","Nepean",74,4,1,27,1,144,0,251,455
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 147","Nepean",12,3,0,10,1,33,0,59,110
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 148","Nepean",76,7,1,15,3,118,1,221,447
