Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Berthiaume,Luc Berthold,Jean-François Delisle,Justin Gervais,Virginie Provost,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 173","Nantes",57,32,45,0,26,5,165,374
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 174","Lac-Mégantic",66,36,54,6,32,3,197,420
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 175","Lac-Mégantic",50,16,18,3,11,1,99,226
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 176","Lac-Mégantic",55,27,47,6,19,1,155,380
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 177","Lac-Mégantic",60,27,42,9,23,2,163,400
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 178","Lac-Mégantic",70,29,49,1,19,2,170,383
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 179","Lac-Mégantic",55,25,61,3,17,2,163,292
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 180A","Lac-Mégantic",44,27,46,2,18,1,138,341
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 180B","Lac-Mégantic",53,28,44,5,22,0,152,343
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 181","Nantes",44,17,43,5,20,1,130,378
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 182","Lac-Mégantic",65,20,66,6,21,2,180,440
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 183","Lac-Mégantic",50,35,45,6,31,1,168,410
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 184","Lac-Mégantic",62,36,43,9,28,1,179,383
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 185","Lac-Mégantic",59,43,70,6,34,2,214,432
