Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charlie Angus,John P. Curley,Max Kennedy,Todd Lever,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35107,"Timmins--James Bay/Timmins--Baie James"," 85","Timmins",52,66,4,76,1,199,407
35107,"Timmins--James Bay/Timmins--Baie James"," 86","Timmins",65,61,2,67,0,195,457
35107,"Timmins--James Bay/Timmins--Baie James"," 87","Timmins",56,57,5,86,1,205,391
35107,"Timmins--James Bay/Timmins--Baie James"," 88","Timmins",48,32,7,74,2,163,346
35107,"Timmins--James Bay/Timmins--Baie James"," 89","Timmins",62,27,3,50,0,142,302
35107,"Timmins--James Bay/Timmins--Baie James"," 90","Timmins",47,49,1,48,1,146,309
35107,"Timmins--James Bay/Timmins--Baie James"," 91","Timmins",42,32,2,20,1,97,351
35107,"Timmins--James Bay/Timmins--Baie James"," 92","Timmins",52,36,3,57,0,148,329
35107,"Timmins--James Bay/Timmins--Baie James"," 93","Timmins",61,22,10,51,2,146,355
35107,"Timmins--James Bay/Timmins--Baie James"," 94","Timmins",39,16,3,28,0,86,259
35107,"Timmins--James Bay/Timmins--Baie James"," 95","Timmins",41,32,3,53,0,129,283
35107,"Timmins--James Bay/Timmins--Baie James"," 96","Timmins",35,16,3,50,1,105,347
35107,"Timmins--James Bay/Timmins--Baie James"," 97","Timmins",62,17,1,32,0,112,408
35107,"Timmins--James Bay/Timmins--Baie James"," 98","Timmins",57,12,4,60,0,133,376
35107,"Timmins--James Bay/Timmins--Baie James"," 99","Timmins",73,22,10,56,0,161,400
35107,"Timmins--James Bay/Timmins--Baie James"," 100","Timmins",59,19,5,56,0,139,404
35107,"Timmins--James Bay/Timmins--Baie James"," 101","Timmins",79,44,2,86,1,212,433
35107,"Timmins--James Bay/Timmins--Baie James"," 102","Timmins",69,40,5,75,1,190,470
35107,"Timmins--James Bay/Timmins--Baie James"," 103","Timmins",49,30,6,72,3,160,328
35107,"Timmins--James Bay/Timmins--Baie James"," 104","Timmins",91,39,3,68,2,203,395
35107,"Timmins--James Bay/Timmins--Baie James"," 105","Timmins",45,28,1,63,0,137,385
35107,"Timmins--James Bay/Timmins--Baie James"," 106","Timmins",80,30,5,76,2,193,410
35107,"Timmins--James Bay/Timmins--Baie James"," 107","Timmins",73,23,4,83,0,183,445
35107,"Timmins--James Bay/Timmins--Baie James"," 108","Timmins",54,23,6,77,4,164,406
35107,"Timmins--James Bay/Timmins--Baie James"," 109","Timmins",88,31,7,102,0,228,448
35107,"Timmins--James Bay/Timmins--Baie James"," 110","Timmins",62,58,3,113,2,238,518
35107,"Timmins--James Bay/Timmins--Baie James"," 111","Timmins",66,23,1,65,0,155,300
35107,"Timmins--James Bay/Timmins--Baie James"," 112","Timmins",52,45,5,85,1,188,414
35107,"Timmins--James Bay/Timmins--Baie James"," 113","Timmins",49,41,4,86,0,180,435
35107,"Timmins--James Bay/Timmins--Baie James"," 114","Timmins",55,25,1,72,0,153,381
35107,"Timmins--James Bay/Timmins--Baie James"," 115","Timmins",56,19,0,85,1,161,372
35107,"Timmins--James Bay/Timmins--Baie James"," 116","Timmins",48,62,3,104,0,217,408
