Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bob D'Eith,Mike Murray,Steve Ranta,Dan Ruimy,Peter Tam,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 45","Pitt Meadows",98,105,1,107,8,0,319,536
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 46","Maple Ridge",83,65,3,80,8,0,239,383
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 47","Maple Ridge",88,73,1,119,9,0,290,499
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 48","Maple Ridge",74,61,1,87,12,0,235,392
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 49","Maple Ridge",81,42,2,78,9,0,212,418
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 50","Maple Ridge",80,44,0,98,12,0,234,428
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 51","Maple Ridge",85,35,5,78,9,0,212,438
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 52","Maple Ridge",75,109,3,86,12,1,286,469
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 53","Maple Ridge",89,95,1,129,11,0,325,517
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 54","Maple Ridge",69,89,0,108,16,1,283,452
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 55","Maple Ridge",64,99,4,107,12,0,286,511
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 56","Maple Ridge",52,78,2,73,13,1,219,369
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 57","Maple Ridge",37,71,1,53,11,0,173,317
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 58","Maple Ridge",63,71,0,74,3,2,213,360
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 59","Maple Ridge",93,66,0,98,18,1,276,476
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 60","Maple Ridge",89,99,2,68,9,0,267,448
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 61","Maple Ridge",81,58,3,82,14,1,239,425
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 62","Maple Ridge",67,65,1,84,20,0,237,384
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 63","Maple Ridge",85,76,3,70,13,0,247,383
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 64","Maple Ridge",63,67,1,69,10,0,210,362
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 65","Maple Ridge",83,30,0,94,13,0,220,399
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 66","Maple Ridge",74,50,2,77,10,1,214,392
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 67","Maple Ridge",86,76,2,97,10,0,271,497
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 68","Maple Ridge",116,60,3,99,11,1,290,513
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 69","Maple Ridge",52,64,2,67,11,1,197,423
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 70","Maple Ridge",86,79,4,88,8,2,267,446
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 71","Maple Ridge",77,71,2,73,18,2,243,420
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 72","Maple Ridge",58,77,3,76,8,0,222,341
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 73","Maple Ridge",80,77,2,74,12,1,246,421
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 74","Maple Ridge",74,69,7,96,17,1,264,479
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 75","Maple Ridge",89,67,2,110,8,0,276,498
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 76","Maple Ridge",105,67,2,78,16,1,269,472
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 77","Maple Ridge",79,54,2,88,9,0,232,396
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 78","Maple Ridge",73,64,8,77,5,0,227,379
