Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bob Bratina,Diane Bubanko,Erin Davis,Wendell Fields,Bob Mann,Wayne Marston,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 146","Hamilton ",97,39,4,0,0,103,0,243,427
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 147","Hamilton ",76,32,7,1,2,88,2,208,496
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 148","Hamilton ",84,24,6,0,0,69,2,185,430
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 149","Hamilton ",44,38,1,1,0,64,0,148,407
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 150","Hamilton ",117,52,1,0,0,62,1,233,401
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 151","Hamilton ",82,50,3,0,0,79,2,216,422
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 152","Hamilton ",64,45,5,0,2,87,2,205,351
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 153","Hamilton ",75,34,7,1,0,78,3,198,391
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 154","Hamilton ",67,49,12,0,2,75,0,205,409
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 155","Hamilton ",59,63,5,0,1,88,2,218,391
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 156","Hamilton ",81,56,8,0,0,73,0,218,403
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 157","Hamilton ",62,44,4,0,0,87,1,198,381
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 158","Hamilton ",88,41,11,1,1,89,0,231,529
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 159","Hamilton ",85,36,6,1,0,77,1,206,382
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 160","Hamilton ",61,57,10,0,0,97,0,225,398
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 161","Hamilton ",68,42,8,0,1,88,1,208,366
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 162","Hamilton ",64,30,1,0,0,93,1,189,372
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 163","Hamilton ",59,43,6,1,0,88,1,198,390
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 164","Hamilton ",76,50,10,0,1,87,0,224,351
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 165","Hamilton ",61,46,5,1,0,113,0,226,369
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 166","Hamilton ",83,45,8,0,0,99,2,237,369
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 167","Hamilton ",63,57,14,0,0,91,0,225,395
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 168","Hamilton ",63,62,6,0,0,114,0,245,373
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 169","Hamilton ",96,59,11,0,0,65,3,234,403
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 170","Hamilton ",62,33,8,0,0,84,1,188,436
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 171","Hamilton ",90,29,8,0,0,47,0,174,403
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 172","Hamilton ",55,47,2,0,1,58,1,164,368
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 173","Hamilton ",78,43,2,0,1,63,1,188,415
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 174","Hamilton ",64,33,1,0,0,53,2,153,389
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 175","Hamilton ",44,22,4,0,1,67,0,138,360
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 176","Hamilton ",77,62,3,0,0,38,2,182,312
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 177","Hamilton ",69,54,4,0,4,61,1,193,298
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 178","Hamilton ",46,46,3,0,2,38,0,135,288
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 179","Hamilton ",100,47,5,0,0,61,0,213,568
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 180","Hamilton ",70,43,2,0,0,30,0,145,372
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 181","Hamilton ",93,76,6,0,0,58,1,234,445
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 182","Hamilton ",47,30,2,0,0,52,1,132,277
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 183","Hamilton ",75,36,1,0,1,38,1,152,328
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 184","Hamilton ",84,60,1,0,1,62,0,208,396
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 185","Hamilton ",78,34,2,0,1,76,4,195,393
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 186","Hamilton ",100,76,8,0,0,88,1,273,485
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 187","Hamilton ",116,59,2,0,0,49,3,229,388
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 188","Hamilton ",88,40,0,0,2,46,1,177,314
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 189","Hamilton ",101,58,1,0,0,55,2,217,384
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 190","Hamilton ",57,40,3,0,0,48,0,148,276
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 400","Stoney Creek",77,60,3,0,0,42,2,184,241
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 401","Hamilton ",29,9,2,0,0,27,1,68,180
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 402","Hamilton ",39,17,9,0,3,59,0,127,357
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 403","Hamilton ",64,44,2,0,2,97,3,212,388
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 404","Hamilton ",78,31,5,0,1,84,4,203,303
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 405","Hamilton ",65,40,6,0,1,41,0,153,241
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 406","Hamilton ",66,40,9,0,1,77,0,193,273
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 407","Hamilton ",67,25,5,1,5,101,2,206,309
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 408","Hamilton ",60,42,1,0,0,77,0,180,279
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 409","Hamilton ",96,40,7,0,1,77,0,221,436
