Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pamela Leslie Bryan,Alexander Dussault,Karen Leibovici,Heather MacKenzie,Kelly McCauley,Peggy Morton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48020,"Edmonton West/Edmonton-Ouest"," 144","Edmonton",2,2,95,15,123,0,0,237,405
48020,"Edmonton West/Edmonton-Ouest"," 145","Edmonton",3,2,99,17,140,1,2,264,496
48020,"Edmonton West/Edmonton-Ouest"," 146","Edmonton",5,0,65,12,142,0,0,224,468
48020,"Edmonton West/Edmonton-Ouest"," 147","Edmonton",5,0,67,15,122,0,0,209,394
48020,"Edmonton West/Edmonton-Ouest"," 148","Edmonton",2,2,66,8,141,0,0,219,519
48020,"Edmonton West/Edmonton-Ouest"," 149","Edmonton",3,0,49,6,83,0,1,142,293
48020,"Edmonton West/Edmonton-Ouest"," 150","Edmonton",1,0,59,10,108,0,0,178,396
48020,"Edmonton West/Edmonton-Ouest"," 151","Edmonton",10,2,78,15,115,0,0,220,391
48020,"Edmonton West/Edmonton-Ouest"," 152","Edmonton",4,3,83,35,119,0,1,245,394
48020,"Edmonton West/Edmonton-Ouest"," 153","Edmonton",3,0,129,31,169,1,2,335,526
48020,"Edmonton West/Edmonton-Ouest"," 154","Edmonton",2,1,100,18,99,0,0,220,404
48020,"Edmonton West/Edmonton-Ouest"," 155","Edmonton",4,1,86,9,115,0,0,215,419
48020,"Edmonton West/Edmonton-Ouest"," 156A","Edmonton",2,0,68,21,91,1,0,183,359
