Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Braid,Bardish Chagger,Diane Freeman,Emma Hawley-Yan,Richard Walsh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35112,"Waterloo/Waterloo"," 36B","Waterloo",46,68,28,0,2,0,144,256
35112,"Waterloo/Waterloo"," 37","Waterloo",71,108,29,0,7,3,218,408
35112,"Waterloo/Waterloo"," 38","Waterloo",113,150,34,0,7,2,306,465
35112,"Waterloo/Waterloo"," 39","Waterloo",57,100,37,1,5,1,201,330
35112,"Waterloo/Waterloo"," 40","Waterloo",85,120,48,0,6,1,260,470
35112,"Waterloo/Waterloo"," 41","Waterloo",63,125,38,0,7,1,234,410
35112,"Waterloo/Waterloo"," 42","Kitchener",108,93,11,0,3,0,215,378
35112,"Waterloo/Waterloo"," 43A","Kitchener",67,87,18,0,5,1,178,292
35112,"Waterloo/Waterloo"," 43B","Kitchener",68,70,12,0,4,0,154,267
35112,"Waterloo/Waterloo"," 44A","Kitchener",76,75,20,0,2,2,175,278
35112,"Waterloo/Waterloo"," 44B","Kitchener",76,61,27,0,7,0,171,274
35112,"Waterloo/Waterloo"," 45","Kitchener",99,125,49,1,9,3,286,500
35112,"Waterloo/Waterloo"," 46","Kitchener",109,106,70,0,7,1,293,473
35112,"Waterloo/Waterloo"," 47","Kitchener",103,108,52,4,12,0,279,438
35112,"Waterloo/Waterloo"," 48","Kitchener",70,78,26,2,7,0,183,306
35112,"Waterloo/Waterloo"," 49","Waterloo",68,115,36,1,9,1,230,400
35112,"Waterloo/Waterloo"," 50","Waterloo",63,104,79,0,16,2,264,459
35112,"Waterloo/Waterloo"," 51","Kitchener",80,96,39,0,3,1,219,377
35112,"Waterloo/Waterloo"," 52","Waterloo",76,135,61,1,12,0,285,443
35112,"Waterloo/Waterloo"," 53","Waterloo",105,140,52,0,7,2,306,474
35112,"Waterloo/Waterloo"," 54","Waterloo",61,77,22,1,0,0,161,319
35112,"Waterloo/Waterloo"," 55","Waterloo",94,97,16,0,5,1,213,335
35112,"Waterloo/Waterloo"," 56","Waterloo",76,109,37,0,10,1,233,433
35112,"Waterloo/Waterloo"," 57","Waterloo",74,89,28,1,3,0,195,318
35112,"Waterloo/Waterloo"," 58","Waterloo",54,131,39,1,19,3,247,457
35112,"Waterloo/Waterloo"," 59","Waterloo",40,131,38,2,12,2,225,421
35112,"Waterloo/Waterloo"," 60","Waterloo",34,145,36,1,16,1,233,507
35112,"Waterloo/Waterloo"," 61","Waterloo",72,141,38,0,5,1,257,432
35112,"Waterloo/Waterloo"," 62","Waterloo",81,128,55,3,12,0,279,429
35112,"Waterloo/Waterloo"," 63","Waterloo",73,87,21,0,9,0,190,319
35112,"Waterloo/Waterloo"," 64","Waterloo",109,109,39,0,12,0,269,439
35112,"Waterloo/Waterloo"," 65","Waterloo",79,118,56,1,5,0,259,418
