Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Suzanna Dieleman,Ali Hamadi,Irene Mathyssen,Matthew Peloza,Khalil Ramal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35051,"London--Fanshawe/London--Fanshawe"," 605","London",230,6,243,13,143,4,639,
35051,"London--Fanshawe/London--Fanshawe"," 606","London",123,3,192,17,142,0,477,
35051,"London--Fanshawe/London--Fanshawe"," 607","London",132,1,177,19,104,3,436,
35051,"London--Fanshawe/London--Fanshawe"," 608","London",182,5,240,13,182,8,630,
35051,"London--Fanshawe/London--Fanshawe"," 609","London",261,5,241,7,187,2,703,
35051,"London--Fanshawe/London--Fanshawe"," 610","London",268,5,308,20,240,2,843,
35051,"London--Fanshawe/London--Fanshawe"," 611","London",237,5,223,18,188,3,674,
35051,"London--Fanshawe/London--Fanshawe"," 612","London",221,2,232,11,195,0,661,
35051,"London--Fanshawe/London--Fanshawe"," 613","London",198,7,225,18,152,2,602,
35051,"London--Fanshawe/London--Fanshawe"," 614","London",182,1,264,13,236,0,696,
35051,"London--Fanshawe/London--Fanshawe",,"Group 1/Groupe 1",39,1,45,9,107,11,212,147
35051,"London--Fanshawe/London--Fanshawe",,"Group 2/Groupe 2",216,1,458,19,221,14,929,
