Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stella Ambler,Ariana Burgener,Eric Guerbilsky,Sven Spengemann,Dagmar Sullivan,Paul Woodworth,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 143","Mississauga",77,7,21,122,0,1,4,232,390
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 144","Mississauga",117,9,14,127,0,0,0,267,411
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 145","Mississauga",106,4,15,120,0,2,1,248,458
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 146","Mississauga",106,6,32,104,0,0,2,250,417
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 147A","Mississauga",58,6,19,84,0,1,0,168,310
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 147B","Mississauga",48,5,11,52,0,0,0,116,239
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 148","Mississauga",59,7,17,76,0,0,1,160,328
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 149","Mississauga",51,6,29,105,0,2,0,193,421
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 150","Mississauga",35,5,26,107,0,4,0,177,468
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 151","Mississauga",38,11,19,73,0,1,1,143,308
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 152","Mississauga",93,4,16,85,0,2,0,200,357
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 153","Mississauga",78,5,27,86,0,0,1,197,351
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 154","Mississauga",87,7,27,79,0,1,0,201,365
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 155","Mississauga",114,9,27,108,1,2,1,262,433
