Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ted Falk,Terry Hayward,Les Lilley,Jeff Wheeldon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46008,"Provencher/Provencher"," 66","Glenlea",70,47,10,7,1,135,259
46008,"Provencher/Provencher"," 67","St. Adolphe",92,151,18,8,2,271,395
46008,"Provencher/Provencher"," 68","St. Adolphe",99,160,20,10,0,289,436
46008,"Provencher/Provencher"," 69","Niverville",249,111,25,8,2,395,651
46008,"Provencher/Provencher"," 70","Niverville",181,81,11,14,2,289,517
46008,"Provencher/Provencher"," 71","Niverville",118,69,10,8,1,206,368
46008,"Provencher/Provencher"," 72","Niverville",156,30,8,16,1,211,399
46008,"Provencher/Provencher"," 73","Niverville",94,56,9,4,2,165,266
46008,"Provencher/Provencher"," 74","Niverville",156,125,12,11,0,304,556
46008,"Provencher/Provencher"," 75","Niverville",236,94,12,15,4,361,617
46008,"Provencher/Provencher"," 76","Ste. Agathe",112,173,14,9,0,308,419
46008,"Provencher/Provencher"," 77","Ste. Agathe",85,106,6,5,0,202,288
46008,"Provencher/Provencher"," 78","Otterburne",144,80,7,50,0,281,371
46008,"Provencher/Provencher"," 79","Rat River Settlement",111,107,11,12,0,241,498
46008,"Provencher/Provencher"," 80","St-Pierre-Jolys",92,137,5,9,0,243,414
46008,"Provencher/Provencher"," 81","St-Pierre-Jolys",97,135,13,7,0,252,384
46008,"Provencher/Provencher"," 82","Kleefeld",276,42,1,13,0,332,549
46008,"Provencher/Provencher"," 83","Hochstadt",185,25,4,4,0,218,395
46008,"Provencher/Provencher"," 84","Hochstadt",218,68,5,23,2,316,464
46008,"Provencher/Provencher"," 85","New Bothwell",268,67,8,16,3,362,604
46008,"Provencher/Provencher"," 86","Randolph",165,34,4,13,0,216,357
46008,"Provencher/Provencher"," 87","Mitchell",152,26,1,10,0,189,337
46008,"Provencher/Provencher"," 88","Mitchell",154,29,7,3,1,194,332
46008,"Provencher/Provencher"," 89","Mitchell",95,12,3,7,1,118,235
46008,"Provencher/Provencher"," 90","Mitchell",156,24,4,6,0,190,307
46008,"Provencher/Provencher"," 91","Hanover",242,33,6,15,1,297,541
46008,"Provencher/Provencher"," 92","Blumenort",321,44,14,5,2,386,691
46008,"Provencher/Provencher"," 93","Blumenort",325,30,6,8,4,373,700
46008,"Provencher/Provencher"," 94","Giroux",138,77,13,9,0,237,400
46008,"Provencher/Provencher"," 95","Steinbach",245,56,3,14,0,318,601
46008,"Provencher/Provencher"," 96","Steinbach",152,54,7,3,2,218,432
46008,"Provencher/Provencher"," 97","Steinbach",308,105,5,14,1,433,902
46008,"Provencher/Provencher"," 98","Steinbach",173,28,3,8,3,215,444
46008,"Provencher/Provencher"," 99","Steinbach",150,49,9,24,1,233,427
46008,"Provencher/Provencher"," 100","Steinbach",116,36,4,11,0,167,404
46008,"Provencher/Provencher"," 101","Steinbach",114,27,3,7,1,152,369
