Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Betty Bannon,Mike Bossio,Daryl Kramp,Cam Mather,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 109","Amherstview",38,156,96,3,0,293,562
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 110","Amherstview",38,116,60,5,0,219,351
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 111","Loyalist",34,91,41,4,0,170,314
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 112","Amherstview",22,81,36,3,1,143,280
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 113","Amherstview",27,54,42,3,0,126,308
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 114","Amherstview",17,67,24,5,0,113,276
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 115","Amherstview",24,110,49,5,1,189,360
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 116","Amherstview",19,108,61,6,0,194,404
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 117","Amherstview",31,131,68,5,0,235,454
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 118","Amherstview",44,93,50,5,0,192,402
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 119","Amherstview",23,93,34,5,1,156,307
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 120","Amherstview",25,79,34,3,0,141,332
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 121","Amherstview",32,98,37,6,0,173,438
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 122","Amherstview",24,81,38,3,0,146,346
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 123","Amherstview",17,41,20,7,0,85,215
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 124","Amherstview",27,91,44,2,1,165,304
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 125","Bayview",13,112,81,5,3,214,387
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 126","Millhaven",21,81,62,6,0,170,315
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 127","Loyalist",40,126,62,5,1,234,411
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 128","Loyalist",31,94,57,6,1,189,315
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 129","Bath",30,119,68,5,2,224,367
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 130","Loyalist",24,141,128,9,1,303,483
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 131","Loyalist",20,99,76,1,2,198,323
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 132","Greater Napanee",23,97,66,2,0,188,356
