Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Vince Fiorito,Karina Gould,David Laird,Mike Wallace,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35015,"Burlington/Burlington"," 412","Hamilton ",1,67,25,60,1,154,213
35015,"Burlington/Burlington"," 413","Burlington",3,93,10,112,3,221,303
35015,"Burlington/Burlington"," 414","Hamilton ",5,81,15,96,0,197,285
35015,"Burlington/Burlington"," 415","Hamilton ",2,40,9,31,0,82,102
35015,"Burlington/Burlington"," 416","Hamilton ",4,95,28,94,0,221,281
35015,"Burlington/Burlington"," 417","Burlington",6,82,20,62,0,170,231
35015,"Burlington/Burlington"," 418","Burlington",4,73,25,86,0,188,256
35015,"Burlington/Burlington"," 419","Burlington",6,68,20,100,1,195,246
35015,"Burlington/Burlington"," 500","Mobile poll/Bureau itinérant",3,47,10,53,0,113,171
35015,"Burlington/Burlington"," 501","Mobile poll/Bureau itinérant",3,53,5,51,3,115,204
35015,"Burlington/Burlington"," 502A","Mobile poll/Bureau itinérant",2,52,21,50,1,126,85
35015,"Burlington/Burlington"," 502B","Mobile poll/Bureau itinérant",0,59,15,58,4,136,119
35015,"Burlington/Burlington"," 503","Mobile poll/Bureau itinérant",6,50,15,54,4,129,188
35015,"Burlington/Burlington"," 504","Mobile poll/Bureau itinérant",3,46,19,46,0,114,132
35015,"Burlington/Burlington"," 505","Mobile poll/Bureau itinérant",1,54,16,64,2,137,191
35015,"Burlington/Burlington"," 506","Mobile poll/Bureau itinérant",1,25,8,23,0,57,209
35015,"Burlington/Burlington"," 507","Mobile poll/Bureau itinérant",1,57,10,43,4,115,283
35015,"Burlington/Burlington"," 508","Mobile poll/Bureau itinérant",2,32,6,35,0,75,190
35015,"Burlington/Burlington"," 509","Mobile poll/Bureau itinérant",1,54,16,64,2,137,269
35015,"Burlington/Burlington"," 510","Mobile poll/Bureau itinérant",2,74,14,68,4,162,229
35015,"Burlington/Burlington"," 600","Burlington",19,473,100,439,1,1032,
35015,"Burlington/Burlington"," 601","Burlington",20,410,79,374,1,884,
35015,"Burlington/Burlington"," 602","Burlington",12,546,63,544,3,1168,
35015,"Burlington/Burlington"," 603","Burlington",18,393,66,455,5,937,
35015,"Burlington/Burlington"," 604","Burlington",13,411,56,344,0,824,
35015,"Burlington/Burlington"," 605","Burlington",23,466,88,467,4,1048,
35015,"Burlington/Burlington"," 606","Burlington",18,236,67,228,5,554,
35015,"Burlington/Burlington"," 607","Burlington",22,476,80,377,3,958,
35015,"Burlington/Burlington"," 608","Burlington",15,462,86,502,4,1069,
35015,"Burlington/Burlington"," 609","Burlington",17,468,71,391,1,948,
35015,"Burlington/Burlington"," 610","Burlington",32,569,95,379,9,1084,
35015,"Burlington/Burlington"," 611","Burlington",20,468,67,386,1,942,
35015,"Burlington/Burlington"," 612","Burlington",25,407,54,388,1,875,
35015,"Burlington/Burlington"," 613","Burlington",13,463,57,476,2,1011,
35015,"Burlington/Burlington"," 614","Burlington",36,492,92,475,1,1096,
35015,"Burlington/Burlington",,"Group 1/Groupe 1",4,52,14,42,6,118,86
35015,"Burlington/Burlington",,"Group 2/Groupe 2",45,908,199,764,25,1941,
