Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bill MacCallum,David Marquis,Mike Perry,Jamie Schmale,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 103","Kawartha Lakes",11,70,35,108,3,227,397
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 104","Kawartha Lakes",11,73,52,118,0,254,399
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 105","Kawartha Lakes",9,54,63,92,0,218,421
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 106","Kawartha Lakes",12,94,83,142,0,331,575
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 107","Kawartha Lakes",15,82,42,118,2,259,484
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 108","Kawartha Lakes",5,49,35,52,1,142,287
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 109","Kawartha Lakes",6,75,35,84,0,200,390
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 110","Kawartha Lakes",3,70,68,99,0,240,454
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 111","Kawartha Lakes",2,61,38,84,0,185,304
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 112","Kawartha Lakes",5,57,64,75,0,201,453
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 113","Kawartha Lakes",9,91,49,100,0,249,447
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 114","Kawartha Lakes",9,73,49,72,1,204,426
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 115","Kawartha Lakes",10,75,42,75,0,202,478
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 116","Kawartha Lakes",5,51,62,57,1,176,379
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 117","Kawartha Lakes",17,66,62,77,0,222,445
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 118","Kawartha Lakes",12,56,58,77,0,203,401
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 119A","Kawartha Lakes",3,70,49,102,1,225,413
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 119B","Kawartha Lakes",6,71,41,89,1,208,416
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 120","Kawartha Lakes",7,63,35,83,0,188,330
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 121","Kawartha Lakes",11,77,29,68,0,185,382
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 122","Kawartha Lakes",10,68,30,84,0,192,418
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 123","Kawartha Lakes",8,64,51,84,1,208,399
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 124","Kawartha Lakes",10,73,39,54,3,179,412
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 125","Kawartha Lakes",8,61,34,79,1,183,365
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 126","Kawartha Lakes",4,70,51,64,0,189,390
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 127","Kawartha Lakes",6,58,47,65,1,177,367
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 128","Kawartha Lakes",6,51,41,43,2,143,408
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 129","Kawartha Lakes",5,46,40,54,0,145,380
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 130","Kawartha Lakes",6,54,42,41,0,143,359
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 131","Kawartha Lakes",8,67,43,73,2,193,387
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 132","Kawartha Lakes",9,71,51,64,0,195,381
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 133","Kawartha Lakes",10,71,49,73,0,203,414
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 134","Kawartha Lakes",24,73,40,72,0,209,431
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 135","Kawartha Lakes",14,65,72,75,1,227,478
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 136","Kawartha Lakes",9,65,46,58,2,180,385
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 137","Kawartha Lakes",8,91,47,118,0,264,547
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 138","Kawartha Lakes",7,72,50,108,0,237,467
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 139","Kawartha Lakes",13,66,53,64,4,200,441
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 140A","Kawartha Lakes",11,48,26,79,2,166,336
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 140B","Kawartha Lakes",7,52,33,96,2,190,343
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 141A","Kawartha Lakes",5,43,40,88,0,176,309
