Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tracy Calogheros,Gordon Campbell,Sheldon Clare,Adam De Kroon,Trent Derrick,Todd Doherty,Richard Edward Jaques,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59004,"Cariboo--Prince George/Cariboo--Prince George"," 500","Mobile poll/Bureau itinérant",5,5,2,1,4,20,1,1,39,62
59004,"Cariboo--Prince George/Cariboo--Prince George"," 501A","Mobile poll/Bureau itinérant",33,6,4,2,21,26,5,0,97,137
59004,"Cariboo--Prince George/Cariboo--Prince George"," 501B","Mobile poll/Bureau itinérant",19,8,6,1,15,35,1,4,89,17
59004,"Cariboo--Prince George/Cariboo--Prince George"," 502","Mobile poll/Bureau itinérant",23,4,2,0,17,27,3,3,79,127
59004,"Cariboo--Prince George/Cariboo--Prince George"," 503","Mobile poll/Bureau itinérant",30,10,6,2,17,49,4,3,121,157
59004,"Cariboo--Prince George/Cariboo--Prince George"," 600","Vanderhoof",92,3,5,5,35,230,12,1,383,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 601","Vanderhoof",83,4,1,5,43,172,16,0,324,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 602","Prince George",82,2,10,0,55,136,12,0,297,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 603","Prince George",267,3,13,0,223,254,13,4,777,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 604","Prince George",248,4,26,2,277,221,21,4,803,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 605","Prince George",223,3,13,3,270,268,14,0,794,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 606","Prince George",260,2,11,6,268,204,36,1,788,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 607","Prince George",317,3,16,5,226,342,18,2,929,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 608","Prince George",157,2,2,0,93,204,14,3,475,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 609","Chilco",6,1,0,0,34,28,1,0,70,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 610","Quesnel",89,2,1,1,90,154,7,1,345,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 611","Quesnel",252,11,9,5,218,297,27,6,825,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 612","Quesnel",87,5,7,0,63,137,7,2,308,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 613","Quesnel",72,1,2,0,75,167,4,1,322,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 614","Quesnel",55,1,2,1,61,113,16,1,250,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 615","Williams Lake",99,3,1,2,73,153,15,0,346,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 616","Williams Lake",167,4,8,3,200,340,20,2,744,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 617","Williams Lake",183,12,2,1,164,370,24,1,757,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 618","Williams Lake",60,0,2,1,74,93,6,0,236,
59004,"Cariboo--Prince George/Cariboo--Prince George",,"Group 1/Groupe 1",72,0,3,2,44,36,5,8,170,123
59004,"Cariboo--Prince George/Cariboo--Prince George",,"Group 2/Groupe 2",533,7,39,13,668,675,78,18,2031,
