Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marc Boudreau,Vincent François,Jennifer Kaszel,Jamie Nicholls,Peter Schiefke,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 103","Vaudreuil-Dorion",46,29,8,52,145,3,283,455
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 104","Vaudreuil-Dorion",26,25,9,54,117,2,233,387
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 105","Vaudreuil-Dorion",19,39,6,60,130,4,258,435
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 106","Vaudreuil-Dorion",23,31,4,70,90,2,220,380
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 107","Vaudreuil-Dorion",33,55,7,56,87,0,238,417
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 108","Vaudreuil-Dorion",12,59,9,48,94,8,230,399
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 109A","Vaudreuil-Dorion",13,26,7,24,67,0,137,301
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 109B","Vaudreuil-Dorion",19,30,4,32,47,0,132,275
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 110A","Vaudreuil-Dorion",25,29,2,38,116,2,212,434
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 110B","Vaudreuil-Dorion",20,26,3,30,101,3,183,400
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 111","Vaudreuil-Dorion",Merged with No./Fusionné avec le n°101,,,,,,,59
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 112","Vaudreuil-Dorion",16,45,3,43,68,2,177,405
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 113","Vaudreuil-Dorion",11,39,2,44,57,9,162,387
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 114A","Vaudreuil-Dorion",10,25,4,45,55,5,144,273
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 114B","Vaudreuil-Dorion",27,23,3,54,69,1,177,292
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 115","Vaudreuil-Dorion",14,36,3,51,74,3,181,320
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 116","Vaudreuil-Dorion",14,30,5,45,63,2,159,308
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 117A","Vaudreuil-Dorion",23,18,3,45,81,1,171,277
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 117B","Vaudreuil-Dorion",Merged with No./Fusionné avec le n°403,,,,,,,89
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 118","Vaudreuil-Dorion",18,21,4,43,79,4,169,372
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 119","Vaudreuil-Dorion",18,19,2,50,100,2,191,377
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 120","Vaudreuil-Dorion",23,55,6,48,81,10,223,447
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 121","Vaudreuil-Dorion",16,34,7,56,78,1,192,338
