Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Payam Azad,Claire Martin,Andrew Saxton,Carleen Thomas,Jonathan Wilkinson,Ismet Yetisen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59021,"North Vancouver/North Vancouver"," 120","North Vancouver",0,16,33,16,111,0,1,177,352
59021,"North Vancouver/North Vancouver"," 121","North Vancouver",0,26,59,12,101,1,1,200,430
59021,"North Vancouver/North Vancouver"," 122","North Vancouver",0,25,56,22,144,1,0,248,522
59021,"North Vancouver/North Vancouver"," 123","North Vancouver",1,17,43,31,159,0,2,253,476
59021,"North Vancouver/North Vancouver"," 124","North Vancouver",0,23,27,24,126,0,0,200,443
59021,"North Vancouver/North Vancouver"," 125","North Vancouver",0,23,62,33,147,1,2,268,530
59021,"North Vancouver/North Vancouver"," 126","North Vancouver",1,20,65,13,121,3,0,223,434
59021,"North Vancouver/North Vancouver"," 127","North Vancouver",0,24,64,24,167,0,0,279,499
59021,"North Vancouver/North Vancouver"," 128","North Vancouver",1,15,36,18,71,1,0,142,290
59021,"North Vancouver/North Vancouver"," 129","North Vancouver",0,17,44,33,118,1,1,214,487
59021,"North Vancouver/North Vancouver"," 130","North Vancouver",0,24,68,9,151,0,0,252,430
59021,"North Vancouver/North Vancouver"," 131","North Vancouver",0,24,47,30,144,1,5,251,396
59021,"North Vancouver/North Vancouver"," 132","North Vancouver",0,18,73,6,132,0,1,230,357
59021,"North Vancouver/North Vancouver"," 133","North Vancouver",0,24,55,20,169,2,2,272,398
59021,"North Vancouver/North Vancouver"," 134","North Vancouver",0,22,85,12,137,0,0,256,457
59021,"North Vancouver/North Vancouver"," 135","North Vancouver",2,16,74,17,130,0,0,239,394
59021,"North Vancouver/North Vancouver"," 136","North Vancouver",0,27,94,32,131,1,1,286,455
59021,"North Vancouver/North Vancouver"," 137","North Vancouver",1,42,82,17,142,0,0,284,464
59021,"North Vancouver/North Vancouver"," 138","North Vancouver",1,32,87,23,134,2,4,283,421
59021,"North Vancouver/North Vancouver"," 139","North Vancouver",0,18,60,41,164,0,1,284,483
59021,"North Vancouver/North Vancouver"," 140","North Vancouver",0,16,74,14,139,0,1,244,401
59021,"North Vancouver/North Vancouver"," 141","North Vancouver",0,20,65,20,186,0,1,292,443
59021,"North Vancouver/North Vancouver"," 142","North Vancouver",0,26,71,11,124,0,0,232,387
59021,"North Vancouver/North Vancouver"," 143","North Vancouver",0,34,73,23,129,0,0,259,429
59021,"North Vancouver/North Vancouver"," 144","North Vancouver",0,32,67,20,137,0,0,256,408
59021,"North Vancouver/North Vancouver"," 145","North Vancouver",0,50,81,20,154,0,0,305,497
59021,"North Vancouver/North Vancouver"," 146","North Vancouver",0,45,94,21,179,1,0,340,537
59021,"North Vancouver/North Vancouver"," 147","North Vancouver",0,30,60,10,143,0,1,244,396
59021,"North Vancouver/North Vancouver"," 148","North Vancouver",0,17,92,26,167,0,1,303,531
59021,"North Vancouver/North Vancouver"," 149","North Vancouver",0,24,103,38,178,0,1,344,592
59021,"North Vancouver/North Vancouver"," 150","North Vancouver",0,22,79,23,187,0,2,313,504
59021,"North Vancouver/North Vancouver"," 151","North Vancouver",0,31,48,10,96,0,1,186,305
59021,"North Vancouver/North Vancouver"," 152","North Vancouver",0,22,82,29,186,1,2,322,523
59021,"North Vancouver/North Vancouver"," 153","North Vancouver",1,27,44,26,132,1,0,231,436
59021,"North Vancouver/North Vancouver"," 154","North Vancouver",0,33,51,22,169,0,0,275,486
59021,"North Vancouver/North Vancouver"," 155","North Vancouver",0,21,91,23,152,1,0,288,526
59021,"North Vancouver/North Vancouver"," 156","North Vancouver",0,17,44,29,117,0,1,208,392
59021,"North Vancouver/North Vancouver"," 157","North Vancouver",0,27,72,9,179,1,1,289,434
59021,"North Vancouver/North Vancouver"," 158","North Vancouver",0,20,69,22,102,0,2,215,362
59021,"North Vancouver/North Vancouver"," 159","North Vancouver",0,14,50,16,82,0,0,162,338
59021,"North Vancouver/North Vancouver"," 160","North Vancouver",0,26,70,15,157,1,0,269,448
59021,"North Vancouver/North Vancouver"," 161","North Vancouver",1,28,54,23,199,0,3,308,514
59021,"North Vancouver/North Vancouver"," 162","North Vancouver",0,23,69,18,157,0,0,267,437
59021,"North Vancouver/North Vancouver"," 163","North Vancouver",0,25,35,38,156,0,0,254,498
59021,"North Vancouver/North Vancouver"," 164","North Vancouver",0,26,83,15,146,0,0,270,450
59021,"North Vancouver/North Vancouver"," 165","North Vancouver",0,18,71,24,168,0,0,281,432
59021,"North Vancouver/North Vancouver"," 166","North Vancouver",0,29,52,25,172,1,0,279,432
59021,"North Vancouver/North Vancouver"," 167","North Vancouver",0,13,57,33,159,1,0,263,473
59021,"North Vancouver/North Vancouver"," 168","North Vancouver",2,27,47,26,150,1,1,254,464
59021,"North Vancouver/North Vancouver"," 169","North Vancouver",0,16,50,33,119,1,0,219,405
59021,"North Vancouver/North Vancouver"," 170","North Vancouver",0,22,36,27,144,1,0,230,440
59021,"North Vancouver/North Vancouver"," 171","North Vancouver",0,25,58,17,140,1,0,241,396
59021,"North Vancouver/North Vancouver"," 172","North Vancouver",0,32,65,43,223,2,1,366,582
59021,"North Vancouver/North Vancouver"," 173","North Vancouver",0,21,36,25,156,3,3,244,451
59021,"North Vancouver/North Vancouver"," 174","North Vancouver",0,15,51,41,152,2,2,263,498
59021,"North Vancouver/North Vancouver"," 175","North Vancouver",1,21,40,15,144,0,0,221,371
59021,"North Vancouver/North Vancouver"," 176","North Vancouver",1,15,41,16,86,0,0,159,352
59021,"North Vancouver/North Vancouver"," 177A","North Vancouver",1,17,42,19,143,0,0,222,336
