Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,James Bezan,Deborah Chief,Donald L. Grant,Wayne James,Joanne Levy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 48","Petersfield",97,19,4,5,61,0,186,393
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 49","Dunnottar",51,26,1,7,58,4,147,253
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 50","Matlock",91,37,4,10,73,2,217,336
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 51","Husavick",85,16,1,9,53,1,165,313
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 52","Sandy Hook",130,16,5,8,118,0,277,500
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 53","Winnipeg Beach",94,19,3,11,74,1,202,425
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 54A","Winnipeg Beach",53,18,6,1,59,0,137,293
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 54B","Winnipeg Beach",51,14,6,4,60,1,136,274
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 55","Ponemah",101,34,3,11,85,0,234,486
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 56","Shore Point",65,23,1,8,53,0,150,307
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 57","Loni Beach",82,9,2,3,53,2,151,296
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 58A","Gimli",52,22,2,3,51,1,131,277
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 58B","Gimli",62,9,4,5,72,1,153,315
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 59","Gimli",85,15,1,6,48,0,155,271
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 60","South Beach",132,35,4,4,92,1,268,487
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 61","Gimli",95,14,2,11,76,1,199,376
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 62","Aspen Park",110,21,3,4,66,0,204,399
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 63","Fraserwood",112,29,2,2,45,0,190,314
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 64","Komarno",102,29,4,7,45,2,189,317
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 65","Inwood",128,23,6,8,56,0,221,364
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 66","Erinview",119,10,2,3,65,0,199,366
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 67","Lundar",153,13,4,7,31,0,208,422
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 68","Minnewakan",194,7,3,9,44,1,258,384
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 69","Siglunes",119,13,2,6,33,0,173,388
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 70","Dog Creek",3,27,4,0,267,1,302,515
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 71","Oak Point",91,20,3,7,43,0,164,305
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 72","St. Laurent",78,10,3,0,50,1,142,255
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 73","St. Laurent",74,9,4,5,135,3,230,439
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 74","St. Laurent",27,9,5,0,35,1,77,142
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 75","Lake Francis",107,14,2,8,30,0,161,240
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 76","Oswald",139,19,3,6,53,0,220,438
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 77","Woodlands",188,10,6,2,37,1,244,422
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 78","Woodlands",133,11,3,8,53,0,208,386
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 79A","Balmoral",104,13,6,5,51,0,179,267
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 79B","Balmoral",157,19,3,5,71,0,255,382
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 80","Gunton",152,12,4,13,75,1,257,378
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 81","Teulon",137,16,1,5,36,0,195,321
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 82","Teulon",127,15,4,6,76,0,228,386
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 83","Teulon",34,5,0,0,20,1,60,112
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 84","Teulon",90,11,3,5,51,1,161,279
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 85","Teulon",145,10,5,2,72,0,234,396
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 86","Clandeboye",84,20,2,10,51,0,167,279
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 87","Clandeboye",100,20,3,6,61,0,190,310
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 88","Dynevor",92,30,3,7,58,0,190,282
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 89","Cloverdale",126,21,5,15,97,1,265,451
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 90","Fort Garry",88,29,3,4,78,0,202,376
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 91","Saint Andrews",123,27,3,8,57,0,218,422
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 92","Fort Garry",117,29,6,11,65,2,230,377
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 93","Saint Andrews",91,21,2,7,65,0,186,353
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 94","Lait",99,13,3,11,36,1,163,234
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 95","Stonewall",121,20,3,12,70,3,229,378
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 96","Stonewall",95,15,5,4,69,1,189,402
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 97","Stonewall",113,11,5,9,77,0,215,426
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 98","Stonewall",Merged with No./Fusionné avec le n°118,,,,,,,13
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 99","Stonewall",115,18,5,12,82,0,232,416
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 100","Stonewall",132,7,2,3,43,0,187,291
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 101","Argyle",146,10,3,8,61,1,229,387
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 102","Warren",144,18,6,13,60,2,243,445
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 103","Rosser",99,8,2,4,34,0,147,291
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 104","Reaburn",102,8,3,2,26,0,141,206
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 105","Marquette",59,6,1,6,27,0,99,170
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 106A","Rosser",80,6,2,1,29,0,118,257
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 106B","Rosser",73,6,3,1,25,0,108,301
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 107","Grosse Isle",161,11,3,10,40,0,225,301
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 108A","Stony Mountain",129,15,10,7,67,0,228,337
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 108B","Stony Mountain",151,23,5,9,71,3,262,423
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 109","Stony Mountain",144,24,4,7,87,1,267,440
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 110","Stony Mountain",115,25,7,10,109,1,267,421
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 111","Stony Mountain",169,20,5,10,102,1,307,439
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 112","Lilyfield",115,18,5,10,97,0,245,332
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 113A","Stonewall",103,9,4,1,51,0,168,271
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 113B","Stonewall",82,11,4,9,50,0,156,271
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 114","Stonewall",89,16,3,13,67,1,189,352
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 115","Stonewall",37,6,1,5,41,0,90,179
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 116","Stonewall",120,10,5,8,102,0,245,416
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 117","Stonewall",147,24,1,14,102,2,290,453
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 118","Stonewall",51,3,1,3,39,1,98,149
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 119","Selkirk",22,13,0,4,34,0,73,181
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 119-1","Selkirk",24,19,2,1,37,0,83,174
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 120","Selkirk",52,19,7,2,74,1,155,328
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 121","Selkirk",59,41,1,6,47,0,154,318
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 122","Selkirk",47,53,2,10,74,0,186,341
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 123A","Selkirk",44,30,0,5,60,2,141,252
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 123B","Selkirk",37,12,7,3,56,0,115,246
