Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Blaikie,Kim Parke,Andrea Richardson-Lipon,Lawrence Toet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46005,"Elmwood--Transcona/Elmwood--Transcona"," 137","Winnipeg",66,6,52,51,1,176,357
46005,"Elmwood--Transcona/Elmwood--Transcona"," 138","Winnipeg",89,5,71,43,0,208,410
46005,"Elmwood--Transcona/Elmwood--Transcona"," 139","Winnipeg",77,7,69,60,0,213,464
46005,"Elmwood--Transcona/Elmwood--Transcona"," 140","Winnipeg",60,5,48,41,1,155,375
46005,"Elmwood--Transcona/Elmwood--Transcona"," 141","Winnipeg",74,6,60,62,0,202,422
46005,"Elmwood--Transcona/Elmwood--Transcona"," 142","Winnipeg",58,8,62,122,1,251,425
46005,"Elmwood--Transcona/Elmwood--Transcona"," 143","Winnipeg",69,6,68,100,0,243,415
46005,"Elmwood--Transcona/Elmwood--Transcona"," 144","Winnipeg",88,4,74,56,0,222,384
46005,"Elmwood--Transcona/Elmwood--Transcona"," 145","Winnipeg",86,2,74,73,1,236,458
46005,"Elmwood--Transcona/Elmwood--Transcona"," 146","Winnipeg",69,6,67,57,0,199,404
46005,"Elmwood--Transcona/Elmwood--Transcona"," 147","Winnipeg",88,6,65,83,0,242,470
46005,"Elmwood--Transcona/Elmwood--Transcona"," 148","Winnipeg",63,2,73,61,1,200,398
46005,"Elmwood--Transcona/Elmwood--Transcona"," 149","Winnipeg",70,5,69,80,2,226,441
46005,"Elmwood--Transcona/Elmwood--Transcona"," 150A","Winnipeg",36,5,36,54,0,131,225
46005,"Elmwood--Transcona/Elmwood--Transcona"," 150B","Winnipeg",43,2,39,39,1,124,242
46005,"Elmwood--Transcona/Elmwood--Transcona"," 151","Winnipeg",46,1,70,76,2,195,424
46005,"Elmwood--Transcona/Elmwood--Transcona"," 152A","Winnipeg",36,1,44,53,0,134,213
46005,"Elmwood--Transcona/Elmwood--Transcona"," 152B","Winnipeg",31,1,51,67,0,150,275
46005,"Elmwood--Transcona/Elmwood--Transcona"," 153A","Winnipeg",49,2,46,69,2,168,342
46005,"Elmwood--Transcona/Elmwood--Transcona"," 153B","Winnipeg",49,2,45,68,0,164,320
46005,"Elmwood--Transcona/Elmwood--Transcona"," 154A","Winnipeg",23,0,24,33,0,80,208
46005,"Elmwood--Transcona/Elmwood--Transcona"," 154B","Winnipeg",44,1,46,63,1,155,301
46005,"Elmwood--Transcona/Elmwood--Transcona"," 155","Winnipeg",33,2,31,60,1,127,301
46005,"Elmwood--Transcona/Elmwood--Transcona"," 156","Winnipeg",47,4,43,65,1,160,302
46005,"Elmwood--Transcona/Elmwood--Transcona"," 400","Winnipeg",53,8,41,77,1,180,110
46005,"Elmwood--Transcona/Elmwood--Transcona"," 401","Winnipeg",35,1,28,44,0,108,132
46005,"Elmwood--Transcona/Elmwood--Transcona"," 402","Winnipeg",Merged with No./Fusionné avec le n°47B,,,,,,113
46005,"Elmwood--Transcona/Elmwood--Transcona"," 500A","Mobile poll/Bureau itinérant",66,3,49,48,1,167,121
46005,"Elmwood--Transcona/Elmwood--Transcona"," 500B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,82
46005,"Elmwood--Transcona/Elmwood--Transcona"," 500C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,25
46005,"Elmwood--Transcona/Elmwood--Transcona"," 500D","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,44
46005,"Elmwood--Transcona/Elmwood--Transcona"," 501A","Mobile poll/Bureau itinérant",31,2,29,16,0,78,80
46005,"Elmwood--Transcona/Elmwood--Transcona"," 501B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,66
46005,"Elmwood--Transcona/Elmwood--Transcona"," 501C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,83
46005,"Elmwood--Transcona/Elmwood--Transcona"," 502A","Mobile poll/Bureau itinérant",77,7,23,60,4,171,68
46005,"Elmwood--Transcona/Elmwood--Transcona"," 502B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,69
46005,"Elmwood--Transcona/Elmwood--Transcona"," 502C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°104B,,,,,,92
46005,"Elmwood--Transcona/Elmwood--Transcona"," 600","Winnipeg",352,15,158,353,5,883,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 601","Winnipeg",348,18,157,279,4,806,
46005,"Elmwood--Transcona/Elmwood--Transcona"," 602","Winnipeg",311,12,153,157,0,633,
