date,Party,sd
2017-03-24,Liberal,2.257746788335857
2017-03-25,Liberal,2.140976990509419
2017-03-26,Liberal,2.027701703162292
2017-03-27,Liberal,2.0681124045818886
2017-03-28,Liberal,2.0512524321323733
2017-03-29,Liberal,1.950609744998837
2017-03-30,Liberal,1.893021813184412
2017-03-31,Liberal,1.9012007464999248
2017-04-01,Liberal,1.878883493860346
2017-04-02,Liberal,1.855306865262257
2017-04-03,Liberal,1.9173727956331952
2017-04-04,Liberal,1.9361607997852643
2017-04-05,Liberal,1.849979218242942
2017-04-06,Liberal,1.7977450982187033
2017-04-07,Liberal,1.747500585425625
2017-04-08,Liberal,1.7482693735075063
2017-04-09,Liberal,1.7490230875780948
2017-04-10,Liberal,1.8498461854438522
2017-04-11,Liberal,1.9117435618506335
2017-04-12,Liberal,1.9676299126569112
2017-04-13,Liberal,1.9774493457064815
2017-04-14,Liberal,1.984390183294483
2017-04-15,Liberal,1.9895981811405101
2017-04-16,Liberal,1.9955575285969878
2017-04-17,Liberal,2.0142278657577157
2017-04-18,Liberal,2.021547070572095
2017-04-19,Liberal,1.937333229051795
2017-04-20,Liberal,1.9028774247537548
2017-04-21,Liberal,2.0875329811529815
2017-04-22,Liberal,2.166723687561831
2017-04-23,Liberal,2.2351595660960415
2017-04-24,Liberal,2.3998184911949565
2017-04-25,Liberal,2.5135643112117054
2017-04-26,Liberal,2.3382481722310504
2017-04-27,Liberal,2.297460784270064
2017-04-28,Liberal,2.270108199102153
2017-04-29,Liberal,2.2400780738448285
2017-04-30,Liberal,2.212551599873893
2017-05-01,Liberal,2.2654880258212
2017-05-02,Liberal,2.278419073045554
2017-05-03,Liberal,2.182283353953364
2017-05-04,Liberal,2.142832934023274
2017-05-05,Liberal,2.1098377204358436
2017-05-06,Liberal,2.071069103839563
2017-05-07,Liberal,2.0348103109317393
2017-05-08,Liberal,2.047408633228739
2017-05-09,Liberal,2.045505665122043
2017-05-10,Liberal,1.9613747226284357
2017-05-11,Liberal,1.8808663637144938
2017-05-12,Liberal,1.8204060545610457
2017-05-13,Liberal,1.976064932844373
2017-05-14,Liberal,2.0525845401226928
2017-05-15,Liberal,2.2029199898977203
2017-05-16,Liberal,2.3433272033253445
2017-05-17,Liberal,2.4131831830796835
2017-05-18,Liberal,2.353298615931943
2017-05-19,Liberal,2.3312077994854956
2017-05-20,Liberal,2.29820611767047
2017-05-21,Liberal,2.26775228477498
2017-05-22,Liberal,2.289904833096151
2017-05-23,Liberal,2.283736143258486
2017-05-24,Liberal,2.4268141110603385
2017-05-25,Liberal,2.490483218683341
2017-05-26,Liberal,2.581107062350151
2017-05-27,Liberal,2.555231673572122
2017-05-28,Liberal,2.5859013839386504
2017-05-29,Liberal,2.4779520724050967
2017-05-30,Liberal,2.464525960402326
2017-05-31,Liberal,2.447764624590246
2017-06-01,Liberal,2.548609928949499
2017-06-02,Liberal,2.5923341145196424
2017-06-03,Liberal,2.623614657911191
2017-06-04,Liberal,2.652261810053095
2017-06-05,Liberal,2.6276899939433465
2017-06-06,Liberal,2.6191216989390957
2017-06-07,Liberal,2.5647164182931252
2017-06-08,Liberal,2.5522606179187184
2017-06-09,Liberal,2.4589233160304653
2017-06-10,Liberal,2.4520290009911947
2017-06-11,Liberal,2.500236218276098
2017-06-12,Liberal,2.5632136201145337
2017-06-13,Liberal,2.5846973992210103
2017-06-14,Liberal,2.596791251646059
2017-06-15,Liberal,2.603536608392608
2017-06-16,Liberal,2.539836196911954
2017-06-17,Liberal,2.511673256262966
2017-06-18,Liberal,2.4862702274603103
2017-06-19,Liberal,2.5559174816674926
2017-06-20,Liberal,2.576248243624114
2017-06-21,Liberal,2.482774051425741
2017-06-22,Liberal,2.4421797759191444
2017-06-23,Liberal,2.40611378695581
2017-06-24,Liberal,2.37009841127635
2017-06-25,Liberal,2.3353107223964678
2017-06-26,Liberal,2.405313020398128
2017-06-27,Liberal,2.420822791940272
2017-06-28,Liberal,2.349337472580055
2017-06-29,Liberal,2.320954531367798
2017-06-30,Liberal,2.2957168096886633
2017-07-01,Liberal,2.2772991087399403
2017-07-02,Liberal,2.2597232247181553
2017-07-03,Liberal,2.322155663671606
2017-07-04,Liberal,2.3392597581803307
2017-07-05,Liberal,2.249083690876688
2017-07-06,Liberal,2.2112970718995126
2017-07-07,Liberal,2.0814547458232617
2017-07-08,Liberal,1.993131587652788
2017-07-09,Liberal,1.911396433372269
2017-07-10,Liberal,1.9200526040519676
2017-07-11,Liberal,1.8771378419215576
2017-07-12,Liberal,1.9279406760252886
2017-07-13,Liberal,1.8413669287479262
2017-07-14,Liberal,1.9505437100689065
2017-07-15,Liberal,2.019866966726847
2017-07-16,Liberal,2.0719970123928166
2017-07-17,Liberal,2.1181645892934418
2017-07-18,Liberal,2.254249457510606
2017-07-19,Liberal,2.129862031390047
2017-07-20,Liberal,2.084009103975505
2017-07-21,Liberal,2.050423213054215
2017-07-22,Liberal,2.017129820756474
2017-07-23,Liberal,1.9882955271147587
2017-07-24,Liberal,2.013012577327559
2017-07-25,Liberal,2.0082177736955407
2017-07-26,Liberal,1.931449585049446
2017-07-27,Liberal,1.8981432586398548
2017-07-28,Liberal,1.8698164557454195
2017-07-29,Liberal,1.8456153690534176
2017-07-30,Liberal,1.8237184589053719
2017-07-31,Liberal,1.8790431469622948
2017-08-01,Liberal,1.892247061407502
2017-08-02,Liberal,1.8130940256800099
2017-08-03,Liberal,1.778889468216719
2017-08-04,Liberal,1.7491814446231086
2017-08-05,Liberal,1.7118937776102805
2017-08-06,Liberal,1.676178097765303
2017-08-07,Liberal,1.7377011531317703
2017-08-08,Liberal,1.7518233512237038
2017-08-09,Liberal,1.8015013351101756
2017-08-10,Liberal,1.8662971803691977
2017-08-11,Liberal,1.9099696014522478
2017-08-12,Liberal,1.9441087332446911
2017-08-13,Liberal,1.978241084159982
2017-08-14,Liberal,1.9828913555659373
2017-08-15,Liberal,1.9772306337035008
2017-08-16,Liberal,1.9105350809442172
2017-08-17,Liberal,1.8899886675871034
2017-08-18,Liberal,1.8752554080204984
2017-08-19,Liberal,1.851872395150163
2017-08-20,Liberal,1.8280082680703291
2017-08-21,Liberal,1.8959607974269546
2017-08-22,Liberal,1.920002797587913
2017-08-23,Liberal,1.8944142300779032
2017-08-24,Liberal,1.9015018873786182
2017-08-25,Liberal,1.910536659516835
2017-08-26,Liberal,1.9103463349721697
2017-08-27,Liberal,1.904741463354292
2017-08-28,Liberal,1.9638185909471617
2017-08-29,Liberal,1.990481177801905
2017-08-30,Liberal,1.9236504710513542
2017-08-31,Liberal,1.8998448088790159
2017-09-01,Liberal,1.887309670682231
2017-09-02,Liberal,1.8592180056536438
2017-09-03,Liberal,1.8314162821816802
2017-09-04,Liberal,1.8938083464399735
2017-09-05,Liberal,1.9133538505381036
2017-09-06,Liberal,1.9444017376483245
2017-09-07,Liberal,1.9835749056680494
2017-09-08,Liberal,1.9425832279953716
2017-09-09,Liberal,1.9432612408507193
2017-09-10,Liberal,1.945868773220337
2017-09-11,Liberal,2.1099268381668836
2017-09-12,Liberal,2.1669070909304784
2017-09-13,Liberal,2.263363116412724
2017-09-14,Liberal,2.3375176414987036
2017-09-15,Liberal,2.4054912247114917
2017-09-16,Liberal,2.291532689124966
2017-09-17,Liberal,2.2703765889876855
2017-09-18,Liberal,2.2790747311254838
2017-09-19,Liberal,2.2662374782723704
2017-09-20,Liberal,2.2998282970335033
2017-09-21,Liberal,2.3374849296722013
2017-09-22,Liberal,2.3734305993746188
2017-09-23,Liberal,2.4529583292682107
2017-09-24,Liberal,2.531515021126185
2017-09-25,Liberal,2.5687479631169516
2017-09-26,Liberal,2.6018611348088205
2017-09-27,Liberal,2.7476219750025086
2017-09-28,Liberal,2.835955956080931
2017-09-29,Liberal,2.9207538265959174
2017-09-30,Liberal,2.898259880602842
2017-10-01,Liberal,2.933004853870964
2017-10-02,Liberal,2.871653420637877
2017-10-03,Liberal,2.8341862309997197
2017-10-04,Liberal,2.8112272578261863
2017-10-05,Liberal,2.9074495042285107
2017-10-06,Liberal,2.9492691240598474
2017-10-07,Liberal,2.9785097596532504
2017-10-08,Liberal,2.824581886786151
2017-10-09,Liberal,2.730279140672354
2017-10-10,Liberal,2.6328865184883354
2017-10-11,Liberal,2.491351739579764
2017-10-12,Liberal,2.3846328113856345
2017-10-13,Liberal,2.4654971657009455
2017-10-14,Liberal,2.4794662898933373
2017-10-15,Liberal,2.4852463529159943
2017-10-16,Liberal,2.531642230764414
2017-10-17,Liberal,2.5455030708202826
2017-10-18,Liberal,2.474744628339289
2017-10-19,Liberal,2.3869463026147018
2017-10-20,Liberal,2.4192361228729453
2017-10-21,Liberal,2.3653899627874733
2017-10-22,Liberal,2.3453176092609356
2017-10-23,Liberal,2.416938552634202
2017-10-24,Liberal,2.5034984711199213
2017-10-25,Liberal,2.3964380069425206
2017-10-26,Liberal,2.4171710426337416
