date,Party,sd
2016-09-19,Liberal,2.701859257548152
2016-09-20,Liberal,2.7046156666052594
2016-09-21,Liberal,2.514740365966294
2016-09-22,Liberal,2.409479452502486
2016-09-23,Liberal,2.406199816524829
2016-09-24,Liberal,2.356162660728443
2016-09-25,Liberal,2.304035270436735
2016-09-26,Liberal,2.435033033213319
2016-09-27,Liberal,2.477168359268801
2016-09-28,Liberal,2.3226463149540164
2016-09-29,Liberal,2.2460815599601958
2016-09-30,Liberal,2.176420423975847
2016-10-01,Liberal,2.1100840295075436
2016-10-02,Liberal,2.0457654297302277
2016-10-03,Liberal,2.1637375127730962
2016-10-04,Liberal,2.1991639605019784
2016-10-05,Liberal,2.0585735028508374
2016-10-06,Liberal,1.986712879938203
2016-10-07,Liberal,1.9207779565311873
2016-10-08,Liberal,1.7857864140090058
2016-10-09,Liberal,1.7346196689032172
2016-10-10,Liberal,1.745087849899291
2016-10-11,Liberal,1.7261643709380063
2016-10-12,Liberal,1.7038646990128483
2016-10-13,Liberal,1.7670012670554733
2016-10-14,Liberal,1.7448954471332876
2016-10-15,Liberal,1.8260806959178069
2016-10-16,Liberal,1.8614546066559061
2016-10-17,Liberal,1.889770574234364
2016-10-18,Liberal,1.9036067335806606
2016-10-19,Liberal,1.8555304850770231
2016-10-20,Liberal,1.8433350851459847
2016-10-21,Liberal,1.844345066988345
2016-10-22,Liberal,1.8471477815470188
2016-10-23,Liberal,1.851082409482789
2016-10-24,Liberal,1.9163214120150538
2016-10-25,Liberal,1.9452561729523787
2016-10-26,Liberal,1.849043877188922
2016-10-27,Liberal,1.6899284337468643
2016-10-28,Liberal,1.532204221828671
2016-10-29,Liberal,1.3744357499919446
2016-10-30,Liberal,1.216137179256152
2016-10-31,Liberal,1.1686926007750031
2016-11-01,Liberal,1.1812228401352662
2016-11-02,Liberal,1.3560373226946418
2016-11-03,Liberal,1.4851325508873074
2016-11-04,Liberal,1.5867414672545987
2016-11-05,Liberal,1.6810113965193607
2016-11-06,Liberal,1.7698602169910942
2016-11-07,Liberal,1.8879746766448129
2016-11-08,Liberal,1.9523692462942592
2016-11-09,Liberal,1.8856660618570313
2016-11-10,Liberal,1.8767476984205929
2016-11-11,Liberal,1.8754797325763892
2016-11-12,Liberal,1.678942120114872
2016-11-13,Liberal,1.579228462711959
2016-11-14,Liberal,1.7288578281611635
2016-11-15,Liberal,1.7864553300155577
2016-11-16,Liberal,1.8449941749891967
2016-11-17,Liberal,1.9106296251330257
2016-11-18,Liberal,1.9733853750440897
2016-11-19,Liberal,1.9418244567283485
2016-11-20,Liberal,1.9489735630590126
2016-11-21,Liberal,1.957733724645307
2016-11-22,Liberal,1.9575940788595623
2016-11-23,Liberal,1.9190841082906296
2016-11-24,Liberal,1.9114471941143905
2016-11-25,Liberal,1.9074150456083594
2016-11-26,Liberal,1.8984309728088147
2016-11-27,Liberal,1.890872883013738
2016-11-28,Liberal,1.9287656693758657
2016-11-29,Liberal,1.9378522982541706
2016-11-30,Liberal,1.868850984315186
2016-12-01,Liberal,1.8418863451734198
2016-12-02,Liberal,1.8194329983328714
2016-12-03,Liberal,1.7956043682138767
2016-12-04,Liberal,1.7805412431538332
2016-12-05,Liberal,1.838057915684434
2016-12-06,Liberal,1.8536814104690489
2016-12-07,Liberal,1.8667153956927756
2016-12-08,Liberal,1.8997070281762007
2016-12-09,Liberal,1.912743315684309
2016-12-10,Liberal,1.805561295297073
2016-12-11,Liberal,1.7491257769480064
2016-12-12,Liberal,1.7028896366323736
2016-12-13,Liberal,1.6381625560996258
2016-12-14,Liberal,1.5217566149538733
2016-12-15,Liberal,1.5671641075238303
2016-12-16,Liberal,1.5664980548605927
2016-12-17,Liberal,1.55701063976871
2016-12-18,Liberal,1.5460714691306463
2016-12-19,Liberal,1.6044793241665083
2016-12-20,Liberal,1.6269149911539187
2016-12-21,Liberal,1.5707281398981636
2016-12-22,Liberal,1.5522404550492632
2016-12-23,Liberal,1.5368970531817399
2016-12-24,Liberal,1.5186352164113752
2016-12-25,Liberal,1.5011120812008785
2016-12-26,Liberal,1.544310224906368
2016-12-27,Liberal,1.5481796758657993
2016-12-28,Liberal,1.5565443587030323
2016-12-29,Liberal,1.5751161940242926
2016-12-30,Liberal,1.5915949014507746
2016-12-31,Liberal,1.6209671268062813
2017-01-01,Liberal,1.648897845853168
2017-01-02,Liberal,1.655396930889297
2017-01-03,Liberal,1.648450954596725
2017-01-04,Liberal,1.7689756483267167
2017-01-05,Liberal,1.8768545523035758
2017-01-06,Liberal,1.9781243149344216
2017-01-07,Liberal,2.0468444441996665
2017-01-08,Liberal,2.1112616629708327
2017-01-09,Liberal,1.9876155056431617
2017-01-10,Liberal,1.8731615527790246
2017-01-11,Liberal,1.8209366044632322
2017-01-12,Liberal,1.8194136865981023
2017-01-13,Liberal,1.818395240134692
2017-01-14,Liberal,1.8779430530522288
2017-01-15,Liberal,1.938280785214047
2017-01-16,Liberal,1.946836115674677
2017-01-17,Liberal,1.9470808967768682
2017-01-18,Liberal,2.0177351950625626
2017-01-19,Liberal,2.0892769459870357
2017-01-20,Liberal,2.1601670076742563
2017-01-21,Liberal,2.1426728793452354
2017-01-22,Liberal,2.1688417416344428
2017-01-23,Liberal,2.130537303493855
2017-01-24,Liberal,2.0921199339212135
2017-01-25,Liberal,2.0766193339227783
2017-01-26,Liberal,2.1622154569201326
2017-01-27,Liberal,2.20528651865786
2017-01-28,Liberal,2.245536315951525
2017-01-29,Liberal,2.284154257860181
2017-01-30,Liberal,2.2913627977124116
2017-01-31,Liberal,2.2815593419089253
2017-02-01,Liberal,2.1620766207484903
2017-02-02,Liberal,2.100727606515254
2017-02-03,Liberal,2.2354323421379196
2017-02-04,Liberal,2.30412492413238
2017-02-05,Liberal,2.3648119147121065
2017-02-06,Liberal,2.534625047022988
2017-02-07,Liberal,2.644391594105692
2017-02-08,Liberal,2.424567201945375
2017-02-09,Liberal,2.302812200918855
2017-02-10,Liberal,2.196232243416904
2017-02-11,Liberal,2.09426611957748
2017-02-12,Liberal,1.9970194583475465
2017-02-13,Liberal,2.0083907492969635
2017-02-14,Liberal,2.000318178694406
2017-02-15,Liberal,1.8250393016598252
2017-02-16,Liberal,1.7126372892556194
2017-02-17,Liberal,1.6075583837570648
2017-02-18,Liberal,1.5335373064376885
2017-02-19,Liberal,1.4623503411771837
2017-02-20,Liberal,1.5220161546820303
2017-02-21,Liberal,1.5167655827435849
2017-02-22,Liberal,1.5065726056658195
2017-02-23,Liberal,1.485162901937437
2017-02-24,Liberal,1.4712626204936194
2017-02-25,Liberal,1.487853056740882
2017-02-26,Liberal,1.5033943224093116
2017-02-27,Liberal,1.5124158614056493
2017-02-28,Liberal,1.527010334226977
2017-03-01,Liberal,1.5458775246944012
2017-03-02,Liberal,1.5748676286159273
2017-03-03,Liberal,1.6025929323846249
2017-03-04,Liberal,1.7066434411449287
2017-03-05,Liberal,1.7777403587198628
2017-03-06,Liberal,1.8358368963433613
2017-03-07,Liberal,1.880314566589266
2017-03-08,Liberal,1.9064756025866434
2017-03-09,Liberal,1.8813440417102023
2017-03-10,Liberal,1.8899821294768457
2017-03-11,Liberal,1.8960427727163605
2017-03-12,Liberal,1.9043861660999704
2017-03-13,Liberal,1.9359526410769423
2017-03-14,Liberal,1.9193907544953799
2017-03-15,Liberal,1.8391587136062708
2017-03-16,Liberal,1.8054058389699161
2017-03-17,Liberal,1.7772759117749715
2017-03-18,Liberal,1.7480813381482712
2017-03-19,Liberal,1.7459281857420001
2017-03-20,Liberal,1.896862705250708
2017-03-21,Liberal,1.9511230422016843
2017-03-22,Liberal,1.894756486405879
2017-03-23,Liberal,1.8860834937511086
2017-03-24,Liberal,1.8796335988720028
2017-03-25,Liberal,1.7850481057435033
